id,name_clean,name_last_first,name_key,country_clean,country_key,appearance_count,years,medals_by_year,rank_averages_by_year,percentiles_by_year,contestant_ids,name_variants,country_variants
1,Ahbab Zulkifal Zahin,"Zahin, Ahbab Zulkifal",ahbab zulkifal zahin,Bangladesh,bangladesh,1,2023,2023:Merit,2023:220,2023:0.2857142857,BGD2A-P01,,Bangladesh
2,Ahon Banik,"Banik, Ahon",ahon banik,Bangladesh,bangladesh,1,2023,2023:Merit,2023:220,2023:0.2857142857,BGD2B-P01,,Bangladesh
3,Aira Rahman,"Rahman, Aira",aira rahman,Bangladesh,bangladesh,1,2022,2022:Merit,2022:166,2022:0.4236111111,BGD2A-P04,,Bangladesh
4,Areeb Noman,"Noman, Areeb",areeb noman,Bangladesh,bangladesh,1,2021,2021:Merit,2021:163,2021:0.4775641026,BGD2A-P01,,Bangladesh
5,Bihan Paul,"Paul, Bihan",bihan paul,Bangladesh,bangladesh,1,2022,2022:Merit,2022:201.5,2022:0.3003472222,BGD2A-P01,,Bangladesh
6,Khan Rafiul Islam Lian,"Lian, Khan Rafiul Islam",khan rafiul islam lian,Bangladesh,bangladesh,1,2022,2022:Silver,2022:51,2022:0.8229166667,BGD2A-P03,,Bangladesh
7,Khandaker Farhan Ishrak,"Ishrak, Khandaker Farhan",khandaker farhan ishrak,Bangladesh,bangladesh,1,2021,2021:Merit,2021:163,2021:0.4775641026,BGD2A-P02,,Bangladesh
8,Rishan An Nafi,"Nafi, Rishan An",rishan an nafi,Bangladesh,bangladesh,1,2023,2023:Merit,2023:220,2023:0.2857142857,BGD2A-P04,,Bangladesh
9,Tahmeed Al Asad,"Asad, Tahmeed Al",tahmeed al asad,Bangladesh,bangladesh,1,2022,2022:Merit,2022:201.5,2022:0.3003472222,BGD2A-P02,,Bangladesh
10,Franco Miguel Rinaldi Copa,"Rinaldi Copa, Franco Miguel",franco miguel rinaldi copa,Bolivia,bolivia,2,2021;2023,2021:Merit;2023:Merit,2021:193;2023:186,2021:0.3814102564;2023:0.3961038961,BOL2A-P01;BOL2A-P01,Franco Rinaldi,Bolivia
11,Gustavo Santiago Torrico López,"Torrico López, Gustavo Santiago",gustavo santiago torrico lopez,Bolivia,bolivia,1,2022,2022:Bronze,2022:102.5,2022:0.6440972222,BOL2A-P01,,Bolivia
12,Miguel Antonio Collado Chambi,"Collado Chambi, Miguel Antonio",miguel antonio collado chambi,Bolivia,bolivia,1,2023,2023:Merit,2023:186,2023:0.3961038961,BOL2A-P03,,Bolivia
13,Minal Thattamparambil Ranjith,"Thattamparambil Ranjith, Minal",minal thattamparambil ranjith,Botswana,botswana,1,2023,2023:Merit,2023:186,2023:0.3961038961,BWA2B-P02,,Botswana
14,Shathani Nganunu,"Nganunu, Shathani",shathani nganunu,Botswana,botswana,1,2023,2023:Merit,2023:220,2023:0.2857142857,BWA2B-P04,,Botswana
