id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1,Basheer Bennamoun,"Bennamoun, Basheer",0,,1,2014,0,,0,
2,Anh Le,"Le, Anh",0,,1,2017,0,,0,
3,Tony Liang,"Liang, Tony",0,,1,2014,0,,0,
4,Yueqi Lin,"Lin, Yueqi",0,,1,2016,0,,0,
5,Robert McIntyre,"McIntyre, Robert",0,,1,2019,0,,0,
6,Oscar Murat,"Murat, Oscar",0,,1,2015,0,,0,
7,Thanh Ha Ngo,"Ngo, Thanh Ha",0,,1,2019,0,,0,
8,Cameron Rohan,"Rohan, Cameron",0,,1,2014,0,,0,
9,Alexandra Truong,"Truong, Alexandra",0,,1,2016,0,,0,
10,Michael Yeoh,"Yeoh, Michael",0,,1,2019,0,,0,
