id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
11,Tahmeed Al Asad,"Asad, Tahmeed Al",1,2022,0,,0,,0,
12,Ahon Banik,"Banik, Ahon",1,2023,0,,0,,0,
13,Kazi Nadid Hossain,"Hossain, Kazi Nadid",0,,1,2021,0,,0,
14,Khandaker Farhan Ishrak,"Ishrak, Khandaker Farhan",1,2021,0,,0,,0,
15,Tahsin Khan,"Khan, Tahsin",0,,1,2023,0,,3,2024;2025;2026
16,Khan Rafiul Islam Lian,"Lian, Khan Rafiul Islam",1,2022,1,2023,0,,0,
17,Md. Najib Mahmud,"Mahmud, Md. Najib",0,,1,2022,0,,0,
18,Rishan An Nafi,"Nafi, Rishan An",1,2023,0,,0,,0,
19,Areeb Noman,"Noman, Areeb",1,2021,0,,0,,0,
20,Bihan Paul,"Paul, Bihan",1,2022,0,,0,,0,
21,Aira Rahman,"Rahman, Aira",1,2022,0,,0,,0,
22,Adiba Ibnat Sara,"Sara, Adiba Ibnat",0,,1,2021,0,,0,
23,Sabekin Awalin Seefat,"Seefat, Sabekin Awalin",0,,1,2013,0,,0,
24,Nayer Sharar,"Sharar, Nayer",0,,1,2021,0,,0,
25,Md. Azmayeen Hasan Shochchho,"Shochchho, Md. Azmayeen Hasan",0,,1,2021,0,,0,
26,Ahbab Zulkifal Zahin,"Zahin, Ahbab Zulkifal",1,2023,0,,0,,0,
27,Monamy Zaman,"Zaman, Monamy",0,,1,2023,1,2024,3,2024;2025;2026
