id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
38,Yousif Al-Saifi,"Al-Saifi, Yousif",1,2014,0,,0,,0,
39,Kaloyan Aleksandrov Aleksiev,"Aleksiev, Kaloyan Aleksandrov",0,,1,2015,0,,0,
40,Rossen Alexandrov Alexandrov,"Alexandrov, Rossen Alexandrov",0,,1,2023,0,,0,
41,Ralitsa Yulianova Andreeva,"Andreeva, Ralitsa Yulianova",0,,1,2018,0,,0,
42,Boris Dimitrov Angelov,"Angelov, Boris Dimitrov",2,2021;2022,0,,0,,0,
43,Dobromir Dobromirov Angelov,"Angelov, Dobromir Dobromirov",1,2019,3,2021;2022;2023,0,,0,
44,Kaloyan Nikolaev Angelov,"Angelov, Kaloyan Nikolaev",1,2023,0,,0,,0,
45,Yasen Milenov Angelov,"Angelov, Yasen Milenov",1,2021,0,,0,,0,
46,Borislav Kaloyanov Antov,"Antov, Borislav Kaloyanov",0,,1,2016,0,,0,
47,Daniel Atanasov,"Atanasov, Daniel",0,,1,2013,0,,1,2016
48,Georgi Atanasov,"Atanasov, Georgi",1,2013,1,2014,0,,0,
49,Kaloyan Atanasov,"Atanasov, Kaloyan",1,2019,0,,0,,0,
50,Valentin Anatoli Atanasov,"Atanasov, Valentin Anatoli",1,2021,0,,0,,0,
51,Daliya Vladimirova Atanasova,"Atanasova, Daliya Vladimirova",0,,1,2018,0,,0,
52,Kristina Veselinova Atanasova,"Atanasova, Kristina Veselinova",1,2013,1,2014,0,,0,
53,Viktor Krasimirov Avramski,"Avramski, Viktor Krasimirov",0,,1,2023,0,,0,
54,Borislava Ivanova Bachovska,"Bachovska, Borislava Ivanova",1,2023,0,,0,,0,
55,Hristo Zdravkov Balarev,"Balarev, Hristo Zdravkov",2,2022;2023,0,,0,,0,
56,Viktor Petrov Baltin,"Baltin, Viktor Petrov",1,2013,1,2016,0,,0,
57,Stoyan Borislavov Baltov,"Baltov, Stoyan Borislavov",2,2022;2023,0,,0,,0,
58,Kiril Atanasov Bangachev,"Bangachev, Kiril Atanasov",1,2013,1,2015,0,,2,2017;2018
59,Boris Aleksandrov Barbov,"Barbov, Boris Aleksandrov",1,2014,1,2016,0,,0,
60,Niya Nikolaeva Bazhlekova,"Bazhlekova, Niya Nikolaeva",1,2018,0,,0,,0,
61,Bizho Bizhev Bizhev,"Bizhev, Bizho Bizhev",1,2023,0,,0,,0,
62,Diyan Bobev,"Bobev, Diyan",1,2018,0,,0,,0,
63,Boriana Teodosieva Bocheva,"Bocheva, Boriana Teodosieva",1,2016,0,,0,,0,
64,Marina Ivanova Boyadzhieva,"Boyadzhieva, Marina Ivanova",0,,1,2018,0,,0,
65,Alina Krasimirova Boyanova,"Boyanova, Alina Krasimirova",1,2021,0,,0,,0,
66,Lia Krasimirova Boyanova,"Boyanova, Lia Krasimirova",1,2021,0,,0,,0,
67,Anton Georgiev Breskovski,"Breskovski, Anton Georgiev",1,2018,0,,0,,0,
68,Sofiya Georgieva Burova,"Burova, Sofiya Georgieva",0,,1,2014,0,,0,
69,Rozalia Buzova,"Buzova, Rozalia",0,,1,2013,0,,0,
70,Martin Stefanov Chavdarov,"Chavdarov, Martin Stefanov",1,2023,0,,0,,0,
71,Aleksandar Cherganski,"Cherganski, Aleksandar",0,,2,2013;2014,0,,2,2015;2016
72,Velizar Stanislavov Chilikov,"Chilikov, Velizar Stanislavov",1,2016,0,,0,,0,
73,Teya Plamenova Chobanova,"Chobanova, Teya Plamenova",0,,1,2023,0,,0,
74,Radostin Krasimirov Chonev,"Chonev, Radostin Krasimirov",0,,1,2015,0,,0,
75,Petar Chongov,"Chongov, Petar",1,2014,0,,0,,0,
76,Boris Danailov,"Danailov, Boris",1,2019,0,,0,,0,
77,Viktoria Tihomirova Dancheva,"Dancheva, Viktoria Tihomirova",1,2021,0,,0,,0,
78,Mariya Grigorova Delyakova,"Delyakova, Mariya Grigorova",0,,1,2013,0,,0,
79,Martin Dimitrov Denev,"Denev, Martin Dimitrov",0,,1,2021,0,,0,
80,Alek Kristianov Dimitrov,"Dimitrov, Alek Kristianov",0,,1,2015,0,,0,
81,Denimir Nikolaev Dimitrov,"Dimitrov, Denimir Nikolaev",0,,1,2022,0,,0,
82,Dimitar Nikolay Dimitrov,"Dimitrov, Dimitar Nikolay",2,2015;2016,0,,0,,0,
83,Ivan Dimitrov Dimitrov,"Dimitrov Dimitrov, Ivan",0,,1,2013,0,,0,
84,Georgi Dimitrov Dimitrov,"Dimitrov, Georgi Dimitrov",1,2023,0,,0,,0,
85,Georgi Dimitrov Dimitrov,"Dimitrov, Georgi Dimitrov",1,2023,0,,0,,0,
86,Georgi Hristov Dimitrov,"Dimitrov, Georgi Hristov",1,2017,0,,0,,0,
87,Georgi Toshkov Dimitrov,"Dimitrov, Georgi Toshkov",0,,1,2015,0,,0,
88,Ivaylo Plamenov Dimitrov,"Dimitrov, Ivaylo Plamenov",1,2015,0,,0,,0,
89,Martin Dimitrov Dimitrov,"Dimitrov, Martin Dimitrov",1,2016,2,2018;2019,0,,0,
90,Bilyana Dimitrova Dimitrova,"Dimitrova, Bilyana Dimitrova",0,,1,2021,0,,0,
91,Ekaterina Rumenova Dimitrova,"Dimitrova, Ekaterina Rumenova",0,,1,2013,0,,0,
92,Kristina Dimitrova Dimitrova,"Dimitrova, Kristina Dimitrova",0,,1,2021,0,,0,
93,Martina Dimitrova,"Dimitrova, Martina",1,2014,0,,0,,0,
94,Martina Dobromirova Dimitrova,"Dimitrova, Martina Dobromirova",0,,1,2013,0,,0,
95,Veronika Rumenova Dimitrova,"Dimitrova, Veronika Rumenova",1,2022,0,,0,,0,
96,Martin Ivanov Dimov,"Dimov, Martin Ivanov",1,2022,0,,0,,0,
97,Zornitsa Dimova,"Dimova, Zornitsa",1,2013,0,,0,,0,
98,Atanas Boyanov Dinev,"Dinev, Atanas Boyanov",0,,1,2015,0,,0,
99,Cuong Viet Do,"Do, Cuong Viet",2,2015;2016,3,2017;2018;2019,0,,0,
100,Simeon Bisserov Doitchinov,"Doitchinov, Simeon Bisserov",0,,1,2021,0,,0,
101,Adelina Tsvetkova Dorovska,"Dorovska, Adelina Tsvetkova",1,2022,0,,0,,0,
102,Maria Nikolaeva Drencheva,"Drencheva, Maria Nikolaeva",0,,1,2021,0,,0,
103,Mekenyan Vanesa Eduard,"Eduard, Mekenyan Vanesa",1,2021,0,,0,,0,
104,Yasmin Behich Erdim,"Erdim, Yasmin Behich",1,2018,0,,0,,0,
105,Kaloyan Todorov Fachikov,"Fachikov, Kaloyan Todorov",1,2016,1,2019,0,,0,
106,Valentin Nikolaev Filipov,"Filipov, Valentin Nikolaev",0,,1,2023,0,,0,
107,Mario Fotev,"Fotev, Mario",1,2018,0,,0,,0,
108,Boris Tsvetanov Gachevski,"Gachevski, Boris Tsvetanov",0,,1,2021,0,,0,
109,Simona Petrova Gagarova,"Gagarova, Simona Petrova",0,,1,2023,0,,0,
110,Dragomir Dragomirov Ganeff,"Ganeff, Dragomir Dragomirov",1,2015,1,2018,0,,0,
111,Konstantin Radosvetov Garov,"Garov, Konstantin Radosvetov",1,2013,3,2014;2015;2016,0,,0,
112,Kostadin Svetlinov Garov,"Garov, Kostadin Svetlinov",0,,1,2013,0,,0,
113,Petar Milkov Gaydarov,"Gaydarov, Petar Milkov",0,,1,2013,0,,0,
114,Momchil Geogriev,"Geogriev, Momchil",1,2019,0,,0,,0,
115,Aleksandar Georgiev Georgiev,"Georgiev, Aleksandar Georgiev",1,2013,1,2016,0,,0,
116,Boris Nikolov Georgiev,"Georgiev, Boris Nikolov",1,2023,0,,0,,0,
117,Denislav Georgiev Georgiev,"Georgiev, Denislav Georgiev",0,,1,2017,0,,0,
118,Ivan Todorov Georgiev,"Georgiev, Ivan Todorov",1,2023,0,,0,,0,
119,Ivan Ventsislavov Georgiev,"Georgiev, Ivan Ventsislavov",2,2015;2016,2,2018;2019,0,,0,
120,Ivaylo Georgiev,"Georgiev, Ivaylo",0,,2,2013;2014,0,,0,
121,Konstantin Ivov Georgiev,"Georgiev, Konstantin Ivov",1,2018,0,,0,,0,
122,Maksimilian Rostislavov Georgiev,"Georgiev, Maksimilian Rostislavov",0,,1,2018,0,,0,
123,Nikola Slavchev Georgiev,"Georgiev, Nikola Slavchev",0,,1,2018,0,,0,
124,Yavor Georgiev Georgiev,"Georgiev, Yavor Georgiev",0,,1,2014,0,,0,
125,Gergana Marin Georgieva,"Georgieva, Gergana Marin",0,,2,2013;2014,0,,0,
126,Irina Atanasova Georgieva,"Georgieva, Irina Atanasova",1,2015,1,2018,0,,0,
127,Magdalena Marin Georgieva,"Georgieva, Magdalena Marin",0,,1,2013,0,,0,
128,Boris Vasilev Gerenski,"Gerenski, Boris Vasilev",0,,2,2017;2018,0,,0,
129,Boris Velkov Gerginov,"Gerginov, Boris Velkov",1,2018,1,2021,0,,0,
130,Martin Ruslanov Germanov,"Germanov, Martin Ruslanov",0,,1,2017,0,,0,
131,Nikola Nikolaev Getov,"Getov, Nikola Nikolaev",0,,1,2023,0,,0,
132,Mihaela Filipova Gledacheva,"Gledacheva, Mihaela Filipova",2,2015;2016,2,2018;2019,0,,0,
133,Gergana Yancheva Goncheva,"Goncheva, Gergana Yancheva",0,,1,2013,0,,0,
134,Stanislav Tsonev Grigorov,"Grigorov, Stanislav Tsonev",1,2018,0,,0,,0,
135,Deyan Deyanov Hadzhi-Manich,"Hadzhi-Manich, Deyan Deyanov",1,2018,1,2022,0,,0,
136,Angel Antonov Hristov,"Hristov, Angel Antonov",2,2018;2019,1,2022,1,2025,3,2023;2024;2025
137,Dimitar Dimitrov Hristov,"Hristov, Dimitar Dimitrov",2,2018;2019,1,2022,0,,0,
138,Hristo Kostov Hristov,"Hristov, Hristo Kostov",0,,1,2017,0,,0,
139,Marin Hristov Hristov,"Hristov, Marin Hristov",1,2019,1,2022,1,2023,3,2022;2023;2024
140,Andreya Ognyanova Hristova,"Hristova, Andreya Ognyanova",1,2017,0,,0,,0,
141,Boyana Boyanova Hristova,"Hristova, Boyana Boyanova",0,,1,2018,0,,0,
142,Greta Vasileva Hristozova,"Hristozova, Greta Vasileva",1,2013,0,,0,,0,
143,Atanas Stoyanov Hrisulev,"Hrisulev, Atanas Stoyanov",0,,2,2018;2019,0,,0,
144,Georgi Iliev,"Iliev, Georgi",1,2019,0,,0,,0,
145,Konstantin Hristov Iliev,"Iliev, Konstantin Hristov",1,2017,0,,0,,0,
146,Mario Kamenov Iliev,"Iliev, Mario Kamenov",0,,1,2013,0,,0,
147,Martina Krasimirova Ilieva,"Ilieva, Martina Krasimirova",2,2022;2023,0,,0,,0,
148,Martina Radostinova Ilieva,"Ilieva, Martina Radostinova",0,,1,2018,0,,0,
149,Sara Krasimirova Ilieva,"Ilieva, Sara Krasimirova",0,,1,2023,0,,0,
150,Tsvetelina Bistreva Ilieva,"Ilieva, Tsvetelina Bistreva",0,,1,2021,0,,0,
151,Vladimira Plamenova Irincheva,"Irincheva, Vladimira Plamenova",1,2013,2,2015;2016,0,,0,
152,Asel Irlanovna Ismoldaeva,"Ismoldaeva, Asel Irlanovna",0,,2,2013;2015,0,,0,
153,Margulan Erlanovich Ismoldayev,"Ismoldayev, Margulan Erlanovich",2,2016;2018,0,,0,,0,
154,Emil Ivanichkov,"Ivanichkov, Emil",1,2013,0,,0,,0,
155,Ivan Ivanov,"Ivanov, Ivan",1,2013,0,,0,,0,
156,Marko Vasilev Ivanov,"Ivanov, Marko Vasilev",0,,1,2016,0,,0,
157,Mladen Stefanov Ivanov,"Ivanov, Mladen Stefanov",1,2023,0,,0,,0,
158,Stefan Todorov Ivanov,"Ivanov, Stefan Todorov",1,2013,2,2016;2017,0,,0,
159,Venislav Emanoelov Ivanov,"Ivanov, Venislav Emanoelov",2,2014;2015,0,,0,,0,
160,Dona-Mariya Ivanova,"Ivanova, Dona-Mariya",0,,1,2013,0,,0,
161,Iva Ivanova,"Ivanova, Iva",1,2013,0,,0,,0,
162,Veselina Ivanova,"Ivanova, Veselina",0,,1,2019,0,,0,
163,Vyara Todorova Ivanova,"Ivanova, Vyara Todorova",0,,1,2013,0,,0,
164,Mati John Jamieson,"Jamieson, Mati John",1,2023,0,,0,,0,
165,Georgi Minchev Kalbakov,"Kalbakov, Georgi Minchev",0,,1,2023,0,,0,
166,Vanesa Angelova Kalinkova,"Kalinkova, Vanesa Angelova",1,2018,1,2022,0,,0,
167,Konstantin Kamenov,"Kamenov, Konstantin",0,,1,2019,0,,0,
168,Alexandar Kandzhichki,"Kandzhichki, Alexandar",0,,1,2013,0,,0,
169,Martin Veselinov Kanin,"Kanin, Martin Veselinov",1,2023,0,,0,,0,
170,Aleks Rosenov Karabashev,"Karabashev, Aleks Rosenov",1,2018,0,,0,,0,
171,Havel Aldinov Karagiozov,"Karagiozov, Havel Aldinov",0,,1,2013,0,,0,
172,Zhaklin Aleksandrova Katardzhieva,"Katardzhieva, Zhaklin Aleksandrova",1,2016,3,2017;2018;2019,0,,0,
173,Evgeni Staev Kayryakov,"Kayryakov, Evgeni Staev",1,2013,1,2017,0,,2,2019;2020
174,Alex Martinov Kirichev,"Kirichev, Alex Martinov",1,2021,0,,0,,0,
175,Mark Martinov Kirichev,"Kirichev, Mark Martinov",0,,2,2017;2018,0,,0,
176,Borislav Kirilov Kirilov,"Kirilov, Borislav Kirilov",3,2015;2016;2017,2,2018;2019,0,,4,2019;2020;2021;2022
177,Nadejda Kitipova,"Kitipova, Nadejda",1,2013,0,,0,,0,
178,Nadezhda Plamenova Kitipova,"Kitipova, Nadezhda Plamenova",1,2014,1,2016,0,,0,
179,Petar Ivanov Koev,"Koev, Petar Ivanov",1,2023,0,,0,,0,
180,Mariya Plamenova Koeva,"Koeva, Mariya Plamenova",1,2013,0,,0,,0,
181,Nikola Konstantinov Kolarov,"Kolarov, Nikola Konstantinov",1,2016,1,2018,0,,0,
182,Lyuba Konova,"Konova, Lyuba",1,2014,0,,0,,0,
183,Georgi Kostadinov,"Kostadinov, Georgi",1,2018,0,,0,,0,
184,Peychin Konstantinov Kostadinov,"Kostadinov, Peychin Konstantinov",2,2022;2023,0,,0,,0,
185,Victor Yassenov Kostadinov,"Kostadinov, Victor Yassenov",0,,1,2021,0,,0,
186,Stiliyan Kozhuharov,"Kozhuharov, Stiliyan",0,,1,2019,0,,0,
187,Orlin Nikolaev Kuchumbov,"Kuchumbov, Orlin Nikolaev",1,2013,2,2015;2016,0,,0,
188,Simona Emiliyanova Kukova,"Kukova, Simona Emiliyanova",0,,1,2015,0,,0,
