id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
374,Michael Baker,"Baker, Michael",0,,1,2019,0,,0,
375,Alexander Dazhen Cai,"Cai, Alexander Dazhen",0,,2,2017;2018,0,,0,
376,Andrew Chunwing Carlson,"Carlson, Andrew Chunwing",1,2014,3,2016;2017;2018,0,,0,
377,Jack Chen,"Chen, Jack",0,,1,2014,0,,0,
378,Josh Geng,"Geng, Josh",0,,1,2014,0,,0,
379,Roy Jisu Han,"Han, Roy Jisu",0,,1,2017,0,,0,
380,Jasmine Emily Hao,"Hao, Jasmine Emily",2,2013;2014,0,,0,,0,
381,Jenny Hua,"Hua, Jenny",0,,1,2019,0,,0,
382,Caleb Ji,"Ji, Caleb",0,,1,2019,1,2016,1,2014
383,Richard Kang,"Kang, Richard",0,,3,2013;2014;2015,1,2018,0,
384,Arnav Kumar,"Kumar, Arnav",0,,2,2018;2019,0,,0,
385,Evan Liang,"Liang, Evan",1,2018,1,2019,0,,0,
386,Yunsong Liang,"Liang, Yunsong",1,2014,0,,0,,0,
387,Kevin Lin,"Lin, Kevin",0,,1,2016,0,,0,
388,Zijie (Jack) Ma,"Ma, Zijie (Jack)",0,,1,2018,0,,0,
389,Richard Mah,"Mah, Richard",0,,1,2014,0,,0,
390,Noah Mok,"Mok, Noah",1,2019,0,,0,,0,
391,Mark Nie,"Nie, Mark",0,,1,2014,0,,0,
392,Diwen Shi,"Shi, Diwen",0,,1,2015,0,,0,
393,Christopher Situ,"Situ, Christopher",0,,1,2019,0,,0,
394,Edmond Tuong,"Tuong, Edmond",0,,1,2016,0,,0,
395,Longxiang Wang,"Wang, Longxiang",0,,1,2014,0,,0,
396,Poplar Wang,"Wang, Poplar",0,,2,2014;2015,0,,0,
397,Futong Yin,"Yin, Futong",1,2018,0,,0,,0,
398,Kevin Zhang,"Zhang, Kevin",0,,1,2017,0,,0,
399,Lily Zhang,"Zhang, Lily",0,,1,2016,0,,0,
400,Richard Zhang,"Zhang, Richard",0,,1,2019,0,,0,
401,Daniel Zhou,"Zhou, Daniel",0,,2,2013;2014,0,,0,
402,Jeffrey Zhou,"Zhou, Jeffrey",0,,1,2013,0,,0,
403,Jessica Zhuang,"Zhuang, Jessica",1,2019,0,,0,,0,
