id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
404,Andreas Aristodemou,"Aristodemou, Andreas",1,2022,0,,0,,1,2026
405,Selina Arkatites,"Arkatites, Selina",1,2019,0,,0,,0,
406,Angelos Assos,"Assos, Angelos",1,2013,1,2015,0,,4,2016;2017;2018;2019
407,Marios Avraamidis,"Avraamidis, Marios",1,2014,0,,0,,3,2018;2019;2020
408,Konstantinos Charalampous,"Charalampous, Konstantinos",0,,2,2016;2018,0,,3,2020;2021;2022
409,Filippos Athos Chatzichristofi,"Chatzichristofi, Filippos Athos",0,,1,2021,0,,2,2023;2024
410,Stavros Chimonides,"Chimonides, Stavros",1,2023,0,,0,,0,
411,Sotiris Cleanthous,"Cleanthous, Sotiris",1,2022,0,,0,,0,
412,Daniil Daniil,"Daniil, Daniil",1,2021,1,2023,0,,0,
413,Rafail Dimitriou,"Dimitriou, Rafail",1,2013,0,,0,,0,
414,Andreas Economou,"Economou, Andreas",0,,2,2013;2015,0,,4,2015;2016;2017;2018
415,Anna Economou,"Economou, Anna",1,2013,0,,0,,1,2017
416,Giorgos Gavriil,"Gavriil, Giorgos",0,,1,2023,0,,0,
417,Andreas Hadjileonidas,"Hadjileonidas, Andreas",1,2013,0,,0,,0,
418,Orestis Iacovou,"Iacovou, Orestis",1,2023,0,,0,,0,
419,Alexandros Koniotis,"Koniotis, Alexandros",1,2023,0,,0,,0,
420,Alexandros Louka,"Louka, Alexandros",0,,1,2023,0,,2,2025;2026
421,Ara Mahdessian,"Mahdessian, Ara",0,,1,2021,0,,4,2022;2023;2024;2025
422,Solonas Matsis,"Matsis, Solonas",1,2018,0,,0,,0,
423,Christofis Michail,"Michail, Christofis",0,,1,2019,0,,0,
424,Theofanis Orfanou,"Orfanou, Theofanis",1,2018,1,2021,0,,3,2022;2023;2024
425,Paisios Papasavvas,"Papasavvas, Paisios",1,2023,0,,0,,0,
426,Angelos Pelecanos,"Pelecanos, Angelos",0,,1,2013,0,,3,2015;2016;2017
427,Evangelos Pitsillis,"Pitsillis, Evangelos",1,2023,0,,0,,0,
428,Christoforos Pittalis,"Pittalis, Christoforos",1,2023,0,,0,,0,
429,Philippos Rouvas,"Rouvas, Philippos",1,2019,1,2023,0,,3,2024;2025;2026
430,Rafail Stylianou,"Stylianou, Rafail",1,2017,0,,0,,0,
431,Stelios Stylianou,"Stylianou, Stelios",0,,2,2013;2015,0,,3,2015;2016;2017
432,Andreas Theocharous,"Theocharous, Andreas",0,,1,2013,0,,1,2017
433,Stefanos Theocharous,"Theocharous, Stefanos",1,2015,1,2018,0,,1,2020
434,Georgia Timotheou,"Timotheou, Georgia",0,,1,2019,0,,0,
435,Aleksis Tsangaris,"Tsangaris, Aleksis",1,2023,0,,0,,0,
436,Maria Olymbia Tsianni,"Tsianni, Maria Olymbia",1,2013,1,2015,0,,0,
437,Kyriakos Tsiannis,"Tsiannis, Kyriakos",1,2016,2,2018;2019,0,,4,2020;2021;2022;2023
438,Petros Vasiliades,"Vasiliades, Petros",1,2015,0,,0,,0,
439,Petros Vourmas,"Vourmas, Petros",2,2021;2022,0,,0,,1,2026
440,Wang Qiyue YiFeng,"YiFeng, Wang Qiyue",0,,1,2021,0,,0,
