id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
449,Chak Him Au,"Au, Chak Him",0,,1,2014,0,,0,
450,Chun Hang Chan,"Chan, Chun Hang",1,2019,0,,0,,0,
451,Hin Yin Chan,"Chan, Hin Yin",1,2015,0,,0,,0,
452,Kwan Yu Chan,"Chan, Kwan Yu",1,2016,0,,2,2024;2025,1,2025
453,Lok Him Chan,"Chan, Lok Him",1,2022,0,,0,,0,
454,Pak Hei Chan,"Chan, Pak Hei",1,2017,0,,0,,0,
455,Pak Ho Anson Chan,"Chan, Pak Ho Anson",1,2021,0,,0,,0,
456,Tsz Yu Chan,"Chan, Tsz Yu",0,,1,2014,0,,0,
457,Wing Him Chan,"Chan, Wing Him",1,2022,0,,0,,0,
458,Yiu Sang Chan,"Chan, Yiu Sang",3,2016;2017;2018,0,,0,,0,
459,Yui Hei Chan,"Chan, Yui Hei",0,,1,2023,0,,0,
460,Man Hin Cheang,"Cheang, Man Hin",1,2018,0,,0,,0,
461,Fei Yeung Chen,"Chen, Fei Yeung",1,2023,0,,0,,0,
462,Nick Hang Cheng,"Cheng, Nick Hang",3,2014;2015;2016,2,2018;2019,1,2021,1,2022
463,On Sin Cheng,"Cheng, On Sin",1,2019,0,,0,,0,
464,Shing Chak Jonathan Cheng,"Cheng, Shing Chak Jonathan",1,2015,0,,0,,0,
465,Wai Chung Cheng,"Cheng, Wai Chung",0,,1,2014,1,2016,0,
466,Yat Long Cheng,"Cheng, Yat Long",1,2016,0,,0,,0,
467,Chin Ho Cheung,"Cheung, Chin Ho",0,,1,2013,0,,0,
468,Ka Yui Cheung,"Cheung, Ka Yui",1,2018,0,,0,,0,
469,Wai Lam Cheung,"Cheung, Wai Lam",0,,1,2013,1,2016,3,2014;2015;2016
470,Hoi Kit Marco Chiu,"Chiu, Hoi Kit Marco",1,2014,0,,0,,0,
471,Ka Kwan Chiu,"Chiu, Ka Kwan",1,2015,0,,0,,0,
472,Ming Hin Chiu,"Chiu, Ming Hin",1,2015,0,,0,,0,
473,Si Yui Cho,"Cho, Si Yui",0,,1,2018,0,,0,
474,Tsz Ho Choi,"Choi, Tsz Ho",1,2014,0,,0,,0,
475,Hon Tsun Chong,"Chong, Hon Tsun",1,2019,0,,0,,0,
476,Tsz Sing Chong,"Chong, Tsz Sing",1,2019,1,2023,2,2025;2026,2,2025;2026
477,Bak Yue Chow,"Chow, Bak Yue",1,2013,0,,0,,0,
478,Chun Yin Chow,"Chow, Chun Yin",0,,1,2018,0,,0,
479,King Ngai Chow,"Chow, King Ngai",1,2014,0,,0,,0,
480,Kit Chun Chow,"Chow, Kit Chun",1,2019,0,,0,,0,
481,Cheuk Hei Chu,"Chu, Cheuk Hei",1,2017,1,2019,4,2019;2021;2022;2023,4,2020;2021;2022;2023
482,Po Chun Chung,"Chung, Po Chun",1,2013,0,,0,,0,
483,Yiu Him Chung,"Chung, Yiu Him",1,2016,0,,0,,0,
484,Ming Fong,"Fong, Ming",0,,1,2023,0,,0,
485,Yat Sing Fong,"Fong, Yat Sing",1,2019,0,,0,,0,
486,Jia Cheng Charles Fu,"Fu, Jia Cheng Charles",1,2016,1,2019,0,,0,
487,Jeffrey Hartanto Kwee,"Hartanto Kwee, Jeffrey",1,2015,0,,0,,0,
488,Chun Ting Ho,"Ho, Chun Ting",1,2018,0,,0,,0,
489,Shun Ngai Ho,"Ho, Shun Ngai",0,,1,2023,1,2024,0,
490,Sui Kei Ho,"Ho, Sui Kei",0,,1,2016,1,2019,1,2019
491,Tsz Chun Ho,"Ho, Tsz Chun",0,,2,2015;2016,1,2017,1,2018
492,Wing Yu Ho,"Ho, Wing Yu",1,2023,0,,0,,0,
