id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
591,Divyansh Agarwal,"Agarwal, Divyansh",1,2023,0,,0,,0,
592,Vishishi Agarwal,"Agarwal, Vishishi",0,,1,2017,0,,0,
593,Adhyatm Agnihotri,"Agnihotri, Adhyatm",1,2019,0,,0,,0,
594,Rishabh Agrawal,"Agrawal, Rishabh",2,2021;2023,0,,0,,0,
595,Nazar Ali,"Ali, Nazar",1,2014,0,,0,,0,
596,Mohammad Ayaan,"Ayaan, Mohammad",1,2022,0,,0,,0,
597,Pratham Bharadwaj,"Bharadwaj, Pratham",1,2023,0,,0,,0,
598,Ayush Bhargava,"Bhargava, Ayush",1,2023,0,,0,,0,
599,Praharsh Chaturvedi,"Chaturvedi, Praharsh",0,,1,2023,0,,0,
600,Ayush Kumar Dwivedi,"Dwivedi, Ayush Kumar",0,,1,2017,0,,0,
601,Kaustabh Dwivedi,"Dwivedi, Kaustabh",1,2017,0,,0,,0,
602,Mohd Faizan Khan,"Khan, Mohd Faizan",0,,1,2023,0,,0,
603,Madhur Kumar,"Kumar, Madhur",0,,1,2017,0,,0,
604,Yatharth Manik,"Manik, Yatharth",0,,1,2017,0,,0,
605,Ishaan Mishra,"Mishra, Ishaan",1,2019,0,,0,,0,
606,Naman Mishra,"Mishra, Naman",1,2017,0,,0,,0,
607,Kartikey Pandey,"Pandey, Kartikey",1,2017,0,,0,,0,
608,Saksham Pandey,"Pandey, Saksham",1,2021,0,,0,,0,
609,Shubranshu Pandey,"Pandey, Shubranshu",1,2021,0,,0,,0,
610,Neil Poddar,"Poddar, Neil",0,,1,2017,0,,0,
611,Rishith Raj Raizada,"Raizada, Rishith Raj",1,2022,0,,0,,0,
612,Vardhan Kumar Ray,"Ray, Vardhan Kumar",1,2017,0,,0,,0,
613,Mohad Farzaq Raza,"Raza, Mohad Farzaq",0,,1,2017,0,,0,
614,Anshumaan Singh,"Singh, Anshumaan",1,2017,0,,0,,0,
615,Arya Vardhan Singh,"Singh, Arya Vardhan",1,2017,0,,0,,0,
616,Parthsarthi Singh,"Singh, Parthsarthi",0,,1,2022,0,,0,
617,Prashasti Singh,"Singh, Prashasti",1,2021,0,,0,,0,
618,Pravar Singh,"Singh, Pravar",0,,1,2021,0,,0,
619,Shikhar Singh,"Singh, Shikhar",0,,1,2017,0,,0,
620,Shivansh Singh,"Singh, Shivansh",0,,1,2017,0,,0,
621,Dakshesh Sinha,"Sinha, Dakshesh",0,,1,2022,0,,0,
622,Aman Srivastava,"Srivastava, Aman",0,,1,2021,0,,0,
623,Kriti Srivastava,"Srivastava, Kriti",1,2022,0,,0,,0,
624,Aryashi Tripathi,"Tripathi, Aryashi",1,2019,0,,0,,0,
625,Sakshi Tripathi,"Tripathi, Sakshi",1,2015,0,,0,,0,
626,Shreyansh Tripathi,"Tripathi, Shreyansh",0,,1,2017,0,,0,
627,Aviral Raj Verma,"Verma, Aviral Raj",1,2023,0,,0,,0,
628,Shreyansh Verma,"Verma, Shreyansh",1,2023,0,,0,,0,
