id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
960,Ko Aoki,"Aoki, Ko",0,,1,2013,2,2016;2017,2,2015;2016
961,Tomochika Arai,"Arai, Tomochika",0,,1,2015,1,2019,1,2018
962,Toshifumi Hara,"Hara, Toshifumi",0,,1,2014,1,2018,0,
963,Sotaro Honda,"Honda, Sotaro",0,,1,2014,0,,0,
964,Sora Ichikawa,"Ichikawa, Sora",0,,1,2013,0,,0,
965,Nobutaka Ikeda,"Ikeda, Nobutaka",0,,1,2013,0,,0,
966,Rikimaru Kurata,"Kurata, Rikimaru",0,,1,2013,2,2016;2017,1,2016
967,Naoki Kuroda,"Kuroda, Naoki",0,,1,2015,3,2017;2018;2019,2,2017;2018
968,Hiroki Maekawa,"Maekawa, Hiroki",0,,1,2015,0,,0,
969,Yusuke Nishimura,"Nishimura, Yusuke",0,,1,2015,0,,0,
970,Yuta Takaya,"Takaya, Yuta",0,,1,2014,3,2016;2017;2018,3,2015;2016;2017
971,Akihiro Watanabe,"Watanabe, Akihiro",0,,1,2014,1,2016,0,
