id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
972,Nurassyl Abdirazak,"Abdirazak, Nurassyl",1,2017,0,,1,2021,0,
973,Muhammadsolih Abdugafarov,"Abdugafarov, Muhammadsolih",1,2023,0,,0,,0,
974,Doszhan Abdygali,"Abdygali, Doszhan",1,2015,0,,0,,0,
975,Alimzhan Adil,"Adil, Alimzhan",3,2014;2015;2016,0,,0,,0,
976,Anuar Agybayev,"Agybayev, Anuar",1,2023,0,,0,,0,
977,Nygman Aiza,"Aiza, Nygman",1,2017,0,,0,,0,
978,Raiymbek Akshulakov,"Akshulakov, Raiymbek",0,,1,2013,1,2016,1,2016
979,Sultanali Aliaskar,"Aliaskar, Sultanali",1,2023,0,,0,,0,
980,Yerassyl Altinbek,"Altinbek, Yerassyl",0,,1,2023,1,2025,2,2025;2026
981,Aruzhan Amanbayeva,"Amanbayeva, Aruzhan",2,2013;2014,0,,2,2016;2018,3,2016;2017;2018
982,Akhanali Amangeldi,"Amangeldi, Akhanali",1,2017,0,,0,,0,
983,Tamerlan Arkenov,"Arkenov, Tamerlan",1,2019,0,,0,,0,
984,Dias Arystanbek,"Arystanbek, Dias",2,2017;2018,0,,0,,0,
985,Dana Asetova,"Asetova, Dana",1,2023,0,,0,,0,
986,Rakhman Asmatullayev,"Asmatullayev, Rakhman",1,2014,0,,1,2018,1,2018
987,Saddam Asmatullayev,"Asmatullayev, Saddam",0,,1,2014,1,2016,0,
988,Batyrkhan Baiganov,"Baiganov, Batyrkhan",1,2023,0,,2,2025;2026,1,2026
989,Danil Baimuldin,"Baimuldin, Danil",2,2016;2017,0,,0,,0,
990,Raiymbek Baishuak,"Baishuak, Raiymbek",2,2017;2018,0,,2,2022;2023,1,2023
991,Arsen Baktiyar,"Baktiyar, Arsen",1,2016,0,,0,,0,
992,Rakhat Baltabekov,"Baltabekov, Rakhat",1,2015,0,,0,,0,
993,Alan Beremkulov,"Beremkulov, Alan",2,2016;2017,0,,1,2020,0,
994,Almas Bralinov,"Bralinov, Almas",1,2013,0,,0,,0,
995,Yunona Bukasova,"Bukasova, Yunona",1,2016,0,,0,,0,
996,Tamerlan Burumbayev,"Burumbayev, Tamerlan",1,2017,0,,2,2020;2022,0,
997,Danay Dikhanbayev,"Dikhanbayev, Danay",1,2018,0,,0,,0,
998,Aman Essengeldi,"Essengeldi, Aman",1,2023,0,,0,,0,
999,Imir Gafurov,"Gafurov, Imir",1,2018,0,,0,,0,
1000,Alim Imanmalik,"Imanmalik, Alim",1,2016,0,,0,,0,
1001,Rustam Jumazhanov,"Jumazhanov, Rustam",1,2016,0,,0,,0,
1002,Miras Kabdygali,"Kabdygali, Miras",2,2013;2014,0,,0,,0,
1003,Torezhan Kabdyrakym,"Kabdyrakym, Torezhan",1,2019,0,,0,,0,
1004,Yasmin Kadyrova,"Kadyrova, Yasmin",1,2014,0,,0,,0,
1005,Alimkhan Kassymov,"Kassymov, Alimkhan",1,2015,0,,0,,0,
1006,Aknazar Kazhymurat,"Kazhymurat, Aknazar",1,2015,0,,0,,0,
1007,Timur Kilybaev,"Kilybaev, Timur",1,2023,0,,0,,0,
1008,Zhansultan Kuikenov,"Kuikenov, Zhansultan",1,2015,0,,0,,0,
1009,Tomiris Kurmanalina,"Kurmanalina, Tomiris",1,2018,0,,0,,0,
1010,Olzhas Makhazhanov,"Makhazhanov, Olzhas",2,2018;2019,0,,0,,0,
1011,Merey Makhmutova,"Makhmutova, Merey",1,2016,0,,0,,0,
1012,Dastan Meder,"Meder, Dastan",2,2018;2019,0,,0,,0,
1013,Ayan Myrzakhmet,"Myrzakhmet, Ayan",1,2015,0,,0,,0,
1014,Bekzat Nadir,"Nadir, Bekzat",1,2015,0,,0,,0,
1015,Assylbek Olzhabayev,"Olzhabayev, Assylbek",2,2015;2016,0,,1,2020,1,2021
1016,Makhmut Omar,"Omar, Makhmut",1,2018,0,,1,2021,0,
1017,Gleb Patyrin,"Patyrin, Gleb",1,2017,0,,0,,0,
1018,Mikhail Ponomaryov,"Ponomaryov, Mikhail",1,2017,0,,0,,0,
1019,Adi Sakhantaev,"Sakhantaev, Adi",1,2018,0,,0,,0,
1020,Aidana Saparova,"Saparova, Aidana",1,2016,0,,0,,0,
1021,Daniel Sharafutdinov,"Sharafutdinov, Daniel",1,2019,0,,0,,0,
1022,Daniil Shatokhin,"Shatokhin, Daniil",1,2017,0,,0,,0,
1023,Sergey Shin,"Shin, Sergey",0,,1,2014,0,,0,
1024,Alua Shyntay,"Shyntay, Alua",1,2014,0,,0,,0,
1025,Alim Togayev,"Togayev, Alim",1,2018,0,,0,,0,
1026,Yaroslav Toporov,"Toporov, Yaroslav",1,2017,0,,1,2020,0,
1027,Alexey Tsekhovoy,"Tsekhovoy, Alexey",2,2013;2014,0,,0,,2,2017;2018
1028,Aidar Tuleshov,"Tuleshov, Aidar",1,2015,0,,0,,0,
1029,Alimzhan Turdaly,"Turdaly, Alimzhan",1,2018,0,,0,,0,
1030,Kuat Utebayev,"Utebayev, Kuat",1,2015,0,,0,,0,
1031,Danil Vesselov,"Vesselov, Danil",1,2016,0,,0,,0,
1032,Ilyasgizhduani Yegeubayev,"Yegeubayev, Ilyasgizhduani",1,2023,0,,0,,0,
1033,Tleuzhan Yerkenov,"Yerkenov, Tleuzhan",1,2016,0,,0,,0,
1034,Baiseit Yessenbay,"Yessenbay, Baiseit",1,2018,0,,0,,0,
1035,Ansar Zeinulla,"Zeinulla, Ansar",1,2019,0,,0,,0,
1036,Zhangir Zhaksybay,"Zhaksybay, Zhangir",1,2019,0,,0,,0,
1037,Kuanysh Zholdassov,"Zholdassov, Kuanysh",1,2015,0,,1,2019,0,
