id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1171,Xing Yi Ang,"Ang, Xing Yi",1,2017,2,2018;2019,1,2021,0,
1172,Tze Shen Tristan Chaang,"Chaang, Tze Shen Tristan",1,2015,1,2017,5,2018;2019;2020;2021;2022,5,2018;2019;2020;2021;2022
1173,Ethan Kai Ern Chan,"Chan, Ethan Kai Ern",1,2017,1,2018,0,,0,
1174,Ivan Guan Yu Chan,"Chan, Ivan Guan Yu",1,2022,1,2021,4,2022;2023;2024;2025,3,2024;2025;2026
1175,Yi Feng Chan,"Chan, Yi Feng",1,2016,0,,0,,0,
1176,Yin Kuan Chan,"Chan, Yin Kuan",1,2022,0,,0,,0,
1177,Jer Wen Chia,"Chia, Jer Wen",1,2014,0,,0,,0,
1178,Wei Ye Chia,"Chia, Wei Ye",1,2014,0,,0,,0,
1179,Herng Ee Chieng,"Chieng, Herng Ee",0,,1,2013,0,,0,
1180,Brandon Choo Sze How,"Choo Sze How, Brandon",2,2021;2022,0,,2,2022;2025,1,2025
1181,Xing Hang Chow,"Chow, Xing Hang",1,2016,0,,0,,0,
1182,Chong Hong Choy,"Choy, Chong Hong",2,2021;2022,0,,1,2023,0,
1183,Jia Herng Chuah,"Chuah, Jia Herng",0,,2,2019;2021,1,2023,2,2023;2025
1184,Lih Ying Gan,"Gan, Lih Ying",1,2021,0,,0,,0,
1185,Jun Thean Goh,"Goh, Jun Thean",0,,1,2022,1,2025,0,
1186,How Ying Jun,"Jun, How Ying",1,2015,0,,0,,0,
1187,Josiah Rui Ming Kho,"Kho, Josiah Rui Ming",1,2018,0,,0,,0,
1188,Davin Wen-Ning Khor,"Khor, Davin Wen-Ning",1,2017,0,,0,,0,
1189,Yan Xun Khor,"Khor, Yan Xun",1,2022,0,,0,,0,
1190,Matthias Cheng Yao Koh,"Koh, Matthias Cheng Yao",1,2021,0,,0,,0,
1191,Samuel Qi En Koh,"Koh, Samuel Qi En",1,2015,0,,1,2022,0,
1192,Pu Ern Kow,"Kow, Pu Ern",0,,1,2013,0,,0,
1193,Ryan Yi Jie Kua,"Kua, Ryan Yi Jie",0,,1,2022,1,2024,0,
1194,Joe Han Lam,"Lam, Joe Han",0,,2,2015;2017,0,,0,
1195,Bryan Shi Yang Lee,"Lee, Bryan Shi Yang",1,2015,0,,2,2021;2023,0,
1196,Jia Jun Lee,"Lee, Jia Jun",0,,1,2014,0,,0,
1197,Jun Xuan Liew,"Liew, Jun Xuan",1,2019,0,,0,,0,
1198,Chee Hong Lim,"Lim, Chee Hong",0,,1,2019,0,,0,
1199,Chun Yik Lim,"Lim, Chun Yik",1,2016,0,,0,,0,
1200,Eng Wee Lim,"Lim, Eng Wee",0,,1,2014,0,,0,
1201,Isaac Zhi Yann Lim,"Lim, Isaac Zhi Yann",1,2022,0,,0,,0,
1202,Le Ying Lim,"Lim, Le Ying",1,2015,0,,0,,0,
1203,Li Xiang Lim,"Lim, Li Xiang",0,,1,2016,0,,0,
1204,Ming Wen Lim,"Lim, Ming Wen",1,2017,1,2019,1,2019,0,
1205,Ying Chuan Lim,"Lim, Ying Chuan",0,,1,2016,0,,0,
1206,Lynnox Edviano Loo,"Loo, Lynnox Edviano",0,,1,2016,0,,0,
1207,Siao Chi Mok,"Mok, Siao Chi",0,,1,2013,0,,0,
1208,Chang Jun Ng,"Ng, Chang Jun",1,2016,0,,0,,0,
1209,Hong Wei Ng,"Ng, Hong Wei",1,2017,0,,0,,0,
1210,Jia Quan Ng,"Ng, Jia Quan",1,2015,0,,0,,0,
1211,Kai Yan Ng,"Ng, Kai Yan",1,2019,0,,0,,0,
1212,Yong Qian Ng,"Ng, Yong Qian",1,2014,0,,0,,0,
1213,Aidan Ming Feng Ong,"Ong, Aidan Ming Feng",2,2017;2018,0,,0,,0,
1214,Heyang Ong,"Ong, Heyang",1,2016,0,,0,,0,
1215,Kuhaneeshver Sellappan,"Sellappan, Kuhaneeshver",1,2021,0,,0,,0,
1216,Abdul Haqq Bin Shamil,"Shamil, Abdul Haqq Bin",1,2021,0,,0,,0,
1217,Yi Rong Shee,"Shee, Yi Rong",1,2017,0,,0,,0,
1218,Amelia Siow,"Siow, Amelia",0,,1,2021,0,,0,
1219,Chu Jun Song,"Song, Chu Jun",1,2015,0,,0,,0,
1220,Eu Khai Soo,"Soo, Eu Khai",1,2022,0,,0,,0,
1221,Li Xuan Tan,"Tan, Li Xuan",1,2014,3,2015;2016;2017,6,2016;2017;2018;2019;2020;2021,6,2016;2017;2018;2019;2020;2021
1222,Min Heng Tan,"Tan, Min Heng",0,,1,2019,4,2021;2022;2023;2024,3,2022;2023;2024
1223,Shao Xuan Jordan Tan,"Tan, Shao Xuan Jordan",1,2014,2,2016;2017,0,,0,
1224,Soon Wei Tan,"Tan, Soon Wei",0,,1,2014,0,,0,
1225,Yan Zheng Tan,"Tan, Yan Zheng",1,2019,0,,0,,0,
1226,Jia Xin Teng,"Teng, Jia Xin",0,,1,2021,0,,0,
1227,Raymand Jia Cheng Tey,"Tey, Raymand Jia Cheng",1,2014,0,,0,,0,
