id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1238,Luis Alfredo Aceves Astengo,"Aceves Astengo, Luis Alfredo",0,,1,2014,0,,0,
1239,Rogelio Esau Aguirre Gonzalez,"Aguirre Gonzalez, Rogelio Esau",0,,1,2017,0,,0,
1240,Luis Alejandro Alcaraz Orozco,"Alcaraz Orozco, Luis Alejandro",1,2017,0,,0,,0,
1241,Víctor Hugo Almendra Hernández,"Almendra Hernández, Víctor Hugo",0,,1,2014,1,2016,1,2016
1242,Franco Giosef Álvarez González,"Álvarez González, Franco Giosef",0,,1,2021,0,,0,
1243,Fernando Álvarez Ruiz,"Álvarez Ruiz, Fernando",1,2017,1,2021,0,,0,
1244,Arturo Arenas Esparza,"Arenas Esparza, Arturo",0,,1,2013,1,2016,0,
1245,Ricardo Balam Ek,"Balam Ek, Ricardo",0,,1,2016,0,,0,
1246,Itzanami Berlanga Contreras,"Berlanga Contreras, Itzanami",0,,1,2017,0,,0,
1247,Kevin William Beuchot Castellanos,"Beuchot Castellanos, Kevin William",0,,1,2013,1,2016,4,2013;2014;2015;2016
1248,Sofía Ingigerth Canas Urbina,"Canas Urbina, Sofía Ingigerth",0,,1,2017,0,,0,
1249,Rosa Victoria Cantú Rodríguez,"Cantú Rodríguez, Rosa Victoria",0,,1,2021,0,,0,
1250,Tomas Francisco Cantu Rodriguez,"Cantu Rodriguez, Tomas Francisco",0,,1,2018,3,2019;2020;2021,3,2019;2020;2021
1251,Javier Caram Quirós,"Caram Quirós, Javier",1,2019,2,2022;2023,3,2024;2025;2026,2,2025;2026
1252,Andrea Sarahí Cascante Duarte,"Cascante Duarte, Andrea Sarahí",0,,2,2022;2023,1,2026,1,2026
1253,Juan Carlos Castro Fernández,"Castro Fernández, Juan Carlos",0,,1,2014,0,,0,
1254,Leonardo Mikel Cervantes Mateos,"Cervantes Mateos, Leonardo Mikel",0,,1,2019,1,2022,1,2022
1255,Zariffe Yamel Céspedes Pelayo,"Céspedes Pelayo, Zariffe Yamel",2,2021;2022,0,,0,,0,
1256,Jacobo De Juan Millon,"De Juan Millon, Jacobo",1,2017,2,2018;2019,1,2019,0,
1257,Gonzalo Díaz Mercado,"Díaz Mercado, Gonzalo",1,2022,0,,0,,0,
1258,Víctor Antonio Domínguez Silva,"Domínguez Silva, Víctor Antonio",0,,1,2015,2,2017;2018,2,2017;2018
1259,Sebastian Stephan Dulong Salazar,"Dulong Salazar, Sebastian Stephan",0,,1,2016,0,,0,
1260,Rodolfo Flores Jiménez,"Flores Jiménez, Rodolfo",0,,1,2014,0,,0,
