id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1309,Altansukh Altan-Od,"Altan-Od, Altansukh",1,2014,2,2016;2017,0,,0,
1310,Khas-Ochir Amarsaikhan,"Amarsaikhan, Khas-Ochir",1,2016,0,,0,,0,
1311,Purevzaya Amarzaya,"Amarzaya, Purevzaya",1,2014,1,2016,0,,1,2019
1312,Anu Ankhbayar,"Ankhbayar, Anu",1,2022,0,,0,,0,
1313,Temuulen Baasannorov,"Baasannorov, Temuulen",2,2014;2015,0,,0,,0,
1314,Altangerel Baatar,"Baatar, Altangerel",0,,1,2013,0,,1,2017
1315,Bilguun Bat-Erdene,"Bat-Erdene, Bilguun",1,2023,0,,0,,0,
1316,Turkhuu Batbaatar,"Batbaatar, Turkhuu",0,,2,2013;2014,0,,0,
1317,Bilguun Batbayar,"Batbayar, Bilguun",2,2015;2016,1,2017,0,,0,
1318,Purev Batdelger,"Batdelger, Purev",0,,1,2013,0,,2,2015;2016
1319,Jargal Batgerel,"Batgerel, Jargal",1,2023,0,,0,,0,
1320,Tenuunsaikhan Batlkhagva,"Batlkhagva, Tenuunsaikhan",0,,1,2022,1,2025,2,2023;2025
1321,Odgerel Batmunkh,"Batmunkh, Odgerel",1,2023,0,,0,,0,
1322,Batmend Batsaikhan,"Batsaikhan, Batmend",1,2014,0,,0,,3,2017;2018;2019
1323,Dolgormaa Batsaikhan,"Batsaikhan, Dolgormaa",0,,1,2015,0,,1,2019
1324,Turbat Battsengel,"Battsengel, Turbat",0,,2,2014;2015,0,,1,2018
1325,Bayarbat Battseren,"Battseren, Bayarbat",0,,1,2014,0,,0,
1326,Belgutei Bayar,"Bayar, Belgutei",0,,1,2022,1,2025,2,2024;2025
1327,Gegeelen Boldbaatar,"Boldbaatar, Gegeelen",1,2023,0,,0,,0,
1328,Munkhmandakh Boldbaatar,"Boldbaatar, Munkhmandakh",1,2022,0,,0,,0,
1329,Tsog Boldbaatar,"Boldbaatar, Tsog",1,2013,1,2016,0,,0,
1330,Tuvshindalai Boldbaatar,"Boldbaatar, Tuvshindalai",1,2022,1,2023,1,2025,1,2025
1331,Tugsmurun Boldbayar,"Boldbayar, Tugsmurun",1,2023,0,,0,,0,
1332,Enkhriilen Buyanmunkh,"Buyanmunkh, Enkhriilen",1,2017,0,,0,,0,
1333,Irmuun Chinbat,"Chinbat, Irmuun",0,,1,2022,0,,0,
1334,Chingun Chindegsuren,"Chindegsuren, Chingun",0,,1,2023,1,2026,1,2026
1335,Enerelt Delgerdalai,"Delgerdalai, Enerelt",2,2016;2017,0,,0,,5,2020;2021;2022;2023;2024
1336,Itgel Delgerdalai,"Delgerdalai, Itgel",0,,1,2016,0,,0,
1337,Namuungoo Enkhbat,"Enkhbat, Namuungoo",2,2013;2014,0,,0,,0,
1338,Munkh-Ochir Enkhbold,"Enkhbold, Munkh-Ochir",0,,1,2023,0,,0,
1339,Uyanga Enkhsaikhan,"Enkhsaikhan, Uyanga",2,2016;2017,0,,0,,0,
1340,Ankhbayar Enkhtaivan,"Enkhtaivan, Ankhbayar",1,2013,0,,0,,0,
1341,Tenuun Erdenebayar,"Erdenebayar, Tenuun",0,,1,2022,0,,0,
1342,Undrakhbayar Ganbayar,"Ganbayar, Undrakhbayar",1,2022,0,,0,,0,
1343,Gankhuur Ganbold,"Ganbold, Gankhuur",1,2013,0,,0,,0,
1344,Zolzaya Gankhuyag,"Gankhuyag, Zolzaya",1,2017,0,,0,,0,
1345,Enguun Gantulga,"Gantulga, Enguun",1,2022,0,,0,,0,
