id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1396,Mingyu Bai,"Bai, Mingyu",1,2019,1,2021,0,,0,
1397,Moyan Bai,"Bai, Moyan",1,2019,0,,0,,0,
1398,Guanyu Bao,"Bao, Guanyu",0,,1,2023,0,,0,
1399,Wenlong Bao,"Bao, Wenlong",0,,1,2015,0,,0,
1400,Lexin Bian,"Bian, Lexin",0,,1,2023,0,,0,
1401,Renyi Cai,"Cai, Renyi",1,2023,0,,0,,0,
1402,Wenyuan Cai,"Cai, Wenyuan",0,,1,2015,0,,0,
1403,Zhebiao Cai,"Cai, Zhebiao",0,,1,2015,0,,0,
1404,Zhiyi Cao,"Cao, Zhiyi",1,2018,0,,0,,0,
1405,Yi Chao,"Chao, Yi",1,2015,0,,0,,0,
1406,Bo Chen,"Chen, Bo",1,2019,0,,0,,0,
1407,Hao Chen,"Chen, Hao",1,2013,0,,0,,0,
1408,Hong Chen,"Chen, Hong",0,,1,2014,0,,0,
1409,Junkai Chen,"Chen, Junkai",1,2015,0,,0,,0,
1410,Junru Chen,"Chen, Junru",0,,1,2016,0,,0,
1411,Junxian Chen,"Chen, Junxian",1,2014,0,,0,,0,
1412,Shenglong Chen,"Chen, Shenglong",0,,1,2013,0,,0,
1413,Shiqi Chen,"Chen, Shiqi",0,,1,2013,0,,0,
1414,Yilin Chen,"Chen, Yilin",1,2015,0,,0,,0,
1415,Yiting Chen,"Chen, Yiting",1,2015,0,,0,,0,
1416,Zhirui Chen,"Chen, Zhirui",0,,1,2014,0,,0,
1417,Ziyang Chen,"Chen, Ziyang",1,2014,0,,0,,0,
1418,Tianle Cheng,"Cheng, Tianle",0,,1,2015,0,,0,
1419,Chen Chi,"Chi, Chen",0,,1,2023,0,,0,
1420,Tianyue Dai,"Dai, Tianyue",1,2021,0,,0,,0,
1421,Silong Deng,"Deng, Silong",0,,1,2016,0,,0,
1422,Jingren Ding,"Ding, Jingren",1,2021,0,,0,,0,
1423,Peiyu Ding,"Ding, Peiyu",0,,2,2014;2015,0,,0,
1424,Sirui Dong,"Dong, Sirui",1,2016,0,,0,,0,
1425,Haoxuan Du,"Du, Haoxuan",1,2022,0,,0,,0,
1426,Bincheng Fan,"Fan, Bincheng",1,2013,0,,0,,0,
1427,Ziyuan Fang,"Fang, Ziyuan",0,,1,2023,0,,0,
1428,Qinze Feng,"Feng, Qinze",0,,1,2023,0,,0,
1429,Zhaoyu Feng,"Feng, Zhaoyu",1,2023,0,,0,,0,
1430,Shanyin Fu,"Fu, Shanyin",1,2015,0,,0,,0,
1431,Angrui Gao,"Gao, Angrui",0,,1,2022,0,,0,
1432,Qihang Gao,"Gao, Qihang",0,,1,2021,0,,0,
1433,Rongbo Gao,"Gao, Rongbo",0,,1,2018,0,,0,
1434,Aiwei Guo,"Guo, Aiwei",0,,1,2019,0,,0,
1435,Xingzhi Guo,"Guo, Xingzhi",1,2015,0,,0,,0,
1436,Siyue Han,"Han, Siyue",0,,1,2013,0,,0,
1437,Xuan Han,"Han, Xuan",0,,1,2018,0,,0,
1438,Xinyue He,"He, Xinyue",1,2022,0,,0,,0,
1439,Jiawei Hu,"Hu, Jiawei",1,2021,1,2022,0,,0,
1440,Yuchen Hu,"Hu, Yuchen",1,2016,0,,0,,0,
1441,Zirui Hu,"Hu, Zirui",0,,1,2018,0,,0,
1442,Zhiyuan Hua,"Hua, Zhiyuan",1,2022,0,,0,,0,
1443,Chenhao Huang,"Huang, Chenhao",0,,1,2014,0,,0,
1444,Junsheng Huang,"Huang, Junsheng",1,2015,0,,0,,0,
1445,Zitong Huang,"Huang, Zitong",1,2022,0,,0,,0,
1446,Chuwei Hui,"Hui, Chuwei",1,2019,0,,0,,0,
1447,Xiaonan Ji,"Ji, Xiaonan",1,2015,0,,0,,0,
1448,Yuanting Jia,"Jia, Yuanting",0,,1,2014,0,,0,
1449,Songhao Jiang,"Jiang, Songhao",0,,1,2018,0,,0,
1450,Yongzhi Jiang,"Jiang, Yongzhi",1,2023,0,,0,,0,
1451,Xule Jin,"Jin, Xule",0,,1,2023,0,,0,
1452,Yi Jing,"Jing, Yi",1,2016,0,,0,,0,
1453,Yujian Kan,"Kan, Yujian",1,2015,0,,0,,0,
1454,Baiming Lang,"Lang, Baiming",0,,1,2015,0,,0,
1455,Bingheng Li,"Li, Bingheng",0,,1,2018,0,,0,
1456,Bowen Li,"Li, Bowen",0,,1,2016,0,,0,
1457,Chengda Li,"Li, Chengda",1,2015,0,,0,,0,
1458,Chenglin Li,"Li, Chenglin",1,2023,0,,0,,0,
1459,Chenyu Li,"Li, Chenyu",0,,1,2022,0,,0,
1460,Hang Li,"Li, Hang",1,2015,0,,0,,0,
1461,Jiacheng Li,"Li, Jiacheng",0,,1,2015,0,,0,
1462,Jiakun Li,"Li, Jiakun",1,2023,0,,0,,0,
1463,Jiaying Li,"Li, Jiaying",1,2015,0,,0,,0,
1464,Jingze Li,"Li, Jingze",0,,1,2015,0,,0,
1465,Kexin Li,"Li, Kexin",0,,1,2015,0,,0,
1466,Linxin Li,"Li, Linxin",0,,1,2015,0,,0,
1467,Nan Li,"Li, Nan",0,,1,2023,0,,0,
1468,Qiwei Li,"Li, Qiwei",0,,1,2015,0,,0,
1469,Wenxuan Li,"Li, Wenxuan",1,2022,0,,0,,0,
1470,Yang Li,"Li, Yang",1,2013,0,,0,,0,
1471,Yazhen Li,"Li, Yazhen",0,,1,2013,0,,0,
1472,Zhipeng Li,"Li, Zhipeng",0,,1,2015,0,,0,
1473,Zhongqi Li,"Li, Zhongqi",0,,1,2015,0,,0,
1474,Zhuohang Li,"Li, Zhuohang",0,,1,2014,0,,0,
1475,Zixuan Li,"Li, Zixuan",0,,1,2022,0,,0,
1476,Jiankun Liang,"Liang, Jiankun",1,2015,0,,0,,0,
1477,Rui Liang,"Liang, Rui",1,2013,0,,0,,0,
1478,Yifan Liang,"Liang, Yifan",0,,1,2013,0,,0,
1479,Yuming Lin,"Lin, Yuming",1,2023,0,,0,,0,
1480,Zipeng Lin,"Lin, Zipeng",0,,1,2015,0,,0,
1481,Yichen Ling,"Ling, Yichen",1,2022,0,,0,,0,
1482,Baixu Liu,"Liu, Baixu",0,,1,2016,0,,0,
1483,Chenwen Liu,"Liu, Chenwen",1,2021,0,,0,,0,
1484,Jiayi Liu,"Liu, Jiayi",1,2023,0,,0,,0,
1485,Siyang Liu,"Liu, Siyang",0,,1,2015,0,,0,
1486,Tianze Liu,"Liu, Tianze",0,,1,2015,0,,0,
1487,Wenhao Liu,"Liu, Wenhao",1,2016,0,,0,,0,
1488,Xiangyi Liu,"Liu, Xiangyi",0,,2,2015;2016,0,,0,
1489,Xiaoli Liu,"Liu, Xiaoli",1,2016,0,,0,,0,
1490,Xingwang Liu,"Liu, Xingwang",1,2016,0,,0,,0,
1491,Xinya Liu,"Liu, Xinya",0,,1,2016,0,,0,
1492,Yicen Liu,"Liu, Yicen",0,,1,2018,0,,0,
1493,Yiqi Liu,"Liu, Yiqi",0,,1,2013,0,,0,
1494,Yumu Liu,"Liu, Yumu",1,2013,0,,0,,0,
