id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1868,Dongyeon An,"An, Dongyeon",1,2017,0,,0,,0,
1869,Jihoon Bae,"Bae, Jihoon",1,2014,0,,0,,0,
1870,Chanwoo Baek,"Baek, Chanwoo",1,2019,0,,0,,0,
1871,Se-Been Bok,"Bok, Se-Been",1,2021,0,,0,,0,
1872,Yearim Cha,"Cha, Yearim",0,,1,2015,0,,0,
1873,Hwuijae Cho,"Cho, Hwuijae",0,,1,2014,0,,0,
1874,Jaebeom Cho,"Cho, Jaebeom",1,2013,0,,0,,0,
1875,Seongjoon Cho,"Cho, Seongjoon",0,,2,2014;2015,0,,0,
1876,Ian Choi,"Choi, Ian",1,2022,0,,0,,0,
1877,Kangin Choi,"Choi, Kangin",2,2014;2015,0,,0,,0,
1878,Narin Choi,"Choi, Narin",1,2014,0,,0,,0,
1879,Seochang Choi,"Choi, Seochang",1,2017,0,,0,,0,
1880,Sooah Choi,"Choi, Sooah",1,2014,0,,0,,0,
1881,Yejin Choi,"Choi, Yejin",1,2014,0,,0,,0,
1882,Yoonkyoung Choi,"Choi, Yoonkyoung",0,,1,2014,0,,0,
1883,Garin Goo,"Goo, Garin",1,2013,0,,0,,0,
1884,Sangwon Hong,"Hong, Sangwon",1,2017,0,,0,,0,
1885,Joonseop Huh,"Huh, Joonseop",1,2014,0,,0,,0,
1886,Jeonghyeok Hwang,"Hwang, Jeonghyeok",3,2021;2022;2023,0,,0,,0,
1887,Geunyoung Jang,"Jang, Geunyoung",1,2014,0,,0,,0,
1888,Seungha Jeon,"Jeon, Seungha",0,,1,2013,0,,0,
1889,Woongil Jeon,"Jeon, Woongil",0,,1,2014,0,,0,
1890,Jiho Jeong,"Jeong, Jiho",1,2015,0,,0,,0,
1891,Jinwoo Jeong,"Jeong, Jinwoo",1,2015,0,,0,,0,
1892,Sanghee Jeong,"Jeong, Sanghee",1,2023,0,,0,,0,
1893,Seungun Jeong,"Jeong, Seungun",0,,1,2014,0,,0,
1894,Yechan Jeong,"Jeong, Yechan",1,2023,0,,0,,0,
1895,Youngjae Jo,"Jo, Youngjae",0,,1,2014,0,,0,
1896,Haejin Joo,"Joo, Haejin",1,2013,0,,0,,0,
1897,Haewon Jung,"Jung, Haewon",0,,1,2014,0,,0,
1898,Minsu Jung,"Jung, Minsu",1,2014,0,,0,,0,
1899,Gyu-Da Kang,"Kang, Gyu-Da",1,2021,0,,0,,0,
1900,Minhyeon Kang,"Kang, Minhyeon",1,2021,0,,0,,0,
1901,Seungho Kang,"Kang, Seungho",1,2014,0,,0,,0,
1902,Taewoo Kang,"Kang, Taewoo",1,2023,0,,0,,0,
1903,Taeyeong Kang,"Kang, Taeyeong",1,2023,0,,0,,0,
1904,Byungjun Kim,"Kim, Byungjun",1,2014,0,,0,,0,
1905,Dohan Kim,"Kim, Dohan",0,,1,2014,0,,0,
1906,Dohyun Kim,"Kim, Dohyun",1,2022,0,,0,,0,
1907,Douk Kim,"Kim, Douk",1,2015,0,,0,,0,
1908,Doyun Kim,"Kim, Doyun",1,2022,0,,0,,0,
1909,Eunhae Kim,"Kim, Eunhae",0,,1,2014,0,,0,
1910,Geonhoon Kim,"Kim, Geonhoon",1,2015,0,,0,,0,
1911,Hyeongun Kim,"Kim, Hyeongun",2,2014;2015,0,,0,,0,
1912,Hyunseo Kim,"Kim, Hyunseo",0,,1,2017,0,,0,
1913,Jeongwoo Kim,"Kim, Jeongwoo",1,2013,0,,0,,0,
1914,Jitae Kim,"Kim, Jitae",1,2013,1,2014,0,,0,
1915,Jongwoo Kim,"Kim, Jongwoo",1,2014,0,,0,,0,
1916,Jungmin Kim,"Kim, Jungmin",1,2015,0,,0,,0,
1917,Jungwoo Kim,"Kim, Jungwoo",2,2018;2019,0,,0,,0,
1918,Mingyu Kim,"Kim, Mingyu",0,,1,2014,0,,0,
1919,Minseo Kim,"Kim, Minseo",1,2017,0,,0,,0,
1920,Minsu Kim,"Kim, Minsu",1,2015,0,,0,,0,
1921,Seojun Kim,"Kim, Seojun",2,2022;2023,0,,0,,0,
1922,Seoyoung Kim,"Kim, Seoyoung",2,2021;2022,0,,0,,0,
1923,Sunho Kim,"Kim, Sunho",0,,1,2014,0,,0,
1924,Suyeong Kim,"Kim, Suyeong",0,,1,2014,0,,0,
1925,Ukjin Kim,"Kim, Ukjin",1,2014,0,,0,,0,
1926,Yo-Ha Kim,"Kim, Yo-Ha",1,2021,0,,0,,0,
1927,Youngrae Kim,"Kim, Youngrae",0,,1,2014,0,,0,
1928,Sangjun Ko,"Ko, Sangjun",1,2014,0,,0,,0,
1929,Yoonchan Ko,"Ko, Yoonchan",1,2023,0,,0,,0,
1930,Mingyu Kwak,"Kwak, Mingyu",1,2014,0,,0,,0,
1931,Donghyun Kwon,"Kwon, Donghyun",1,2014,0,,0,,0,
1932,Byeongcheol Lee,"Lee, Byeongcheol",1,2013,0,,0,,0,
1933,Chunghyuk Lee,"Lee, Chunghyuk",0,,1,2017,0,,0,
1934,Doyeup Lee,"Lee, Doyeup",2,2013;2014,0,,0,,0,
1935,Juhwan Lee,"Lee, Juhwan",1,2014,0,,0,,0,
1936,Jungmin Lee,"Lee, Jungmin",1,2014,0,,0,,0,
1937,Seungchan Lee,"Lee, Seungchan",1,2013,0,,0,,0,
1938,Seungheon Lee,"Lee, Seungheon",1,2015,0,,0,,0,
1939,Seungwoo Lee,"Lee, Seungwoo",0,,1,2014,0,,1,2026
1940,So-Yoon Lee,"Lee, So-Yoon",1,2023,0,,0,,0,
1941,Sumin Lee,"Lee, Sumin",1,2014,0,,0,,0,
1942,Yeonseok Lee,"Lee, Yeonseok",1,2013,1,2014,0,,0,
1943,Yonghwa Lee,"Lee, Yonghwa",0,,1,2014,0,,0,
1944,Yoojin Lee,"Lee, Yoojin",0,,1,2014,0,,0,
1945,Eunji Lim,"Lim, Eunji",1,2014,0,,0,,0,
1946,Jinwoo Lim,"Lim, Jinwoo",1,2014,0,,0,,0,
1947,Junam Lim,"Lim, Junam",0,,1,2014,0,,0,
1948,Kyoungwoo Lim,"Lim, Kyoungwoo",0,,1,2014,0,,0,
1949,Gunho No,"No, Gunho",1,2014,0,,0,,0,
1950,Yuri Ok,"Ok, Yuri",0,,1,2018,0,,0,
1951,Bugyum Park,"Park, Bugyum",0,,1,2015,0,,0,
1952,Junyeong Park,"Park, Junyeong",1,2014,0,,0,,0,
1953,Junyoung Park,"Park, Junyoung",0,,1,2014,0,,0,
1954,Kihong Park,"Park, Kihong",0,,1,2014,0,,0,
1955,Seungmin Park,"Park, Seungmin",1,2015,0,,0,,0,
1956,Yeonho Park,"Park, Yeonho",2,2021;2022,0,,0,,0,
1957,Yijoon Park,"Park, Yijoon",1,2022,0,,0,,0,
1958,Dongwan Ryu,"Ryu, Dongwan",2,2021;2022,0,,0,,0,
1959,Myoungjin Seo,"Seo, Myoungjin",2,2013;2014,0,,0,,0,
1960,Raehoon Sin,"Sin, Raehoon",0,,1,2014,0,,0,
1961,Jaewon Son,"Son, Jaewon",0,,1,2014,0,,0,
1962,Wooheok Son,"Son, Wooheok",0,,1,2014,0,,0,
1963,Junwoo Yang,"Yang, Junwoo",0,,1,2022,0,,0,
1964,Kyunglin Yang,"Yang, Kyunglin",1,2014,0,,0,,0,
1965,Donghun Yoo,"Yoo, Donghun",0,,1,2019,0,,0,
1966,Seunghun Yoo,"Yoo, Seunghun",0,,1,2017,0,,0,
1967,Geonwoo Yoon,"Yoon, Geonwoo",0,,1,2019,0,,0,
1968,Ji-Hu Yun,"Yun, Ji-Hu",1,2021,0,,0,,0,
