id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2043,Artyom Ampilogov,"Ampilogov, Artyom",2,2022;2023,0,,0,,0,
2044,Artyom Baranov,"Baranov, Artyom",0,,2,2022;2023,0,,0,
2045,Ivan Belyaev,"Belyaev, Ivan",0,,1,2023,0,,0,
2046,Lifar Egor,"Egor, Lifar",1,2013,0,,0,,0,
2047,Shakhrudin Gadjiyev,"Gadjiyev, Shakhrudin",1,2021,0,,0,,0,
2048,Sharafetdinova Galiia,"Galiia, Sharafetdinova",1,2018,0,,1,2020,1,2022
2049,Tatiana Gladysh,"Gladysh, Tatiana",0,,1,2018,0,,0,
2050,Alexander Golubev,"Golubev, Alexander",0,,1,2018,0,,0,
2051,Iurii Grinchii,"Grinchii, Iurii",0,,1,2018,0,,0,
2052,Pavel Gubkin,"Gubkin, Pavel",0,,1,2014,0,,1,2016
2053,Binder Iakov,"Iakov, Binder",0,,1,2013,0,,0,
2054,Oleinik Ivan,"Ivan, Oleinik",1,2013,0,,0,,0,
2055,Anisia Ivanova,"Ivanova, Anisia",0,,1,2018,0,,0,
2056,Tolokno Izabella,"Izabella, Tolokno",1,2013,0,,0,,0,
2057,Anton Kalustov,"Kalustov, Anton",0,,1,2022,0,,0,
2058,Pavel Khodunov,"Khodunov, Pavel",0,,1,2014,0,,0,
2059,Aleksandr Kirakosian,"Kirakosian, Aleksandr",0,,2,2013;2014,0,,0,
2060,Alexandr Knyazev,"Knyazev, Alexandr",1,2021,0,,0,,0,
2061,Roman Kravchenko,"Kravchenko, Roman",1,2021,1,2022,0,,1,2026
2062,Levin Lev,"Lev, Levin",1,2013,0,,0,,0,
2063,Ilya Losev,"Losev, Ilya",0,,1,2014,0,,0,
2064,Klyuchnikov Maxim,"Maxim, Klyuchnikov",0,,1,2013,0,,0,
2065,Shuvalova Mira,"Mira, Shuvalova",0,,1,2013,0,,0,
2066,Vladimir Nagornov,"Nagornov, Vladimir",0,,1,2022,0,,0,
2067,Polivin Nikita,"Nikita, Polivin",1,2018,0,,0,,0,
2068,Vladimir Oginsky,"Oginsky, Vladimir",1,2022,1,2023,0,,0,
2069,Lupuliak Olga,"Olga, Lupuliak",0,,1,2013,0,,0,
2070,Igor Pocheptsov,"Pocheptsov, Igor",0,,1,2018,0,,0,
2071,Gataullin Ranel,"Ranel, Gataullin",1,2018,0,,0,,0,
2072,Siraev Robert,"Robert, Siraev",1,2018,0,,0,,0,
2073,Anton Rudenko,"Rudenko, Anton",0,,1,2018,0,,0,
2074,Ivan Safonov,"Safonov, Ivan",1,2013,0,,0,,0,
2075,Ivan Safonov,"Safonov, Ivan",1,2023,0,,0,,0,
2076,Viktor Sharov,"Sharov, Viktor",1,2022,0,,0,,0,
2077,Yaroslav Takhmazyan,"Takhmazyan, Yaroslav",2,2021;2022,1,2023,0,,0,
2078,Dmitry Tregubov,"Tregubov, Dmitry",1,2022,0,,0,,0,
2079,Roman Vakhrushev,"Vakhrushev, Roman",2,2022;2023,0,,0,,0,
2080,Migrin Victor,"Victor, Migrin",1,2013,0,,1,2017,0,
2081,Kashirin Vladimir,"Vladimir, Kashirin",1,2013,0,,0,,0,
2082,Milshin Vladislav,"Vladislav, Milshin",1,2013,0,,0,,0,
2083,Arseniy Yenatskiy,"Yenatskiy, Arseniy",2,2022;2023,0,,0,,0,
