id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2084,Boon Han Nathaniel Ang,"Ang, Boon Han Nathaniel",0,,1,2017,3,2018;2019;2020,0,
2085,Daryle Xuan Ye Ang,"Ang, Daryle Xuan Ye",0,,1,2021,0,,0,
2086,Tse Yang Lucas Boo,"Boo, Tse Yang Lucas",1,2015,1,2017,6,2016;2017;2018;2019;2020;2021,3,2018;2019;2021
2087,Chee How Ryan Chan,"Chan, Chee How Ryan",0,,1,2023,0,,0,
2088,Xinyi Chen,"Chen, Xinyi",1,2014,1,2017,0,,0,
2089,Puhua Cheng,"Cheng, Puhua",0,,1,2015,2,2018;2019,1,2018
2090,Clarence Xuan Da Chew,"Chew, Clarence Xuan Da",0,,1,2014,1,2017,1,2017
2091,Zixiang Gao,"Gao, Zixiang",0,,2,2022;2023,2,2025;2026,2,2025;2026
2092,Hong Pei Goh,"Goh, Hong Pei",0,,1,2014,1,2017,0,
2093,Timothy Li Xiong Ho,"Ho, Timothy Li Xiong",1,2014,0,,1,2020,0,
2094,Shang Hui Koh,"Koh, Shang Hui",0,,1,2014,0,,0,
2095,Jia Le Kong,"Kong, Jia Le",0,,1,2022,0,,0,
2096,Isaac Yong Le Lee,"Lee, Isaac Yong Le",0,,1,2015,0,,0,
2097,Ker Yang Lee,"Lee, Ker Yang",0,,1,2015,1,2018,1,2018
2098,Sau Man Wendy Leong,"Leong, Sau Man Wendy",0,,1,2023,0,,0,
2099,Chenxu Li,"Li, Chenxu",0,,1,2015,0,,0,
2100,Chenxi Liang,"Liang, Chenxi",0,,1,2022,0,,0,
2101,Yi Kuan Liang,"Liang, Yi Kuan",0,,1,2021,0,,0,
2102,Darren Teck Woon Lim,"Lim, Darren Teck Woon",1,2014,0,,0,,0,
2103,Zenneth Zhe Xi Lim,"Lim, Zenneth Zhe Xi",0,,1,2021,0,,0,
2104,Wayhan Brian Loo,"Loo, Wayhan Brian",0,,2,2021;2022,0,,0,
2105,Choo Ray Low,"Low, Choo Ray",1,2015,1,2017,3,2019;2020;2021,2,2020;2021
2106,Chandranshu Nanda,"Nanda, Chandranshu",0,,2,2022;2023,0,,0,
2107,Tyler Pek Han Ng,"Ng, Tyler Pek Han",0,,1,2021,0,,0,
2108,Yangyi Aloysius Ng,"Ng, Yangyi Aloysius",0,,1,2017,1,2020,2,2019;2020
2109,Fengyu Seah,"Seah, Fengyu",0,,2,2014;2015,0,,0,
2110,Yong Hei Siu,"Siu, Yong Hei",0,,1,2023,0,,0,
2111,Wenyuan Sun,"Sun, Wenyuan",0,,2,2021;2022,2,2025;2026,0,
2112,Joel Junyao Tan,"Tan, Joel Junyao",0,,2,2014;2015,2,2016;2019,3,2016;2017;2018
2113,Kin Hern Tan,"Tan, Kin Hern",1,2014,0,,0,,0,
2114,Wee Kean Tan,"Tan, Wee Kean",0,,1,2017,2,2017;2020,2,2019;2020
2115,Xu Chen Tan,"Tan, Xu Chen",0,,1,2017,3,2018;2019;2020,2,2019;2020
2116,Jacob Por Loong Teo,"Teo, Jacob Por Loong",0,,1,2014,0,,0,
2117,Akash Thiagarajan,"Thiagarajan, Akash",0,,1,2022,2,2025;2026,3,2024;2025;2026
2118,David Hui Kai Toh,"Toh, David Hui Kai",0,,1,2017,1,2019,2,2019;2020
2119,Bryan Peng Jun Wang,"Wang, Bryan Peng Jun",0,,1,2014,2,2016;2017,2,2016;2017
2120,Jianzhi Wang,"Wang, Jianzhi",0,,1,2015,3,2016;2017;2018,1,2017
2121,Yunrui Wang,"Wang, Yunrui",1,2015,0,,0,,0,
2122,Jiahao Xia,"Xia, Jiahao",0,,1,2023,0,,0,
2123,Brian Boyang Xiao,"Xiao, Brian Boyang",0,,1,2023,2,2025;2026,1,2026
2124,Ryker Haohan Xu,"Xu, Ryker Haohan",0,,1,2023,3,2024;2025;2026,0,
2125,Ziyu Xu,"Xu, Ziyu",0,,1,2021,2,2022;2024,0,
2126,Qinxi Yu,"Yu, Qinxi",0,,1,2021,2,2023;2024,1,2023
2127,Guangxuan Zhang,"Zhang, Guangxuan",0,,1,2014,0,,0,
2128,Juntao Zhang,"Zhang, Juntao",0,,1,2022,1,2025,2,2024;2025
2129,Xiaorui Zhang,"Zhang, Xiaorui",0,,1,2015,1,2018,0,
