id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2130,Nicolas Ackerman,"Ackerman, Nicolas",1,2019,0,,0,,0,
2131,Dreyer Hercules Albertus,"Albertus, Dreyer Hercules",0,,1,2015,0,,0,
2132,Robert Allison,"Allison, Robert",0,,1,2019,0,,0,
2133,Julia Aspoas,"Aspoas, Julia",0,,1,2021,0,,0,
2134,Xander Barnard,"Barnard, Xander",1,2023,0,,0,,0,
2135,Waleed Bilal,"Bilal, Waleed",0,,1,2015,0,,0,
2136,Justin Botes,"Botes, Justin",1,2015,1,2019,0,,0,
2137,Mohamed Cassim,"Cassim, Mohamed",0,,1,2019,0,,0,
2138,Olivia Castleden,"Castleden, Olivia",2,2021;2022,0,,0,,0,
2139,Minjing Chen,"Chen, Minjing",2,2021;2022,0,,0,,0,
2140,Gabriel Dyssell-Höfinger,"Dyssell-Höfinger, Gabriel",0,,1,2019,0,,0,
2141,Ayan Fernando,"Fernando, Ayan",1,2023,0,,0,,0,
2142,Joseph Gibbon,"Gibbon, Joseph",1,2018,0,,0,,0,
2143,Edric Gosnell,"Gosnell, Edric",1,2023,0,,0,,0,
2144,Ellen Grant-Smith,"Grant-Smith, Ellen",0,,1,2023,0,,2,2024;2025
2145,Noah Greenblatt,"Greenblatt, Noah",1,2021,0,,0,,1,2026
2146,Eva Herbertson,"Herbertson, Eva",1,2021,0,,0,,0,
2147,Ashar Johnson,"Johnson, Ashar",1,2022,0,,0,,0,
2148,Caleb Johnson,"Johnson, Caleb",0,,2,2022;2023,0,,0,
2149,Jan Karsten,"Karsten, Jan",1,2021,0,,0,,0,
2150,Tyrone Chibuzo Kasi,"Kasi, Tyrone Chibuzo",0,,1,2019,0,,1,2021
2151,Mahike Kilian,"Kilian, Mahike",0,,1,2019,0,,0,
2152,Minkyum Kim,"Kim, Minkyum",0,,1,2019,0,,3,2021;2022;2023
