id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2212,Mohammed Aflal Mohammed Afham,"Afham, Mohammed Aflal Mohammed",0,,1,2014,0,,1,2015
2213,Seinul Asamdeen Arbith Ahamed,"Ahamed, Seinul Asamdeen Arbith",2,2018;2019,1,2022,0,,0,
2214,Thishanka Alahakoon,"Alahakoon, Thishanka",1,2014,1,2016,0,,1,2018
2215,Jayalath Chanuda Anusara,"Anusara, Jayalath Chanuda",1,2015,2,2017;2018,0,,0,
2216,Praveen Charuka Athauda Arachchi,"Athauda Arachchi, Praveen Charuka",0,,1,2023,2,2023;2026,3,2024;2025;2026
2217,Sandaru Thathsara Balahewa,"Balahewa, Sandaru Thathsara",1,2016,2,2018;2019,1,2022,3,2019;2021;2022
2218,Hitihami Mudiyanselage Mihiru Anushka Bandara,"Bandara, Hitihami Mudiyanselage Mihiru Anushka",0,,1,2019,5,2019;2020;2022;2023;2024,5,2018;2020;2021;2022;2023
2219,Wickramasinghe Mudiyanselage Sachith Adithya Bandara,"Bandara, Wickramasinghe Mudiyanselage Sachith Adithya",1,2016,1,2017,0,,0,
2220,Chethana Chathuprabha Belpa Godage,"Belpa Godage, Chethana Chathuprabha",0,,1,2013,0,,1,2014
2221,Kh Chung,"Chung, Kh",0,,1,2014,0,,0,
2222,Shanuka Kamesh Dodampegma,"Dodampegma, Shanuka Kamesh",0,,1,2013,0,,0,
2223,Imiya Mudalige Pulitha Thiyasara Gunawardana,"Gunawardana, Imiya Mudalige Pulitha Thiyasara",1,2015,0,,0,,0,
2224,Herath Mudiyanselage Anjana Kavindu Herath,"Herath, Herath Mudiyanselage Anjana Kavindu",1,2013,0,,0,,0,
2225,Herath Mudiyanselage Anjula Yasiru Herath,"Herath, Herath Mudiyanselage Anjula Yasiru",1,2013,1,2015,0,,0,
2226,Charuka Nishala Kulathunga Bandara Herath Mudiyanselage,"Herath Mudiyanselage, Charuka Nishala Kulathunga Bandara",1,2013,2,2015;2016,0,,3,2015;2017;2018
2227,Wijesekara Hettikankanange Thevindu Janith,"Janith, Wijesekara Hettikankanange Thevindu",0,,1,2016,0,,0,
2228,Sivanesan Jathurshan,"Jathurshan, Sivanesan",1,2014,0,,0,,0,
2229,Kariyawasam Jalath Yasira Nithulaka Jayasekara,"Jayasekara, Kariyawasam Jalath Yasira Nithulaka",1,2015,0,,0,,0,
2230,Ramanayake Mudiyanselage Minindu Manuja Jayasekara,"Jayasekara, Ramanayake Mudiyanselage Minindu Manuja",1,2019,0,,0,,0,
2231,Tharaka Udayanga Jayasena,"Jayasena, Tharaka Udayanga",0,,1,2019,1,2022,0,
2232,Rathnayake Mudiyanselage Samith Kavishke Karunathilake,"Karunathilake, Rathnayake Mudiyanselage Samith Kavishke",1,2014,0,,0,,0,
2233,Kisara Sandaluka Kodithuwakku,"Kodithuwakku, Kisara Sandaluka",2,2015;2016,2,2017;2018,1,2019,1,2019
2234,Shenal Santhush Kotuwewatta,"Kotuwewatta, Shenal Santhush",1,2013,3,2014;2015;2016,4,2016;2017;2018;2019,4,2014;2015;2016;2017
