id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2526,Akbar Abdulloev,"Abdulloev, Akbar",1,2023,0,,0,,0,
2527,Izatullo Abdulloev,"Abdulloev, Izatullo",1,2016,0,,0,,0,
2528,Komron Abdulloev,"Abdulloev, Komron",0,,1,2017,1,2018,1,2017
2529,Abdurauf Zinatulloevich Abdurasulov,"Abdurasulov, Abdurauf Zinatulloevich",1,2021,1,2023,1,2023,0,
2530,Parvizjon Aliev,"Aliev, Parvizjon",0,,1,2016,1,2018,0,
2531,Shakhrom Aminov,"Aminov, Shakhrom",2,2017;2018,0,,0,,0,
2532,Bezhan Asoev,"Asoev, Bezhan",0,,1,2022,1,2022,0,
2533,Sohibjon Avgonov,"Avgonov, Sohibjon",0,,1,2017,1,2019,0,
2534,Alisher Azimov,"Azimov, Alisher",1,2017,0,,1,2019,0,
2535,Abdulqodir Azizzoda,"Azizzoda, Abdulqodir",1,2023,0,,0,,0,
2536,Faiziddin Babamurodov,"Babamurodov, Faiziddin",1,2019,0,,0,,0,
2537,Muhammadjon Boboev,"Boboev, Muhammadjon",0,,1,2016,2,2016;2017,2,2016;2017
2538,Mekhron Bobokhonov,"Bobokhonov, Mekhron",0,,2,2016;2017,3,2016;2017;2018,4,2015;2016;2017;2018
2539,Anisa Burieva,"Burieva, Anisa",0,,2,2021;2022,1,2023,2,2022;2023
2540,Raufdzhon Dadabaev,"Dadabaev, Raufdzhon",1,2017,0,,3,2020;2021;2022,3,2020;2021;2022
2541,Fariz Dekhoti,"Dekhoti, Fariz",1,2018,0,,0,,0,
2542,Azamat Dushanov,"Dushanov, Azamat",0,,2,2021;2022,2,2022;2023,3,2022;2023;2024
2543,Bezhan Gulov,"Gulov, Bezhan",1,2018,1,2021,1,2020,1,2022
2544,Anis Ikromov,"Ikromov, Anis",0,,1,2021,0,,0,
2545,Umedjon Ikromov,"Ikromov, Umedjon",1,2016,1,2017,0,,0,
2546,Mashraf Inomov,"Inomov, Mashraf",1,2021,1,2023,1,2024,0,
2547,Izatullo Ismatov,"Ismatov, Izatullo",1,2022,0,,0,,0,
2548,Amir Ismoilzod,"Ismoilzod, Amir",1,2021,0,,0,,0,
2549,Shokhrukhdzhon Isomatov,"Isomatov, Shokhrukhdzhon",1,2016,1,2018,0,,1,2019
2550,Sino Khairidinov,"Khairidinov, Sino",0,,1,2018,3,2019;2020;2021,1,2020
2551,Ibrohim Khalifaev,"Khalifaev, Ibrohim",1,2023,0,,1,2026,0,
2552,Abdurauf Khatamov,"Khatamov, Abdurauf",2,2016;2017,0,,3,2019;2020;2021,0,
2553,Doriush Khayridinov,"Khayridinov, Doriush",1,2018,2,2021;2022,1,2022,1,2022
2554,Naimdzhon Khondzhonov,"Khondzhonov, Naimdzhon",0,,3,2016;2017;2018,2,2017;2019,3,2017;2018;2019
2555,Bakhtovari Khotami,"Khotami, Bakhtovari",1,2016,1,2018,1,2018,0,
2556,Sulaymon Khotamov,"Khotamov, Sulaymon",1,2018,0,,0,,0,
2557,Asadbek Khudzhamov,"Khudzhamov, Asadbek",1,2018,0,,0,,0,
2558,Muhammad Khushbakhtov,"Khushbakhtov, Muhammad",1,2023,0,,0,,0,
2559,Muhammadiqbol Mahmadov,"Mahmadov, Muhammadiqbol",0,,1,2023,1,2025,0,
2560,Emomalijon Murodzoda,"Murodzoda, Emomalijon",1,2018,0,,3,2020;2021;2022,0,
