id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2907,Ozod Akhtamov,"Akhtamov, Ozod",1,2021,0,,1,2025,3,2023;2024;2025
2908,Duraxshon Alaxonov,"Alaxonov, Duraxshon",1,2022,0,,0,,0,
2909,Munisbek Bekchanboyev,"Bekchanboyev, Munisbek",1,2023,0,,0,,0,
2910,Muhammadjon Bobomurodov,"Bobomurodov, Muhammadjon",0,,1,2023,0,,0,
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",0,,1,2023,2,2023;2025,2,2024;2025
2912,Islom Boykobilov,"Boykobilov, Islom",1,2021,0,,0,,0,
2913,Iskandar Buriev,"Buriev, Iskandar",1,2018,0,,0,,2,2021;2022
2914,Robert Chestnov,"Chestnov, Robert",1,2015,0,,0,,0,
2915,Damir Dilmuratov,"Dilmuratov, Damir",0,,1,2019,0,,0,
2916,Azizbek Ergashev,"Ergashev, Azizbek",1,2019,0,,0,,0,
2917,Sarvarbek Ergashev,"Ergashev, Sarvarbek",1,2023,0,,0,,0,
2918,Mirfayz Gulomov,"Gulomov, Mirfayz",1,2023,0,,0,,0,
2919,Azamat Ikromov,"Ikromov, Azamat",0,,1,2023,1,2023,0,
2920,Jasurbek Imomov,"Imomov, Jasurbek",1,2014,0,,0,,2,2018;2019
2921,Doniyor Ismoilov,"Ismoilov, Doniyor",2,2017;2018,0,,0,,1,2021
2922,Abdurashid Kamolov,"Kamolov, Abdurashid",1,2021,0,,0,,0,
2923,Shakhboz Khasanov,"Khasanov, Shakhboz",1,2016,0,,0,,1,2020
2924,Jaloliddin Kholmatov,"Kholmatov, Jaloliddin",0,,1,2022,0,,1,2022
2925,Abdulmalik Kholtemirov,"Kholtemirov, Abdulmalik",1,2021,0,,0,,0,
2926,Ulmasbek Khudoberdiev,"Khudoberdiev, Ulmasbek",0,,1,2021,0,,0,
2927,Tuymurod Kodirov,"Kodirov, Tuymurod",1,2019,0,,0,,0,
2928,David Li,"Li, David",1,2021,0,,0,,0,
2929,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",1,2018,1,2021,0,,1,2020
2930,Dildora Mahkamova,"Mahkamova, Dildora",1,2023,0,,0,,0,
2931,Shokhbek Makhmudov,"Makhmudov, Shokhbek",1,2016,0,,0,,0,
2932,Behzod Maksudov,"Maksudov, Behzod",1,2019,0,,1,2023,1,2023
2933,Azizbek Mamajonov,"Mamajonov, Azizbek",1,2023,0,,1,2026,1,2026
2934,Saydali Murodullaev,"Murodullaev, Saydali",1,2015,1,2018,0,,0,
2935,Yorqinjon Muxtoraliyev,"Muxtoraliyev, Yorqinjon",1,2022,0,,0,,0,
2936,Eldor Neymatov,"Neymatov, Eldor",1,2016,2,2018;2019,0,,1,2020
2937,Yulduz Neymatova,"Neymatova, Yulduz",1,2014,0,,0,,0,
2938,Jakhongir Norboev,"Norboev, Jakhongir",1,2016,2,2018;2019,0,,1,2020
2939,Olimjon Olimov,"Olimov, Olimjon",1,2017,1,2019,0,,1,2021
2940,Davrbek Oltiboev,"Oltiboev, Davrbek",1,2014,0,,0,,2,2017;2018
2941,Yusufjon Ortiqov,"Ortiqov, Yusufjon",0,,1,2023,1,2024,0,
2942,Sevarakhon Ostonova,"Ostonova, Sevarakhon",1,2017,1,2018,0,,0,
2943,Nurmuhammad Otamurodov,"Otamurodov, Nurmuhammad",0,,1,2023,0,,0,
2944,Ismoil Pulotov,"Pulotov, Ismoil",1,2017,0,,0,,0,
2945,Timur Qadirbergenov,"Qadirbergenov, Timur",1,2022,0,,0,,0,
2946,Lazizbek Rajabboev,"Rajabboev, Lazizbek",1,2018,1,2021,0,,1,2022
2947,Abdulaziz Rajabov,"Rajabov, Abdulaziz",1,2023,0,,2,2024;2025,0,
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",1,2019,2,2021;2022,1,2023,2,2022;2023
2949,Ziyovuddin Raxmonov,"Raxmonov, Ziyovuddin",1,2022,0,,0,,0,
2950,Anvarbek Sadulloyev,"Sadulloyev, Anvarbek",0,,1,2022,1,2023,1,2023
2951,Dilnura Safarova,"Safarova, Dilnura",1,2023,0,,0,,0,
2952,Abbos Sayliev,"Sayliev, Abbos",1,2015,0,,0,,1,2019
2953,Asilbek Sunnatov,"Sunnatov, Asilbek",1,2021,0,,0,,0,
2954,Madina Suyunova,"Suyunova, Madina",0,,1,2021,2,2023;2024,1,2024
2955,Jakhongir Turaev,"Turaev, Jakhongir",1,2015,0,,0,,1,2019
2956,Saidakbar Usmanbekov,"Usmanbekov, Saidakbar",1,2021,0,,0,,0,
2957,Begzod Xoshimjonov,"Xoshimjonov, Begzod",0,,1,2023,1,2024,0,
2958,Kamronbek Xudayqulov,"Xudayqulov, Kamronbek",0,,1,2023,0,,0,
2959,Haydarali Yunusov,"Yunusov, Haydarali",1,2023,0,,0,,0,
2960,Samir Zamalov,"Zamalov, Samir",1,2021,0,,0,,0,
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",0,,1,2023,2,2025;2026,3,2024;2025;2026
