id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
404,Andreas Aristodemou,"Aristodemou, Andreas",1,2022,2022:Merit,2022:166,2022:0.4236111111
405,Selina Arkatites,"Arkatites, Selina",1,2019,2019:Merit,2019:153.5,2019:0.3980392157
406,Angelos Assos,"Assos, Angelos",1,2013,2013:Bronze,2013:77.5,2013:0.7363945578
407,Marios Avraamidis,"Avraamidis, Marios",1,2014,2014:Merit,2014:135,2014:0.5820433437
410,Stavros Chimonides,"Chimonides, Stavros",1,2023,2023:Merit,2023:186,2023:0.3961038961
411,Sotiris Cleanthous,"Cleanthous, Sotiris",1,2022,2022:Merit,2022:166,2022:0.4236111111
412,Daniil Daniil,"Daniil, Daniil",1,2021,2021:Merit,2021:193,2021:0.3814102564
413,Rafail Dimitriou,"Dimitriou, Rafail",1,2013,2013:Bronze,2013:77.5,2013:0.7363945578
415,Anna Economou,"Economou, Anna",1,2013,2013:Merit,2013:185,2013:0.3707482993
417,Andreas Hadjileonidas,"Hadjileonidas, Andreas",1,2013,2013:Silver,2013:33,2013:0.887755102
418,Orestis Iacovou,"Iacovou, Orestis",1,2023,2023:Merit,2023:220,2023:0.2857142857
419,Alexandros Koniotis,"Koniotis, Alexandros",1,2023,2023:Bronze,2023:78,2023:0.7467532468
422,Solonas Matsis,"Matsis, Solonas",1,2018,2018:Merit,2018:177.5,2018:0.4347133758
424,Theofanis Orfanou,"Orfanou, Theofanis",1,2018,2018:Silver,2018:37.5,2018:0.8805732484
425,Paisios Papasavvas,"Papasavvas, Paisios",1,2023,2023:Merit,2023:220,2023:0.2857142857
427,Evangelos Pitsillis,"Pitsillis, Evangelos",1,2023,2023:Merit,2023:186,2023:0.3961038961
428,Christoforos Pittalis,"Pittalis, Christoforos",1,2023,2023:Merit,2023:186,2023:0.3961038961
429,Philippos Rouvas,"Rouvas, Philippos",1,2019,2019:Bronze,2019:87,2019:0.6588235294
430,Rafail Stylianou,"Stylianou, Rafail",1,2017,2017:Bronze,2017:76,2017:0.745819398
433,Stefanos Theocharous,"Theocharous, Stefanos",1,2015,2015:Merit,2015:161.5,2015:0.4756493506
435,Aleksis Tsangaris,"Tsangaris, Aleksis",1,2023,2023:Merit,2023:186,2023:0.3961038961
436,Maria Olymbia Tsianni,"Tsianni, Maria Olymbia",1,2013,2013:Merit,2013:155.5,2013:0.4710884354
437,Kyriakos Tsiannis,"Tsiannis, Kyriakos",1,2016,2016:Merit,2016:144.5,2016:0.4484732824
438,Petros Vasiliades,"Vasiliades, Petros",1,2015,2015:Merit,2015:161.5,2015:0.4756493506
439,Petros Vourmas,"Vourmas, Petros",2,2021;2022,2021:Merit;2022:Merit,2021:193;2022:166,2021:0.3814102564;2022:0.4236111111
