id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
823,Arshia Abolghasemi,"Abolghasemi, Arshia",1,2015,2015:Merit,2015:161.5,2015:0.4756493506
825,Mohammad Mahdi Aliasghari,"Aliasghari, Mohammad Mahdi",1,2018,2018:Bronze,2018:64,2018:0.7961783439
828,Mohammadmatin Ansari,"Ansari, Mohammadmatin",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
832,Alireza Askary,"Askary, Alireza",2,2014;2015,2014:Merit;2015:Merit,2014:164.5;2015:161.5,2014:0.4907120743;2015:0.4756493506
837,Amirhossein Bateni,"Bateni, Amirhossein",1,2014,2014:Silver,2014:60.5,2014:0.8126934985
838,Yekta Beheshtizade,"Beheshtizade, Yekta",1,2019,2019:Merit,2019:131,2019:0.4862745098
842,Parnia Dabagh,"Dabagh, Parnia",1,2019,2019:Merit,2019:109,2019:0.5725490196
843,Borna Farzaneh Daghigh,"Daghigh, Borna Farzaneh",1,2019,2019:Merit,2019:109,2019:0.5725490196
844,Seyed Mohammad Amin Dashti,"Dashti, Seyed Mohammad Amin",1,2017,2017:Silver,2017:53.5,2017:0.8210702341
847,Reza Esmailpour,"Esmailpour, Reza",1,2021,2021:Silver,2021:53,2021:0.8301282051
849,Nima Farajee,"Farajee, Nima",1,2018,2018:Merit,2018:131.5,2018:0.5812101911
851,Zahra Fatoorehchi,"Fatoorehchi, Zahra",1,2017,2017:Bronze,2017:102,2017:0.6588628763
853,Amir Ali Gerveei,"Gerveei, Amir Ali",1,2017,2017:Silver,2017:33.5,2017:0.8879598662
854,Amirhossein Ghaedi,"Ghaedi, Amirhossein",1,2015,2015:Merit,2015:126,2015:0.5909090909
855,Ali Ghaheri,"Ghaheri, Ali",1,2015,2015:Merit,2015:161.5,2015:0.4756493506
856,Faraz Ghahremany Kooreh,"Ghahremany Kooreh, Faraz",1,2015,2015:Merit,2015:198,2015:0.3571428571
858,Mohammadreza Ghelejkhani,"Ghelejkhani, Mohammadreza",1,2017,2017:Bronze,2017:102,2017:0.6588628763
859,Hossein Gholizadeh,"Gholizadeh, Hossein",1,2014,2014:Bronze,2014:104.5,2014:0.6764705882
860,Ardavan Giti,"Giti, Ardavan",1,2017,2017:Merit,2017:132,2017:0.5585284281
861,Parsa Golestani,"Golestani, Parsa",1,2021,2021:Merit,2021:193,2021:0.3814102564
