id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1868,Dongyeon An,"An, Dongyeon",1,2017,2017:Merit,2017:132,2017:0.5585284281
1869,Jihoon Bae,"Bae, Jihoon",1,2014,2014:Bronze,2014:80,2014:0.7523219814
1870,Chanwoo Baek,"Baek, Chanwoo",1,2019,2019:Merit,2019:131,2019:0.4862745098
1871,Se-Been Bok,"Bok, Se-Been",1,2021,2021:Merit,2021:136.5,2021:0.5625
1874,Jaebeom Cho,"Cho, Jaebeom",1,2013,2013:Bronze,2013:101,2013:0.656462585
1876,Ian Choi,"Choi, Ian",1,2022,2022:Merit,2022:131,2022:0.5451388889
1877,Kangin Choi,"Choi, Kangin",2,2014;2015,2014:Merit;2015:Merit,2014:164.5;2015:126,2014:0.4907120743;2015:0.5909090909
1878,Narin Choi,"Choi, Narin",1,2014,2014:Merit,2014:135,2014:0.5820433437
1879,Seochang Choi,"Choi, Seochang",1,2017,2017:Merit,2017:162,2017:0.4581939799
1880,Sooah Choi,"Choi, Sooah",1,2014,2014:Merit,2014:164.5,2014:0.4907120743
1881,Yejin Choi,"Choi, Yejin",1,2014,2014:Merit,2014:164.5,2014:0.4907120743
1883,Garin Goo,"Goo, Garin",1,2013,2013:Bronze,2013:101,2013:0.656462585
1884,Sangwon Hong,"Hong, Sangwon",1,2017,2017:Merit,2017:162,2017:0.4581939799
1885,Joonseop Huh,"Huh, Joonseop",1,2014,2014:Merit,2014:185.5,2014:0.4256965944
1886,Jeonghyeok Hwang,"Hwang, Jeonghyeok",3,2021;2022;2023,2021:Bronze;2022:Gold;2023:Gold,2021:72;2022:11.5;2023:2.5,2021:0.7692307692;2022:0.9600694444;2023:0.9918831169
1887,Geunyoung Jang,"Jang, Geunyoung",1,2014,2014:Silver,2014:60.5,2014:0.8126934985
1890,Jiho Jeong,"Jeong, Jiho",1,2015,2015:Merit,2015:198,2015:0.3571428571
1891,Jinwoo Jeong,"Jeong, Jinwoo",1,2015,2015:Merit,2015:126,2015:0.5909090909
1892,Sanghee Jeong,"Jeong, Sanghee",1,2023,2023:Merit,2023:186,2023:0.3961038961
1894,Yechan Jeong,"Jeong, Yechan",1,2023,2023:Gold,2023:2.5,2023:0.9918831169
1896,Haejin Joo,"Joo, Haejin",1,2013,2013:Merit,2013:155.5,2013:0.4710884354
1898,Minsu Jung,"Jung, Minsu",1,2014,2014:Merit,2014:164.5,2014:0.4907120743
1899,Gyu-Da Kang,"Kang, Gyu-Da",1,2021,2021:Merit,2021:136.5,2021:0.5625
1900,Minhyeon Kang,"Kang, Minhyeon",1,2021,2021:Merit,2021:193,2021:0.3814102564
1901,Seungho Kang,"Kang, Seungho",1,2014,2014:Gold,2014:1.5,2014:0.9953560372
1902,Taewoo Kang,"Kang, Taewoo",1,2023,2023:Bronze,2023:78,2023:0.7467532468
1903,Taeyeong Kang,"Kang, Taeyeong",1,2023,2023:Gold,2023:2.5,2023:0.9918831169
1904,Byungjun Kim,"Kim, Byungjun",1,2014,2014:Merit,2014:164.5,2014:0.4907120743
1906,Dohyun Kim,"Kim, Dohyun",1,2022,2022:Merit,2022:166,2022:0.4236111111
1907,Douk Kim,"Kim, Douk",1,2015,2015:Merit,2015:198,2015:0.3571428571
1908,Doyun Kim,"Kim, Doyun",1,2022,2022:Bronze,2022:75,2022:0.7395833333
1910,Geonhoon Kim,"Kim, Geonhoon",1,2015,2015:Merit,2015:198,2015:0.3571428571
1911,Hyeongun Kim,"Kim, Hyeongun",2,2014;2015,2014:Bronze;2015:Merit,2014:104.5;2015:126,2014:0.6764705882;2015:0.5909090909
1913,Jeongwoo Kim,"Kim, Jeongwoo",1,2013,2013:Merit,2013:185,2013:0.3707482993
1914,Jitae Kim,"Kim, Jitae",1,2013,2013:Gold,2013:13.5,2013:0.9540816327
1915,Jongwoo Kim,"Kim, Jongwoo",1,2014,2014:Merit,2014:135,2014:0.5820433437
1916,Jungmin Kim,"Kim, Jungmin",1,2015,2015:Bronze,2015:93,2015:0.6980519481
1917,Jungwoo Kim,"Kim, Jungwoo",2,2018;2019,2018:Merit;2019:Bronze,2018:177.5;2019:66.5,2018:0.4347133758;2019:0.7392156863
1919,Minseo Kim,"Kim, Minseo",1,2017,2017:Bronze,2017:102,2017:0.6588628763
1920,Minsu Kim,"Kim, Minsu",1,2015,2015:Merit,2015:126,2015:0.5909090909
1921,Seojun Kim,"Kim, Seojun",2,2022;2023,2022:Merit;2023:Gold,2022:201.5;2023:16.5,2022:0.3003472222;2023:0.9464285714
1922,Seoyoung Kim,"Kim, Seoyoung",2,2021;2022,2021:Merit;2022:Merit,2021:193;2022:131,2021:0.3814102564;2022:0.5451388889
1925,Ukjin Kim,"Kim, Ukjin",1,2014,2014:Silver,2014:39,2014:0.8792569659
1926,Yo-Ha Kim,"Kim, Yo-Ha",1,2021,2021:Merit,2021:136.5,2021:0.5625
1928,Sangjun Ko,"Ko, Sangjun",1,2014,2014:Merit,2014:185.5,2014:0.4256965944
1929,Yoonchan Ko,"Ko, Yoonchan",1,2023,2023:Silver,2023:32.5,2023:0.8944805195
1930,Mingyu Kwak,"Kwak, Mingyu",1,2014,2014:Merit,2014:135,2014:0.5820433437
1931,Donghyun Kwon,"Kwon, Donghyun",1,2014,2014:Merit,2014:164.5,2014:0.4907120743
1932,Byeongcheol Lee,"Lee, Byeongcheol",1,2013,2013:Merit,2013:126.5,2013:0.5697278912
1934,Doyeup Lee,"Lee, Doyeup",2,2013;2014,2013:Merit;2014:Bronze,2013:185;2014:80,2013:0.3707482993;2014:0.7523219814
1935,Juhwan Lee,"Lee, Juhwan",1,2014,2014:Bronze,2014:104.5,2014:0.6764705882
1936,Jungmin Lee,"Lee, Jungmin",1,2014,2014:Merit,2014:135,2014:0.5820433437
1937,Seungchan Lee,"Lee, Seungchan",1,2013,2013:Bronze,2013:101,2013:0.656462585
1938,Seungheon Lee,"Lee, Seungheon",1,2015,2015:Merit,2015:198,2015:0.3571428571
1940,So-Yoon Lee,"Lee, So-Yoon",1,2023,2023:Merit,2023:220,2023:0.2857142857
