id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2043,Artyom Ampilogov,"Ampilogov, Artyom",2,2022;2023,2022:Merit;2023:Merit,2022:166;2023:157,2022:0.4236111111;2023:0.4902597403
2046,Lifar Egor,"Egor, Lifar",1,2013,2013:Merit,2013:155.5,2013:0.4710884354
2047,Shakhrudin Gadjiyev,"Gadjiyev, Shakhrudin",1,2021,2021:Merit,2021:136.5,2021:0.5625
2048,Sharafetdinova Galiia,"Galiia, Sharafetdinova",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2054,Oleinik Ivan,"Ivan, Oleinik",1,2013,2013:Silver,2013:33,2013:0.887755102
2056,Tolokno Izabella,"Izabella, Tolokno",1,2013,2013:Bronze,2013:101,2013:0.656462585
2060,Alexandr Knyazev,"Knyazev, Alexandr",1,2021,2021:Merit,2021:163,2021:0.4775641026
2061,Roman Kravchenko,"Kravchenko, Roman",1,2021,2021:Bronze,2021:92.5,2021:0.703525641
2062,Levin Lev,"Lev, Levin",1,2013,2013:Merit,2013:155.5,2013:0.4710884354
2067,Polivin Nikita,"Nikita, Polivin",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2068,Vladimir Oginsky,"Oginsky, Vladimir",1,2022,2022:Gold,2022:6,2022:0.9791666667
2071,Gataullin Ranel,"Ranel, Gataullin",1,2018,2018:Merit,2018:177.5,2018:0.4347133758
2072,Siraev Robert,"Robert, Siraev",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2074,Ivan Safonov,"Safonov, Ivan",1,2013,2013:Bronze,2013:77.5,2013:0.7363945578
2075,Ivan Safonov,"Safonov, Ivan",1,2023,2023:Merit,2023:157,2023:0.4902597403
2076,Viktor Sharov,"Sharov, Viktor",1,2022,2022:Merit,2022:201.5,2022:0.3003472222
2077,Yaroslav Takhmazyan,"Takhmazyan, Yaroslav",2,2021;2022,2021:Merit;2022:Merit,2021:193;2022:166,2021:0.3814102564;2022:0.4236111111
2078,Dmitry Tregubov,"Tregubov, Dmitry",1,2022,2022:Merit,2022:131,2022:0.5451388889
2079,Roman Vakhrushev,"Vakhrushev, Roman",2,2022;2023,2022:Merit;2023:Merit,2022:201.5;2023:186,2022:0.3003472222;2023:0.3961038961
2080,Migrin Victor,"Victor, Migrin",1,2013,2013:Silver,2013:33,2013:0.887755102
2081,Kashirin Vladimir,"Vladimir, Kashirin",1,2013,2013:Merit,2013:126.5,2013:0.5697278912
2082,Milshin Vladislav,"Vladislav, Milshin",1,2013,2013:Merit,2013:185,2013:0.3707482993
2083,Arseniy Yenatskiy,"Yenatskiy, Arseniy",2,2022;2023,2022:Merit;2023:Bronze,2022:166;2023:109,2022:0.4236111111;2023:0.6461038961
