id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2526,Akbar Abdulloev,"Abdulloev, Akbar",1,2023,2023:Merit,2023:157,2023:0.4902597403
2527,Izatullo Abdulloev,"Abdulloev, Izatullo",1,2016,2016:Merit,2016:166,2016:0.3664122137
2529,Abdurauf Zinatulloevich Abdurasulov,"Abdurasulov, Abdurauf Zinatulloevich",1,2021,2021:Merit,2021:193,2021:0.3814102564
2531,Shakhrom Aminov,"Aminov, Shakhrom",2,2017;2018,2017:Merit;2018:Merit,2017:132;2018:131.5,2017:0.5585284281;2018:0.5812101911
2534,Alisher Azimov,"Azimov, Alisher",1,2017,2017:Merit,2017:132,2017:0.5585284281
2535,Abdulqodir Azizzoda,"Azizzoda, Abdulqodir",1,2023,2023:Merit,2023:186,2023:0.3961038961
2536,Faiziddin Babamurodov,"Babamurodov, Faiziddin",1,2019,2019:Merit,2019:153.5,2019:0.3980392157
2540,Raufdzhon Dadabaev,"Dadabaev, Raufdzhon",1,2017,2017:Silver,2017:53.5,2017:0.8210702341
2541,Fariz Dekhoti,"Dekhoti, Fariz",1,2018,2018:Merit,2018:131.5,2018:0.5812101911
2543,Bezhan Gulov,"Gulov, Bezhan",1,2018,2018:Merit,2018:177.5,2018:0.4347133758
2545,Umedjon Ikromov,"Ikromov, Umedjon",1,2016,2016:Merit,2016:122.5,2016:0.5324427481
2546,Mashraf Inomov,"Inomov, Mashraf",1,2021,2021:Merit,2021:163,2021:0.4775641026
2547,Izatullo Ismatov,"Ismatov, Izatullo",1,2022,2022:Merit,2022:166,2022:0.4236111111
2548,Amir Ismoilzod,"Ismoilzod, Amir",1,2021,2021:Merit,2021:193,2021:0.3814102564
2549,Shokhrukhdzhon Isomatov,"Isomatov, Shokhrukhdzhon",1,2016,2016:Bronze,2016:97,2016:0.6297709924
2551,Ibrohim Khalifaev,"Khalifaev, Ibrohim",1,2023,2023:Bronze,2023:109,2023:0.6461038961
2552,Abdurauf Khatamov,"Khatamov, Abdurauf",2,2016;2017,2016:Merit;2017:Merit,2016:187;2017:132,2016:0.286259542;2017:0.5585284281
2553,Doriush Khayridinov,"Khayridinov, Doriush",1,2018,2018:Gold,2018:3,2018:0.9904458599
2555,Bakhtovari Khotami,"Khotami, Bakhtovari",1,2016,2016:Merit,2016:144.5,2016:0.4484732824
2556,Sulaymon Khotamov,"Khotamov, Sulaymon",1,2018,2018:Merit,2018:177.5,2018:0.4347133758
2557,Asadbek Khudzhamov,"Khudzhamov, Asadbek",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2558,Muhammad Khushbakhtov,"Khushbakhtov, Muhammad",1,2023,2023:Merit,2023:186,2023:0.3961038961
2560,Emomalijon Murodzoda,"Murodzoda, Emomalijon",1,2018,2018:Merit,2018:177.5,2018:0.4347133758
2565,Voris Rahimov,"Rahimov, Voris",2,2017;2018,2017:Merit;2018:Gold,2017:162;2018:21.5,2017:0.4581939799;2018:0.9315286624
2568,Jamshed Rustamov,"Rustamov, Jamshed",1,2017,2017:Silver,2017:53.5,2017:0.8210702341
2570,Sunat Saidov,"Saidov, Sunat",2,2017;2018,2017:Merit;2018:Merit,2017:162;2018:177.5,2017:0.4581939799;2018:0.4347133758
2571,Muhammadidris Saymuhudinzoda,"Saymuhudinzoda, Muhammadidris",1,2022,2022:Merit,2022:131,2022:0.5451388889
2572,Sino Sharifov,"Sharifov, Sino",1,2019,2019:Merit,2019:153.5,2019:0.3980392157
2573,Amir Sharopov,"Sharopov, Amir",1,2023,2023:Merit,2023:157,2023:0.4902597403
2574,Sino Sharopov,"Sharopov, Sino",1,2023,2023:Bronze,2023:78,2023:0.7467532468
2575,Muhammadrasul Shernazarov,"Shernazarov, Muhammadrasul",1,2022,2022:Merit,2022:131,2022:0.5451388889
2577,Olimdzhon Tukhtarov,"Tukhtarov, Olimdzhon",2,2021;2022,2021:Merit;2022:Silver,2021:193;2022:51,2021:0.3814102564;2022:0.8229166667
2580,Timur Usmonov,"Usmonov, Timur",1,2018,2018:Bronze,2018:64,2018:0.7961783439
2581,Mehrubon Yusupov,"Yusupov, Mehrubon",1,2023,2023:Bronze,2023:78,2023:0.7467532468
2582,Abdurasul Ziyoratshokhi,"Ziyoratshokhi, Abdurasul",2,2017;2018,2017:Merit;2018:Bronze,2017:132;2018:64,2017:0.5585284281;2018:0.7961783439
