id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2583,Panthat Addoddorn,"Addoddorn, Panthat",1,2023,2023:Bronze,2023:109,2023:0.6461038961
2586,Parthorn Ammawat,"Ammawat, Parthorn",1,2016,2016:Silver,2016:37.5,2016:0.856870229
2588,Nithid Anchaleenukoon,"Anchaleenukoon, Nithid",2,2015;2016,2015:Silver;2016:Silver,2015:33.5;2016:20.5,2015:0.8912337662;2016:0.9217557252
2592,Nadol Artsavarungnirand,"Artsavarungnirand, Nadol",1,2022,2022:Bronze,2022:102.5,2022:0.6440972222
2593,Pachara Assawaphadungsit,"Assawaphadungsit, Pachara",1,2017,2017:Silver,2017:33.5,2017:0.8879598662
2596,La-Orrat Auppakhun,"Auppakhun, La-Orrat",1,2013,2013:Silver,2013:54.5,2013:0.8146258503
2597,Thanakorn Auttawetchakul,"Auttawetchakul, Thanakorn",1,2019,2019:Silver,2019:47.5,2019:0.8137254902
2598,Thanisorn Auttawetchakul,"Auttawetchakul, Thanisorn",2,2016;2017,2016:Bronze;2017:Gold,2016:56;2017:9.5,2016:0.786259542;2017:0.9682274247
2600,Nuttapoom Bamrungchookiat,"Bamrungchookiat, Nuttapoom",1,2016,2016:Silver,2016:20.5,2016:0.9217557252
2601,Pathomporn Boonchuay,"Boonchuay, Pathomporn",1,2016,2016:Bronze,2016:74,2016:0.7175572519
2604,Nattawat Booramaitree,"Booramaitree, Nattawat",1,2023,2023:Merit,2023:157,2023:0.4902597403
2611,Anupap Chauyjaroensuk,"Chauyjaroensuk, Anupap",1,2013,2013:Merit,2013:126.5,2013:0.5697278912
2612,Ethan Chen,"Chen, Ethan",1,2023,2023:Gold,2023:16.5,2023:0.9464285714
2615,Tanawin Chetsadakan,"Chetsadakan, Tanawin",1,2023,2023:Merit,2023:186,2023:0.3961038961
2620,Pim Chotnapalai,"Chotnapalai, Pim",1,2016,2016:Bronze,2016:56,2016:0.786259542
2621,Sawitta Chuealee,"Chuealee, Sawitta",1,2019,2019:Bronze,2019:87,2019:0.6588235294
2622,Chayut Chunthirapong,"Chunthirapong, Chayut",1,2017,2017:Merit,2017:162,2017:0.4581939799
2623,Achiraya Damri,"Damri, Achiraya",1,2022,2022:Bronze,2022:75,2022:0.7395833333
2627,Saya Dumrongsurasin,"Dumrongsurasin, Saya",1,2023,2023:Merit,2023:186,2023:0.3961038961
2629,Issari Ghetthalea,"Ghetthalea, Issari",1,2019,2019:Silver,2019:30,2019:0.8823529412
2630,Hirun Hengrojanasophon,"Hengrojanasophon, Hirun",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2631,Siravit Hengsuvanich,"Hengsuvanich, Siravit",1,2017,2017:Bronze,2017:76,2017:0.745819398
2633,Atigunt Hualcharoenthon,"Hualcharoenthon, Atigunt",1,2018,2018:Merit,2018:131.5,2018:0.5812101911
2634,Poomin Huansuriya,"Huansuriya, Poomin",1,2013,2013:Silver,2013:54.5,2013:0.8146258503
2636,Natthanipat Jaipluem,"Jaipluem, Natthanipat",1,2015,2015:Merit,2015:161.5,2015:0.4756493506
