id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2907,Ozod Akhtamov,"Akhtamov, Ozod",1,2021,2021:Bronze,2021:72,2021:0.7692307692
2908,Duraxshon Alaxonov,"Alaxonov, Duraxshon",1,2022,2022:Merit,2022:166,2022:0.4236111111
2909,Munisbek Bekchanboyev,"Bekchanboyev, Munisbek",1,2023,2023:Merit,2023:157,2023:0.4902597403
2912,Islom Boykobilov,"Boykobilov, Islom",1,2021,2021:Merit,2021:163,2021:0.4775641026
2913,Iskandar Buriev,"Buriev, Iskandar",1,2018,2018:Bronze,2018:64,2018:0.7961783439
2914,Robert Chestnov,"Chestnov, Robert",1,2015,2015:Merit,2015:126,2015:0.5909090909
2916,Azizbek Ergashev,"Ergashev, Azizbek",1,2019,2019:Merit,2019:153.5,2019:0.3980392157
2917,Sarvarbek Ergashev,"Ergashev, Sarvarbek",1,2023,2023:Merit,2023:220,2023:0.2857142857
2918,Mirfayz Gulomov,"Gulomov, Mirfayz",1,2023,2023:Merit,2023:157,2023:0.4902597403
2920,Jasurbek Imomov,"Imomov, Jasurbek",1,2014,2014:Silver,2014:39,2014:0.8792569659
2921,Doniyor Ismoilov,"Ismoilov, Doniyor",2,2017;2018,2017:Gold;2018:Gold,2017:15.5;2018:21.5,2017:0.9481605351;2018:0.9315286624
2922,Abdurashid Kamolov,"Kamolov, Abdurashid",1,2021,2021:Silver,2021:53,2021:0.8301282051
2923,Shakhboz Khasanov,"Khasanov, Shakhboz",1,2016,2016:Bronze,2016:97,2016:0.6297709924
2925,Abdulmalik Kholtemirov,"Kholtemirov, Abdulmalik",1,2021,2021:Merit,2021:163,2021:0.4775641026
2927,Tuymurod Kodirov,"Kodirov, Tuymurod",1,2019,2019:Bronze,2019:66.5,2019:0.7392156863
2928,David Li,"Li, David",1,2021,2021:Merit,2021:136.5,2021:0.5625
2929,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",1,2018,2018:Bronze,2018:96.5,2018:0.6926751592
2930,Dildora Mahkamova,"Mahkamova, Dildora",1,2023,2023:Silver,2023:55,2023:0.8214285714
2931,Shokhbek Makhmudov,"Makhmudov, Shokhbek",1,2016,2016:Merit,2016:166,2016:0.3664122137
2932,Behzod Maksudov,"Maksudov, Behzod",1,2019,2019:Bronze,2019:87,2019:0.6588235294
2933,Azizbek Mamajonov,"Mamajonov, Azizbek",1,2023,2023:Merit,2023:220,2023:0.2857142857
2934,Saydali Murodullaev,"Murodullaev, Saydali",1,2015,2015:Merit,2015:198,2015:0.3571428571
2935,Yorqinjon Muxtoraliyev,"Muxtoraliyev, Yorqinjon",1,2022,2022:Merit,2022:201.5,2022:0.3003472222
2936,Eldor Neymatov,"Neymatov, Eldor",1,2016,2016:Bronze,2016:97,2016:0.6297709924
2937,Yulduz Neymatova,"Neymatova, Yulduz",1,2014,2014:Merit,2014:185.5,2014:0.4256965944
2938,Jakhongir Norboev,"Norboev, Jakhongir",1,2016,2016:Merit,2016:122.5,2016:0.5324427481
2939,Olimjon Olimov,"Olimov, Olimjon",1,2017,2017:Silver,2017:33.5,2017:0.8879598662
2940,Davrbek Oltiboev,"Oltiboev, Davrbek",1,2014,2014:Merit,2014:135,2014:0.5820433437
2942,Sevarakhon Ostonova,"Ostonova, Sevarakhon",1,2017,2017:Gold,2017:15.5,2017:0.9481605351
2944,Ismoil Pulotov,"Pulotov, Ismoil",1,2017,2017:Silver,2017:53.5,2017:0.8210702341
2945,Timur Qadirbergenov,"Qadirbergenov, Timur",1,2022,2022:Bronze,2022:75,2022:0.7395833333
2946,Lazizbek Rajabboev,"Rajabboev, Lazizbek",1,2018,2018:Silver,2018:37.5,2018:0.8805732484
2947,Abdulaziz Rajabov,"Rajabov, Abdulaziz",1,2023,2023:Bronze,2023:109,2023:0.6461038961
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",1,2019,2019:Gold,2019:14.5,2019:0.9431372549
2949,Ziyovuddin Raxmonov,"Raxmonov, Ziyovuddin",1,2022,2022:Merit,2022:166,2022:0.4236111111
2951,Dilnura Safarova,"Safarova, Dilnura",1,2023,2023:Merit,2023:220,2023:0.2857142857
2952,Abbos Sayliev,"Sayliev, Abbos",1,2015,2015:Silver,2015:58,2015:0.8116883117
2953,Asilbek Sunnatov,"Sunnatov, Asilbek",1,2021,2021:Merit,2021:136.5,2021:0.5625
2955,Jakhongir Turaev,"Turaev, Jakhongir",1,2015,2015:Silver,2015:58,2015:0.8116883117
2956,Saidakbar Usmanbekov,"Usmanbekov, Saidakbar",1,2021,2021:Merit,2021:136.5,2021:0.5625
2959,Haydarali Yunusov,"Yunusov, Haydarali",1,2023,2023:Merit,2023:157,2023:0.4902597403
2960,Samir Zamalov,"Zamalov, Samir",1,2021,2021:Merit,2021:193,2021:0.3814102564
