id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2962,Hong Duc Bui,"Bui, Hong Duc",1,2015,2015:Gold,2015:2.5,2015:0.9918831169
2964,Nam Khanh Bui,"Bui, Nam Khanh",1,2023,2023:Silver,2023:32.5,2023:0.8944805195
2965,Nhat Minh Bui,"Bui, Nhat Minh",1,2022,2022:Silver,2022:51,2022:0.8229166667
2967,Thuy An Cao,"Cao, Thuy An",1,2017,2017:Gold,2017:15.5,2017:0.9481605351
2968,Cong Thanh Chu,"Chu, Cong Thanh",1,2015,2015:Bronze,2015:93,2015:0.6980519481
2970,Nhat Minh Chu,"Chu, Nhat Minh",1,2018,2018:Merit,2018:131.5,2018:0.5812101911
2972,Hai Anh Dang,"Dang, Hai Anh",1,2017,2017:Silver,2017:53.5,2017:0.8210702341
2973,Minh Trung Dang,"Dang, Minh Trung",2,2016;2017,2016:Bronze;2017:Bronze,2016:56;2017:76,2016:0.786259542;2017:0.745819398
2974,Ngoc Minh Dang,"Dang, Ngoc Minh",1,2019,2019:Silver,2019:47.5,2019:0.8137254902
2976,Khanh Nam Dao,"Dao, Khanh Nam",1,2022,2022:Merit,2022:131,2022:0.5451388889
2977,Ngoc Ha Dao,"Dao, Ngoc Ha",1,2018,2018:Merit,2018:131.5,2018:0.5812101911
2978,Trung Dung Dao,"Dao, Trung Dung",1,2022,2022:Merit,2022:131,2022:0.5451388889
2979,Viet Tuan Kiet Dao,"Dao, Viet Tuan Kiet",2,2021;2022,2021:Silver;2022:Bronze,2021:38;2022:75,2021:0.8782051282;2022:0.7395833333
2984,Hoang Nam Do,"Do, Hoang Nam",1,2019,2019:Silver,2019:30,2019:0.8823529412
2986,Hoang Quoc Bao Do,"Do, Hoang Quoc Bao",2,2016;2017,2016:Merit;2017:Silver,2016:122.5;2017:33.5,2016:0.5324427481;2017:0.8879598662
2987,Quang Minh Do,"Do, Quang Minh",1,2018,2018:Gold,2018:3,2018:0.9904458599
2989,Duc Minh Duong,"Duong, Duc Minh",1,2015,2015:Silver,2015:58,2015:0.8116883117
2990,Hong Minh Duong,"Duong, Hong Minh",1,2015,2015:Merit,2015:198,2015:0.3571428571
