id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
406,Angelos Assos,"Assos, Angelos",1,2015,2015:Merit,2015:178.5,2015:0.4315286624
408,Konstantinos Charalampous,"Charalampous, Konstantinos",2,2016;2018,2016:Merit;2018:Bronze,2016:182;2018:97,2016:0.3658536585;2018:0.6755852843
409,Filippos Athos Chatzichristofi,"Chatzichristofi, Filippos Athos",1,2021,2021:Bronze,2021:107,2021:0.6232394366
412,Daniil Daniil,"Daniil, Daniil",1,2023,2023:Merit,2023:178,2023:0.4384858044
414,Andreas Economou,"Economou, Andreas",2,2013;2015,2013:Merit;2015:Bronze,2013:159.5;2015:67,2013:0.4574829932;2015:0.7866242038
416,Giorgos Gavriil,"Gavriil, Giorgos",1,2023,2023:Merit,2023:154.5,2023:0.5126182965
420,Alexandros Louka,"Louka, Alexandros",1,2023,2023:Merit,2023:195,2023:0.3848580442
421,Ara Mahdessian,"Mahdessian, Ara",1,2021,2021:Silver,2021:39,2021:0.8626760563
423,Christofis Michail,"Michail, Christofis",1,2019,2019:Merit,2019:109.5,2019:0.5360169492
424,Theofanis Orfanou,"Orfanou, Theofanis",1,2021,2021:Merit,2021:155,2021:0.4542253521
426,Angelos Pelecanos,"Pelecanos, Angelos",1,2013,2013:Merit,2013:176.5,2013:0.3996598639
429,Philippos Rouvas,"Rouvas, Philippos",1,2023,2023:Silver,2023:61,2023:0.8075709779
431,Stelios Stylianou,"Stylianou, Stelios",2,2013;2015,2013:Silver;2015:Gold,2013:41.5;2015:21.5,2013:0.8588435374;2015:0.9315286624
432,Andreas Theocharous,"Theocharous, Andreas",1,2013,2013:Merit,2013:176.5,2013:0.3996598639
433,Stefanos Theocharous,"Theocharous, Stefanos",1,2018,2018:Merit,2018:195,2018:0.347826087
434,Georgia Timotheou,"Timotheou, Georgia",1,2019,2019:Merit,2019:132.5,2019:0.438559322
436,Maria Olymbia Tsianni,"Tsianni, Maria Olymbia",1,2015,2015:Merit,2015:141.5,2015:0.5493630573
437,Kyriakos Tsiannis,"Tsiannis, Kyriakos",2,2018;2019,2018:Merit;2019:Merit,2018:153.5;2019:122,2018:0.4866220736;2019:0.4830508475
440,Wang Qiyue YiFeng,"YiFeng, Wang Qiyue",1,2021,2021:Bronze,2021:88.5,2021:0.6883802817
