id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
592,Vishishi Agarwal,"Agarwal, Vishishi",1,2017,2017:Merit,2017:154,2017:0.3888888889
599,Praharsh Chaturvedi,"Chaturvedi, Praharsh",1,2023,2023:Merit,2023:178,2023:0.4384858044
600,Ayush Kumar Dwivedi,"Dwivedi, Ayush Kumar",1,2017,2017:Merit,2017:140,2017:0.4444444444
602,Mohd Faizan Khan,"Khan, Mohd Faizan",1,2023,2023:Merit,2023:162,2023:0.4889589905
603,Madhur Kumar,"Kumar, Madhur",1,2017,2017:Merit,2017:131,2017:0.4801587302
604,Yatharth Manik,"Manik, Yatharth",1,2017,2017:Merit,2017:154,2017:0.3888888889
610,Neil Poddar,"Poddar, Neil",1,2017,2017:Merit,2017:140,2017:0.4444444444
613,Mohad Farzaq Raza,"Raza, Mohad Farzaq",1,2017,2017:Merit,2017:144,2017:0.4285714286
616,Parthsarthi Singh,"Singh, Parthsarthi",1,2022,2022:Bronze,2022:101.5,2022:0.6050583658
618,Pravar Singh,"Singh, Pravar",1,2021,2021:Merit,2021:184,2021:0.3521126761
619,Shikhar Singh,"Singh, Shikhar",1,2017,2017:Merit,2017:154,2017:0.3888888889
620,Shivansh Singh,"Singh, Shivansh",1,2017,2017:Merit,2017:154,2017:0.3888888889
621,Dakshesh Sinha,"Sinha, Dakshesh",1,2022,2022:Merit,2022:152,2022:0.4085603113
622,Aman Srivastava,"Srivastava, Aman",1,2021,2021:Merit,2021:184,2021:0.3521126761
626,Shreyansh Tripathi,"Tripathi, Shreyansh",1,2017,2017:Merit,2017:154,2017:0.3888888889
