id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
960,Ko Aoki,"Aoki, Ko",1,2013,2013:Gold,2013:3.5,2013:0.9880952381
961,Tomochika Arai,"Arai, Tomochika",1,2015,2015:Gold,2015:6,2015:0.9808917197
962,Toshifumi Hara,"Hara, Toshifumi",1,2014,2014:Gold,2014:12,2014:0.9617834395
963,Sotaro Honda,"Honda, Sotaro",1,2014,2014:Silver,2014:31.5,2014:0.8996815287
964,Sora Ichikawa,"Ichikawa, Sora",1,2013,2013:Gold,2013:8,2013:0.9727891156
965,Nobutaka Ikeda,"Ikeda, Nobutaka",1,2013,2013:Silver,2013:53,2013:0.8197278912
966,Rikimaru Kurata,"Kurata, Rikimaru",1,2013,2013:Silver,2013:30,2013:0.8979591837
967,Naoki Kuroda,"Kuroda, Naoki",1,2015,2015:Gold,2015:3,2015:0.9904458599
968,Hiroki Maekawa,"Maekawa, Hiroki",1,2015,2015:Gold,2015:3,2015:0.9904458599
969,Yusuke Nishimura,"Nishimura, Yusuke",1,2015,2015:Gold,2015:9,2015:0.9713375796
970,Yuta Takaya,"Takaya, Yuta",1,2014,2014:Gold,2014:12,2014:0.9617834395
971,Akihiro Watanabe,"Watanabe, Akihiro",1,2014,2014:Silver,2014:25,2014:0.9203821656
