id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1238,Luis Alfredo Aceves Astengo,"Aceves Astengo, Luis Alfredo",1,2014,2014:Merit,2014:141,2014:0.550955414
1239,Rogelio Esau Aguirre Gonzalez,"Aguirre Gonzalez, Rogelio Esau",1,2017,2017:Merit,2017:161,2017:0.3611111111
1241,Víctor Hugo Almendra Hernández,"Almendra Hernández, Víctor Hugo",1,2014,2014:Bronze,2014:78,2014:0.7515923567
1242,Franco Giosef Álvarez González,"Álvarez González, Franco Giosef",1,2021,2021:Bronze,2021:112.5,2021:0.6038732394
1243,Fernando Álvarez Ruiz,"Álvarez Ruiz, Fernando",1,2021,2021:Bronze,2021:93.5,2021:0.6707746479
1244,Arturo Arenas Esparza,"Arenas Esparza, Arturo",1,2013,2013:Bronze,2013:114.5,2013:0.6105442177
1245,Ricardo Balam Ek,"Balam Ek, Ricardo",1,2016,2016:Merit,2016:127.5,2016:0.5557491289
1246,Itzanami Berlanga Contreras,"Berlanga Contreras, Itzanami",1,2017,2017:Merit,2017:154,2017:0.3888888889
1247,Kevin William Beuchot Castellanos,"Beuchot Castellanos, Kevin William",1,2013,2013:Silver,2013:41.5,2013:0.8588435374
1248,Sofía Ingigerth Canas Urbina,"Canas Urbina, Sofía Ingigerth",1,2017,2017:Bronze,2017:104.5,2017:0.5853174603
1249,Rosa Victoria Cantú Rodríguez,"Cantú Rodríguez, Rosa Victoria",1,2021,2021:Bronze,2021:65,2021:0.7711267606
1250,Tomas Francisco Cantu Rodriguez,"Cantu Rodriguez, Tomas Francisco",1,2018,2018:Bronze,2018:75.5,2018:0.7474916388
1251,Javier Caram Quirós,"Caram Quirós, Javier",2,2022;2023,2022:Bronze;2023:Bronze,2022:61.5;2023:87,2022:0.7607003891;2023:0.7255520505
1252,Andrea Sarahí Cascante Duarte,"Cascante Duarte, Andrea Sarahí",2,2022;2023,2022:Merit;2023:Bronze,2022:117.5;2023:106.5,2022:0.5428015564;2023:0.6640378549
