id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1309,Altansukh Altan-Od,"Altan-Od, Altansukh",2,2016;2017,2016:Bronze;2017:Gold,2016:91.5;2017:6.5,2016:0.681184669;2017:0.9742063492
1311,Purevzaya Amarzaya,"Amarzaya, Purevzaya",1,2016,2016:Bronze,2016:114,2016:0.6027874564
1314,Altangerel Baatar,"Baatar, Altangerel",1,2013,2013:Merit,2013:159.5,2013:0.4574829932
1316,Turkhuu Batbaatar,"Batbaatar, Turkhuu",2,2013;2014,2013:Bronze;2014:Bronze,2013:84;2014:68,2013:0.7142857143;2014:0.7834394904
1317,Bilguun Batbayar,"Batbayar, Bilguun",1,2017,2017:Bronze,2017:63.5,2017:0.748015873
1318,Purev Batdelger,"Batdelger, Purev",1,2013,2013:Silver,2013:46,2013:0.843537415
1320,Tenuunsaikhan Batlkhagva,"Batlkhagva, Tenuunsaikhan",1,2022,2022:Bronze,2022:68,2022:0.7354085603
1323,Dolgormaa Batsaikhan,"Batsaikhan, Dolgormaa",1,2015,2015:Bronze,2015:84,2015:0.7324840764
1324,Turbat Battsengel,"Battsengel, Turbat",2,2014;2015,2014:Merit;2015:Silver,2014:141;2015:60.5,2014:0.550955414;2015:0.8073248408
1325,Bayarbat Battseren,"Battseren, Bayarbat",1,2014,2014:Merit,2014:141,2014:0.550955414
1326,Belgutei Bayar,"Bayar, Belgutei",1,2022,2022:Bronze,2022:61.5,2022:0.7607003891
1329,Tsog Boldbaatar,"Boldbaatar, Tsog",1,2016,2016:Merit,2016:182,2016:0.3658536585
1330,Tuvshindalai Boldbaatar,"Boldbaatar, Tuvshindalai",1,2023,2023:Merit,2023:148,2023:0.5331230284
1333,Irmuun Chinbat,"Chinbat, Irmuun",1,2022,2022:Silver,2022:25,2022:0.9027237354
1334,Chingun Chindegsuren,"Chindegsuren, Chingun",1,2023,2023:Merit,2023:162,2023:0.4889589905
1336,Itgel Delgerdalai,"Delgerdalai, Itgel",1,2016,2016:Merit,2016:135.5,2016:0.5278745645
1338,Munkh-Ochir Enkhbold,"Enkhbold, Munkh-Ochir",1,2023,2023:Merit,2023:126.5,2023:0.6009463722
1341,Tenuun Erdenebayar,"Erdenebayar, Tenuun",1,2022,2022:Silver,2022:31,2022:0.8793774319
1348,Temuulen Javkhlanbaatar,"Javkhlanbaatar, Temuulen",1,2017,2017:Bronze,2017:87.5,2017:0.6527777778
1349,Tserenchimeg Khasgerel,"Khasgerel, Tserenchimeg",1,2013,2013:Bronze,2013:66,2013:0.7755102041
1350,Oyuntugs Luubaatar,"Luubaatar, Oyuntugs",2,2013;2014,2013:Silver;2014:Merit,2013:53;2014:205,2013:0.8197278912;2014:0.347133758
1352,Itgel Megzer,"Megzer, Itgel",1,2015,2015:Bronze,2015:90.5,2015:0.7117834395
1354,Unubold Munkhbat,"Munkhbat, Unubold",2,2016;2017,2016:Gold;2017:Gold,2016:14.5;2017:1.5,2016:0.9494773519;2017:0.994047619
1355,Amin-Erdene Munkhbayar,"Munkhbayar, Amin-Erdene",1,2023,2023:Merit,2023:170,2023:0.4637223975
1356,Enkhtur Munkhbayar,"Munkhbayar, Enkhtur",1,2015,2015:Bronze,2015:67,2015:0.7866242038
1359,Tuvshinbileg Naidandorj,"Naidandorj, Tuvshinbileg",1,2015,2015:Merit,2015:189,2015:0.398089172
1360,Bolor Naranbaatar,"Naranbaatar, Bolor",2,2022;2023,2022:Silver;2023:Merit,2022:25;2023:178,2022:0.9027237354;2023:0.4384858044
1361,Tenuun Naranbayar,"Naranbayar, Tenuun",1,2023,2023:Bronze,2023:113.5,2023:0.641955836
1362,Amar Nyamdavaa,"Nyamdavaa, Amar",2,2016;2017,2016:Silver;2017:Silver,2016:47.5;2017:21,2016:0.8344947735;2017:0.9166666667
1364,Tenuun Olonbaatar,"Olonbaatar, Tenuun",1,2015,2015:Bronze,2015:80,2015:0.7452229299
1365,Misheel Otgonbayar,"Otgonbayar, Misheel",2,2016;2017,2016:Bronze;2017:Silver,2016:101.5;2017:52.5,2016:0.6463414634;2017:0.7916666667
1366,Tuvshinbaatar Otgonbayar,"Otgonbayar, Tuvshinbaatar",2,2022;2023,2022:Silver;2023:Silver,2022:39.5;2023:61,2022:0.8463035019;2023:0.8075709779
1367,Bilguudei Shinezul,"Shinezul, Bilguudei",1,2017,2017:Silver,2017:21,2017:0.9166666667
1368,Manlai Sonor,"Sonor, Manlai",2,2022;2023,2022:Gold;2023:Bronze,2022:9.5;2023:87,2022:0.9630350195;2023:0.7255520505
1369,Tsend-Ayush Sosorbaram,"Sosorbaram, Tsend-Ayush",1,2013,2013:Merit,2013:135.5,2013:0.5391156463
1370,Bilguungerelt Tamir,"Tamir, Bilguungerelt",2,2022;2023,2022:Silver;2023:Silver,2022:19.5;2023:25,2022:0.9241245136;2023:0.9211356467
1371,Gankhulug Tsatsral,"Tsatsral, Gankhulug",3,2014;2015;2016,2014:Merit;2015:Silver;2016:Gold,2014:141;2015:24.5;2016:12,2014:0.550955414;2015:0.9219745223;2016:0.9581881533
1376,Tuvshinsanaa Yalalt,"Yalalt, Tuvshinsanaa",1,2017,2017:Bronze,2017:98,2017:0.6111111111
