id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1396,Mingyu Bai,"Bai, Mingyu",1,2021,2021:Gold,2021:3.5,2021:0.9876760563
1398,Guanyu Bao,"Bao, Guanyu",1,2023,2023:Gold,2023:16.5,2023:0.9479495268
1399,Wenlong Bao,"Bao, Wenlong",1,2015,2015:Silver,2015:26.5,2015:0.9156050955
1400,Lexin Bian,"Bian, Lexin",1,2023,2023:Merit,2023:154.5,2023:0.5126182965
1402,Wenyuan Cai,"Cai, Wenyuan",1,2015,2015:Silver,2015:29.5,2015:0.9060509554
1403,Zhebiao Cai,"Cai, Zhebiao",1,2015,2015:Bronze,2015:110.5,2015:0.648089172
1408,Hong Chen,"Chen, Hong",1,2014,2014:Merit,2014:170,2014:0.4585987261
1410,Junru Chen,"Chen, Junru",1,2016,2016:Merit,2016:182,2016:0.3658536585
1412,Shenglong Chen,"Chen, Shenglong",1,2013,2013:Merit,2013:190,2013:0.3537414966
1413,Shiqi Chen,"Chen, Shiqi",1,2013,2013:Gold,2013:13,2013:0.9557823129
1416,Zhirui Chen,"Chen, Zhirui",1,2014,2014:Gold,2014:15.5,2014:0.9506369427
1418,Tianle Cheng,"Cheng, Tianle",1,2015,2015:Bronze,2015:75,2015:0.7611464968
1419,Chen Chi,"Chi, Chen",1,2023,2023:Merit,2023:139.5,2023:0.5599369085
1421,Silong Deng,"Deng, Silong",1,2016,2016:Merit,2016:182,2016:0.3658536585
1423,Peiyu Ding,"Ding, Peiyu",2,2014;2015,2014:Merit;2015:Bronze,2014:170;2015:108,2014:0.4585987261;2015:0.6560509554
1427,Ziyuan Fang,"Fang, Ziyuan",1,2023,2023:Merit,2023:202.5,2023:0.3611987382
1428,Qinze Feng,"Feng, Qinze",1,2023,2023:Bronze,2023:119.5,2023:0.6230283912
1431,Angrui Gao,"Gao, Angrui",1,2022,2022:Silver,2022:19.5,2022:0.9241245136
1432,Qihang Gao,"Gao, Qihang",1,2021,2021:Gold,2021:3.5,2021:0.9876760563
1433,Rongbo Gao,"Gao, Rongbo",1,2018,2018:Merit,2018:187,2018:0.3745819398
1434,Aiwei Guo,"Guo, Aiwei",1,2019,2019:Gold,2019:10.5,2019:0.9555084746
1436,Siyue Han,"Han, Siyue",1,2013,2013:Gold,2013:13,2013:0.9557823129
1437,Xuan Han,"Han, Xuan",1,2018,2018:Gold,2018:12,2018:0.9598662207
1439,Jiawei Hu,"Hu, Jiawei",1,2022,2022:Silver,2022:39.5,2022:0.8463035019
1441,Zirui Hu,"Hu, Zirui",1,2018,2018:Gold,2018:18.5,2018:0.9381270903
1443,Chenhao Huang,"Huang, Chenhao",1,2014,2014:Bronze,2014:63.5,2014:0.7977707006
1448,Yuanting Jia,"Jia, Yuanting",1,2014,2014:Merit,2014:151,2014:0.5191082803
1449,Songhao Jiang,"Jiang, Songhao",1,2018,2018:Bronze,2018:105.5,2018:0.6471571906
1451,Xule Jin,"Jin, Xule",1,2023,2023:Gold,2023:3.5,2023:0.9889589905
1454,Baiming Lang,"Lang, Baiming",1,2015,2015:Gold,2015:21.5,2015:0.9315286624
1455,Bingheng Li,"Li, Bingheng",1,2018,2018:Gold,2018:4,2018:0.9866220736
1456,Bowen Li,"Li, Bowen",1,2016,2016:Merit,2016:161,2016:0.4390243902
1459,Chenyu Li,"Li, Chenyu",1,2022,2022:Gold,2022:13.5,2022:0.9474708171
1461,Jiacheng Li,"Li, Jiacheng",1,2015,2015:Merit,2015:134,2015:0.5732484076
1464,Jingze Li,"Li, Jingze",1,2015,2015:Bronze,2015:108,2015:0.6560509554
1465,Kexin Li,"Li, Kexin",1,2015,2015:Merit,2015:146.5,2015:0.5334394904
1466,Linxin Li,"Li, Linxin",1,2015,2015:Bronze,2015:108,2015:0.6560509554
1467,Nan Li,"Li, Nan",1,2023,2023:Silver,2023:46.5,2023:0.8533123028
