id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1872,Yearim Cha,"Cha, Yearim",1,2015,2015:Merit,2015:205,2015:0.347133758
1873,Hwuijae Cho,"Cho, Hwuijae",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1875,Seongjoon Cho,"Cho, Seongjoon",2,2014;2015,2014:Merit;2015:Gold,2014:155;2015:13,2014:0.5063694268;2015:0.9585987261
1882,Yoonkyoung Choi,"Choi, Yoonkyoung",1,2014,2014:Merit,2014:177.5,2014:0.4347133758
1888,Seungha Jeon,"Jeon, Seungha",1,2013,2013:Merit,2013:143,2013:0.5136054422
1889,Woongil Jeon,"Jeon, Woongil",1,2014,2014:Merit,2014:129,2014:0.5891719745
1893,Seungun Jeong,"Jeong, Seungun",1,2014,2014:Merit,2014:177.5,2014:0.4347133758
1895,Youngjae Jo,"Jo, Youngjae",1,2014,2014:Bronze,2014:111,2014:0.6464968153
1897,Haewon Jung,"Jung, Haewon",1,2014,2014:Merit,2014:155,2014:0.5063694268
1905,Dohan Kim,"Kim, Dohan",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1909,Eunhae Kim,"Kim, Eunhae",1,2014,2014:Merit,2014:129,2014:0.5891719745
1912,Hyunseo Kim,"Kim, Hyunseo",1,2017,2017:Merit,2017:123,2017:0.5119047619
1914,Jitae Kim,"Kim, Jitae",1,2014,2014:Bronze,2014:111,2014:0.6464968153
1918,Mingyu Kim,"Kim, Mingyu",1,2014,2014:Merit,2014:129,2014:0.5891719745
1923,Sunho Kim,"Kim, Sunho",1,2014,2014:Merit,2014:177.5,2014:0.4347133758
1924,Suyeong Kim,"Kim, Suyeong",1,2014,2014:Merit,2014:177.5,2014:0.4347133758
1927,Youngrae Kim,"Kim, Youngrae",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1933,Chunghyuk Lee,"Lee, Chunghyuk",1,2017,2017:Merit,2017:131,2017:0.4801587302
1939,Seungwoo Lee,"Lee, Seungwoo",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1942,Yeonseok Lee,"Lee, Yeonseok",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1943,Yonghwa Lee,"Lee, Yonghwa",1,2014,2014:Merit,2014:177.5,2014:0.4347133758
1944,Yoojin Lee,"Lee, Yoojin",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1947,Junam Lim,"Lim, Junam",1,2014,2014:Merit,2014:196.5,2014:0.3742038217
1948,Kyoungwoo Lim,"Lim, Kyoungwoo",1,2014,2014:Bronze,2014:111,2014:0.6464968153
1950,Yuri Ok,"Ok, Yuri",1,2018,2018:Merit,2018:151.5,2018:0.4933110368
1951,Bugyum Park,"Park, Bugyum",1,2015,2015:Merit,2015:169.5,2015:0.4601910828
1953,Junyoung Park,"Park, Junyoung",1,2014,2014:Merit,2014:129,2014:0.5891719745
1954,Kihong Park,"Park, Kihong",1,2014,2014:Merit,2014:129,2014:0.5891719745
1960,Raehoon Sin,"Sin, Raehoon",1,2014,2014:Merit,2014:129,2014:0.5891719745
1961,Jaewon Son,"Son, Jaewon",1,2014,2014:Bronze,2014:111,2014:0.6464968153
1962,Wooheok Son,"Son, Wooheok",1,2014,2014:Merit,2014:129,2014:0.5891719745
1963,Junwoo Yang,"Yang, Junwoo",1,2022,2022:Merit,2022:163.5,2022:0.3638132296
1965,Donghun Yoo,"Yoo, Donghun",1,2019,2019:Merit,2019:145,2019:0.3855932203
1966,Seunghun Yoo,"Yoo, Seunghun",1,2017,2017:Bronze,2017:116.5,2017:0.5376984127
1967,Geonwoo Yoon,"Yoon, Geonwoo",1,2019,2019:Gold,2019:10.5,2019:0.9555084746
