id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2212,Mohammed Aflal Mohammed Afham,"Afham, Mohammed Aflal Mohammed",1,2014,2014:Merit,2014:205,2014:0.347133758
2213,Seinul Asamdeen Arbith Ahamed,"Ahamed, Seinul Asamdeen Arbith",1,2022,2022:Merit,2022:124,2022:0.5175097276
2214,Thishanka Alahakoon,"Alahakoon, Thishanka",1,2016,2016:Bronze,2016:101.5,2016:0.6463414634
2215,Jayalath Chanuda Anusara,"Anusara, Jayalath Chanuda",2,2017;2018,2017:Silver;2018:Bronze,2017:30;2018:112.5,2017:0.880952381;2018:0.6237458194
2216,Praveen Charuka Athauda Arachchi,"Athauda Arachchi, Praveen Charuka",1,2023,2023:Silver,2023:46.5,2023:0.8533123028
2217,Sandaru Thathsara Balahewa,"Balahewa, Sandaru Thathsara",2,2018;2019,2018:Merit;2019:Bronze,2018:147.5;2019:49.5,2018:0.5066889632;2019:0.7902542373
2218,Hitihami Mudiyanselage Mihiru Anushka Bandara,"Bandara, Hitihami Mudiyanselage Mihiru Anushka",1,2019,2019:Bronze,2019:56.5,2019:0.7605932203
2219,Wickramasinghe Mudiyanselage Sachith Adithya Bandara,"Bandara, Wickramasinghe Mudiyanselage Sachith Adithya",1,2017,2017:Bronze,2017:98,2017:0.6111111111
2220,Chethana Chathuprabha Belpa Godage,"Belpa Godage, Chethana Chathuprabha",1,2013,2013:Merit,2013:190,2013:0.3537414966
2221,Kh Chung,"Chung, Kh",1,2014,2014:Bronze,2014:90.5,2014:0.7117834395
2222,Shanuka Kamesh Dodampegma,"Dodampegma, Shanuka Kamesh",1,2013,2013:Merit,2013:159.5,2013:0.4574829932
2225,Herath Mudiyanselage Anjula Yasiru Herath,"Herath, Herath Mudiyanselage Anjula Yasiru",1,2015,2015:Merit,2015:195.5,2015:0.377388535
2226,Charuka Nishala Kulathunga Bandara Herath Mudiyanselage,"Herath Mudiyanselage, Charuka Nishala Kulathunga Bandara",2,2015;2016,2015:Merit;2016:Silver,2015:165.5;2016:47.5,2015:0.4729299363;2016:0.8344947735
2227,Wijesekara Hettikankanange Thevindu Janith,"Janith, Wijesekara Hettikankanange Thevindu",1,2016,2016:Bronze,2016:91.5,2016:0.681184669
2231,Tharaka Udayanga Jayasena,"Jayasena, Tharaka Udayanga",1,2019,2019:Bronze,2019:98.5,2019:0.5826271186
2233,Kisara Sandaluka Kodithuwakku,"Kodithuwakku, Kisara Sandaluka",2,2017;2018,2017:Bronze;2018:Silver,2017:104.5;2018:53.5,2017:0.5853174603;2018:0.8210702341
2234,Shenal Santhush Kotuwewatta,"Kotuwewatta, Shenal Santhush",3,2014;2015;2016,2014:Bronze;2015:Gold;2016:Silver,2014:78;2015:16.5;2016:26.5,2014:0.7515923567;2015:0.9474522293;2016:0.9076655052
2235,Sithija Abhishek Kotuwewatta,"Kotuwewatta, Sithija Abhishek",1,2019,2019:Bronze,2019:56.5,2019:0.7605932203
2236,Ghaura Abheendra Mahabaduge,"Mahabaduge, Ghaura Abheendra",2,2017;2018,2017:Bronze;2018:Merit,2017:116.5;2018:131,2017:0.5376984127;2018:0.5618729097
2238,Sanupa Bimsath Marapana,"Marapana, Sanupa Bimsath",2,2021;2022,2021:Merit;2022:Bronze,2021:178;2022:101.5,2021:0.3732394366;2022:0.6050583658
2239,Ruwimal Yasantha Pathiraja,"Pathiraja, Ruwimal Yasantha",3,2013;2014;2015,2013:Bronze;2014:Bronze;2015:Merit,2013:84;2014:78;2015:155.5,2013:0.7142857143;2014:0.7515923567;2015:0.5047770701
2240,Pathirannehelage Luchitha Disal Pathirana,"Pathirana, Pathirannehelage Luchitha Disal",2,2019;2021,2019:Merit;2021:Bronze,2019:122;2021:76.5,2019:0.4830508475;2021:0.7306338028
2241,Gonaduwage Maneth Banula Perera,"Perera, Gonaduwage Maneth Banula",2,2017;2019,2017:Bronze;2019:Gold,2017:63.5;2019:5.5,2017:0.748015873;2019:0.9766949153
2243,Alwela Hansaja Ramith,"Ramith, Alwela Hansaja",1,2018,2018:Bronze,2018:92,2018:0.6923076923
2244,Wijelath Mohotalage Don Sandil Sandipa Ranasinghe,"Ranasinghe, Wijelath Mohotalage Don Sandil Sandipa",3,2014;2015;2016,2014:Merit;2015:Bronze;2016:Merit,2014:141;2015:100.5;2016:135.5,2014:0.550955414;2015:0.6799363057;2016:0.5278745645
2245,Ganganath Kevin Ravindu Bandara Ranatunga,"Ranatunga, Ganganath Kevin Ravindu Bandara",1,2023,2023:Bronze,2023:79,2023:0.7507886435
2246,Lavakumar Rishikeshan,"Rishikeshan, Lavakumar",1,2013,2013:Bronze,2013:114.5,2013:0.6105442177
2247,Wijeratne Dissanayake Mudiyanselage Uditha Sandaruwan,"Sandaruwan, Wijeratne Dissanayake Mudiyanselage Uditha",3,2016;2017;2018,2016:Merit;2017:Bronze;2018:Bronze,2016:119.5;2017:63.5;2018:86.5,2016:0.5836236934;2017:0.748015873;2018:0.7107023411
2248,Baliah Sanoojan,"Sanoojan, Baliah",1,2013,2013:Merit,2013:143,2013:0.5136054422
2249,Kalaapan Selvamagesan,"Selvamagesan, Kalaapan",1,2021,2021:Bronze,2021:70.5,2021:0.7517605634
2250,Gunarooban Shanthithyan,"Shanthithyan, Gunarooban",1,2023,2023:Merit,2023:128.5,2023:0.594637224
2252,Lande Bandarage Nethmina Poojana Shamika De Silva,"Silva, Lande Bandarage Nethmina Poojana Shamika De",1,2017,2017:Merit,2017:144,2017:0.4285714286
2253,Nadesamoorthy Sivamynthan,"Sivamynthan, Nadesamoorthy",1,2018,2018:Bronze,2018:112.5,2018:0.6237458194
2254,Thirukkumaran Theiventhiran,"Theiventhiran, Thirukkumaran",2,2021;2022,2021:Merit;2022:Bronze,2021:119.5;2022:86,2021:0.5792253521;2022:0.6653696498
