id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2528,Komron Abdulloev,"Abdulloev, Komron",1,2017,2017:Bronze,2017:87.5,2017:0.6527777778
2529,Abdurauf Zinatulloevich Abdurasulov,"Abdurasulov, Abdurauf Zinatulloevich",1,2023,2023:Merit,2023:202.5,2023:0.3611987382
2530,Parvizjon Aliev,"Aliev, Parvizjon",1,2016,2016:Bronze,2016:114,2016:0.6027874564
2532,Bezhan Asoev,"Asoev, Bezhan",1,2022,2022:Merit,2022:138.5,2022:0.4610894942
2533,Sohibjon Avgonov,"Avgonov, Sohibjon",1,2017,2017:Merit,2017:131,2017:0.4801587302
2537,Muhammadjon Boboev,"Boboev, Muhammadjon",1,2016,2016:Merit,2016:143.5,2016:0.5
2538,Mekhron Bobokhonov,"Bobokhonov, Mekhron",2,2016;2017,2016:Bronze;2017:Gold,2016:77.5;2017:6.5,2016:0.7299651568;2017:0.9742063492
2539,Anisa Burieva,"Burieva, Anisa",2,2021;2022,2021:Merit;2022:Bronze,2021:122.5;2022:106,2021:0.5686619718;2022:0.5875486381
2542,Azamat Dushanov,"Dushanov, Azamat",2,2021;2022,2021:Bronze;2022:Bronze,2021:74.5;2022:67,2021:0.7376760563;2022:0.7392996109
2543,Bezhan Gulov,"Gulov, Bezhan",1,2021,2021:Silver,2021:30,2021:0.8943661972
2544,Anis Ikromov,"Ikromov, Anis",1,2021,2021:Merit,2021:184,2021:0.3521126761
2545,Umedjon Ikromov,"Ikromov, Umedjon",1,2017,2017:Merit,2017:154,2017:0.3888888889
2546,Mashraf Inomov,"Inomov, Mashraf",1,2023,2023:Merit,2023:143.5,2023:0.547318612
2549,Shokhrukhdzhon Isomatov,"Isomatov, Shokhrukhdzhon",1,2018,2018:Merit,2018:147.5,2018:0.5066889632
2550,Sino Khairidinov,"Khairidinov, Sino",1,2018,2018:Merit,2018:170,2018:0.4314381271
2553,Doriush Khayridinov,"Khayridinov, Doriush",2,2021;2022,2021:Merit;2022:Merit,2021:129.5;2022:117.5,2021:0.5440140845;2022:0.5428015564
2554,Naimdzhon Khondzhonov,"Khondzhonov, Naimdzhon",3,2016;2017;2018,2016:Bronze;2017:Silver;2018:Silver,2016:107.5;2017:36;2018:40.5,2016:0.6254355401;2017:0.8571428571;2018:0.864548495
2555,Bakhtovari Khotami,"Khotami, Bakhtovari",1,2018,2018:Merit,2018:131,2018:0.5618729097
2559,Muhammadiqbol Mahmadov,"Mahmadov, Muhammadiqbol",1,2023,2023:Merit,2023:202.5,2023:0.3611987382
2561,Farahnoz Normurodzoda,"Normurodzoda, Farahnoz",1,2021,2021:Bronze,2021:97,2021:0.6584507042
2562,Daler Pirov,"Pirov, Daler",1,2016,2016:Merit,2016:182,2016:0.3658536585
2563,Vazirdzhon Pirov,"Pirov, Vazirdzhon",1,2018,2018:Merit,2018:147.5,2018:0.5066889632
2564,Muhammad Qodirov,"Qodirov, Muhammad",1,2022,2022:Merit,2022:163.5,2022:0.3638132296
2566,Sunatullo Rakhmatov,"Rakhmatov, Sunatullo",1,2017,2017:Silver,2017:36,2017:0.8571428571
2567,Alisher Rogov,"Rogov, Alisher",1,2016,2016:Merit,2016:143.5,2016:0.5
2568,Jamshed Rustamov,"Rustamov, Jamshed",1,2018,2018:Merit,2018:141.5,2018:0.5267558528
2569,Rakhmondzhon Sabirov,"Sabirov, Rakhmondzhon",1,2018,2018:Bronze,2018:118.5,2018:0.6036789298
2571,Muhammadidris Saymuhudinzoda,"Saymuhudinzoda, Muhammadidris",1,2023,2023:Merit,2023:167.5,2023:0.4716088328
2575,Muhammadrasul Shernazarov,"Shernazarov, Muhammadrasul",1,2023,2023:Merit,2023:178,2023:0.4384858044
2576,Samandar Temirov,"Temirov, Samandar",1,2016,2016:Merit,2016:171.5,2016:0.4024390244
2577,Olimdzhon Tukhtarov,"Tukhtarov, Olimdzhon",1,2023,2023:Bronze,2023:106.5,2023:0.6640378549
2578,Dzhakhongir Urakov,"Urakov, Dzhakhongir",2,2017;2018,2017:Silver;2018:Silver,2017:36;2018:58.5,2017:0.8571428571;2018:0.8043478261
2579,Abubakr Usmanov,"Usmanov, Abubakr",1,2017,2017:Gold,2017:13.5,2017:0.9464285714
2580,Timur Usmonov,"Usmonov, Timur",1,2021,2021:Gold,2021:16.5,2021:0.9419014085
