id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2865,Raghav Arun,"Arun, Raghav",1,2022,2022:Silver,2022:31,2022:0.8793774319
2867,Justin Chan,"Chan, Justin",1,2013,2013:Merit,2013:159.5,2013:0.4574829932
2869,Alan Cheng,"Cheng, Alan",1,2023,2023:Silver,2023:25,2023:0.9211356467
2870,Eric Ding,"Ding, Eric",1,2023,2023:Silver,2023:25,2023:0.9211356467
2872,Adam Ge,"Ge, Adam",1,2022,2022:Silver,2022:39.5,2022:0.8463035019
2873,Raymond Ge,"Ge, Raymond",1,2021,2021:Merit,2021:129.5,2021:0.5440140845
2875,Leo Hong,"Hong, Leo",1,2023,2023:Silver,2023:38,2023:0.880126183
2879,Kesav Kalanidhi,"Kalanidhi, Kesav",1,2021,2021:Merit,2021:160.5,2021:0.4348591549
2880,Vinayak Kumar,"Kumar, Vinayak",1,2013,2013:Merit,2013:128,2013:0.5646258503
2882,Jason Lee,"Lee, Jason",1,2023,2023:Gold,2023:11,2023:0.9652996845
2883,Edward Li,"Li, Edward",2,2021;2022,2021:Gold;2022:Gold,2021:10;2022:9.5,2021:0.9647887324;2022:0.9630350195
2892,Ethan Poon,"Poon, Ethan",2,2021;2022,2021:Bronze;2022:Merit,2021:59.5;2022:163.5,2021:0.7904929577;2022:0.3638132296
2893,Chris Qiu,"Qiu, Chris",2,2021;2022,2021:Gold;2022:Gold,2021:3.5;2022:1,2021:0.9876760563;2022:0.9961089494
2895,Andrew Shen,"Shen, Andrew",1,2023,2023:Gold,2023:11,2023:0.9652996845
2896,Michelle Song,"Song, Michelle",1,2013,2013:Bronze,2013:84,2013:0.7142857143
2898,Alex Wang,"Wang, Alex",1,2023,2023:Silver,2023:42,2023:0.8675078864
2901,Anthony Yang,"Yang, Anthony",2,2021;2022,2021:Bronze;2022:Silver,2021:84;2022:19.5,2021:0.7042253521;2022:0.9241245136
2902,Channing Yang,"Yang, Channing",1,2022,2022:Gold,2022:7,2022:0.9727626459
2903,Royce Yao,"Yao, Royce",1,2023,2023:Silver,2023:25,2023:0.9211356467
2904,Boya Zhang,"Zhang, Boya",1,2021,2021:Merit,2021:132.5,2021:0.5334507042
2905,Ray Zhao,"Zhao, Ray",2,2021;2022,2021:Gold;2022:Gold,2021:7.5;2022:3,2021:0.9735915493;2022:0.9883268482
2906,Jefferson Zhou,"Zhou, Jefferson",1,2023,2023:Gold,2023:16.5,2023:0.9479495268
