id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2910,Muhammadjon Bobomurodov,"Bobomurodov, Muhammadjon",1,2023,2023:Merit,2023:186.5,2023:0.4116719243
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",1,2023,2023:Bronze,2023:124,2023:0.6088328076
2915,Damir Dilmuratov,"Dilmuratov, Damir",1,2019,2019:Merit,2019:145,2019:0.3855932203
2919,Azamat Ikromov,"Ikromov, Azamat",1,2023,2023:Bronze,2023:113.5,2023:0.641955836
2924,Jaloliddin Kholmatov,"Kholmatov, Jaloliddin",1,2022,2022:Merit,2022:138.5,2022:0.4610894942
2926,Ulmasbek Khudoberdiev,"Khudoberdiev, Ulmasbek",1,2021,2021:Merit,2021:141.5,2021:0.5017605634
2929,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",1,2021,2021:Silver,2021:34.5,2021:0.8785211268
2934,Saydali Murodullaev,"Murodullaev, Saydali",1,2018,2018:Merit,2018:163,2018:0.4548494983
2936,Eldor Neymatov,"Neymatov, Eldor",2,2018;2019,2018:Merit;2019:Bronze,2018:157;2019:98.5,2018:0.474916388;2019:0.5826271186
2938,Jakhongir Norboev,"Norboev, Jakhongir",2,2018;2019,2018:Silver;2019:Silver,2018:40.5;2019:24,2018:0.864548495;2019:0.8983050847
2939,Olimjon Olimov,"Olimov, Olimjon",1,2019,2019:Bronze,2019:69,2019:0.7076271186
2941,Yusufjon Ortiqov,"Ortiqov, Yusufjon",1,2023,2023:Bronze,2023:110.5,2023:0.6514195584
2942,Sevarakhon Ostonova,"Ostonova, Sevarakhon",1,2018,2018:Merit,2018:151.5,2018:0.4933110368
2943,Nurmuhammad Otamurodov,"Otamurodov, Nurmuhammad",1,2023,2023:Bronze,2023:99.5,2023:0.6861198738
2946,Lazizbek Rajabboev,"Rajabboev, Lazizbek",1,2021,2021:Silver,2021:22,2021:0.9225352113
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",2,2021;2022,2021:Silver;2022:Bronze,2021:44.5;2022:76,2021:0.8433098592;2022:0.7042801556
2950,Anvarbek Sadulloyev,"Sadulloyev, Anvarbek",1,2022,2022:Merit,2022:117.5,2022:0.5428015564
2954,Madina Suyunova,"Suyunova, Madina",1,2021,2021:Bronze,2021:88.5,2021:0.6883802817
2957,Begzod Xoshimjonov,"Xoshimjonov, Begzod",1,2023,2023:Silver,2023:58.5,2023:0.8154574132
2958,Kamronbek Xudayqulov,"Xudayqulov, Kamronbek",1,2023,2023:Merit,2023:126.5,2023:0.6009463722
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",1,2023,2023:Gold,2023:16.5,2023:0.9479495268
