id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2963,Le Nhat Minh Bui,"Bui, Le Nhat Minh",1,2018,2018:Bronze,2018:112.5,2018:0.6237458194
2965,Nhat Minh Bui,"Bui, Nhat Minh",1,2023,2023:Merit,2023:186.5,2023:0.4116719243
2966,Trung Hieu Bui,"Bui, Trung Hieu",1,2018,2018:Merit,2018:182.5,2018:0.389632107
2967,Thuy An Cao,"Cao, Thuy An",1,2018,2018:Silver,2018:25.5,2018:0.9147157191
2968,Cong Thanh Chu,"Chu, Cong Thanh",2,2016;2017,2016:Bronze;2017:Bronze,2016:107.5;2017:69,2016:0.6254355401;2017:0.7261904762
2969,Minh Hieu Chu,"Chu, Minh Hieu",1,2014,2014:Silver,2014:45.5,2014:0.8550955414
2971,Chi Kien Dam,"Dam, Chi Kien",1,2021,2021:Merit,2021:129.5,2021:0.5440140845
2973,Minh Trung Dang,"Dang, Minh Trung",1,2018,2018:Bronze,2018:66.5,2018:0.7775919732
2975,Duc Vinh Dao,"Dao, Duc Vinh",1,2022,2022:Silver,2022:50.5,2022:0.8035019455
2980,Vu Quang Dao,"Dao, Vu Quang",1,2014,2014:Silver,2014:25,2014:0.9203821656
2981,Phuc Hung Dinh,"Dinh, Phuc Hung",1,2013,2013:Merit,2013:159.5,2013:0.4574829932
2982,Thanh Hung Dinh,"Dinh, Thanh Hung",1,2014,2014:Merit,2014:141,2014:0.550955414
2983,Vu Tung Lam Dinh,"Dinh, Vu Tung Lam",1,2017,2017:Silver,2017:21,2017:0.9166666667
2985,Hoang Nam Hieu Do,"Do, Hoang Nam Hieu",1,2014,2014:Bronze,2014:90.5,2014:0.7117834395
2986,Hoang Quoc Bao Do,"Do, Hoang Quoc Bao",2,2018;2019,2018:Bronze;2019:Gold,2018:75.5;2019:10.5,2018:0.7474916388;2019:0.9555084746
2988,Manh Dat Doan,"Doan, Manh Dat",1,2022,2022:Bronze,2022:92,2022:0.6420233463
