id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
452,Kwan Yu Chan,"Chan, Kwan Yu",2,2024;2025,2024:Bronze;2025:Bronze,2024:84.5;2025:101,2024:0.761971831;2025:0.6985074627
462,Nick Hang Cheng,"Cheng, Nick Hang",1,2021,2021:Honourable Mention,2021:193,2021:0.4389534884
465,Wai Chung Cheng,"Cheng, Wai Chung",1,2016,2016:None,2016:226,2016:0.3151515152
469,Wai Lam Cheung,"Cheung, Wai Lam",1,2016,2016:Bronze,2016:99.5,2016:0.6984848485
476,Tsz Sing Chong,"Chong, Tsz Sing",2,2025;2026,2025:Silver;2026:Bronze,2025:44;2026:125,2025:0.8686567164;2026:0.685138539
481,Cheuk Hei Chu,"Chu, Cheuk Hei",4,2019;2021;2022;2023,2019:Honourable Mention;2021:Silver;2022:Gold;2023:Gold,2019:220;2021:25.5;2022:27.5;2023:19,2019:0.3871866295;2021:0.925872093;2022:0.9135220126;2023:0.9449275362
489,Shun Ngai Ho,"Ho, Shun Ngai",1,2024,2024:Honourable Mention,2024:156.5,2024:0.5591549296
490,Sui Kei Ho,"Ho, Sui Kei",1,2019,2019:Honourable Mention,2019:201.5,2019:0.438718663
491,Tsz Chun Ho,"Ho, Tsz Chun",1,2017,2017:Honourable Mention,2017:212,2017:0.3994334278
497,Tsz Lok Ip,"Ip, Tsz Lok",3,2017;2018;2019,2017:Honourable Mention;2018:None;2019:Bronze,2017:232.5;2018:209;2019:183,2017:0.3413597734;2018:0.40625;2019:0.4902506964
499,Kin Fung Nicholas Ko,"Ko, Kin Fung Nicholas",1,2023,2023:Honourable Mention,2023:155.5,2023:0.5492753623
501,Yung Ho Kwan,"Kwan, Yung Ho",5,2022;2023;2024;2025;2026,2022:Bronze;2023:Bronze;2024:Gold;2025:Silver;2026:Gold,2022:55.5;2023:150;2024:4.5;2025:101;2026:25,2022:0.8254716981;2023:0.5652173913;2024:0.9873239437;2025:0.6985074627;2026:0.9370277078
502,Man Yi Kwok,"Kwok, Man Yi",2,2016;2017,2016:Silver;2017:Bronze,2016:67.5;2017:131,2016:0.7954545455;2017:0.6288951841
504,Wai Lok Lai,"Lai, Wai Lok",4,2019;2021;2022;2024,2019:Silver;2021:Bronze;2022:Silver;2024:Bronze,2019:150;2021:91;2022:35.5;2024:33,2019:0.5821727019;2021:0.7354651163;2022:0.8883647799;2024:0.9070422535
516,Shun Ming Samuel Lee,"Lee, Shun Ming Samuel",2,2016;2017,2016:Gold;2017:Gold,2016:29.5;2017:60,2016:0.9106060606;2017:0.8300283286
517,Wan Lee,"Lee, Wan",1,2019,2019:Silver,2019:150,2019:0.5821727019
520,Harris Leung,"Leung, Harris",3,2018;2019;2021,2018:Bronze;2019:Gold;2021:Bronze,2018:194;2019:38.5;2021:58,2018:0.4488636364;2019:0.8927576602;2021:0.8313953488
526,Min Hang Li,"Li, Min Hang",1,2019,2019:Bronze,2019:150,2019:0.5821727019
530,Zi Ang Liu,"Liu, Zi Ang",1,2026,2026:Bronze,2026:114.5,2026:0.7115869018
539,Chi Ki Ngai,"Ngai, Chi Ki",2,2017;2018,2017:Bronze;2018:Silver,2017:182.5;2018:98,2017:0.4830028329;2018:0.7215909091
552,Alvin Cheuk Hin Tse,"Tse, Alvin Cheuk Hin",3,2016;2017;2018,2016:None;2017:Bronze;2018:Silver,2016:226;2017:104;2018:87.5,2016:0.3151515152;2017:0.7053824363;2018:0.7514204545
570,Adam Xu,"Xu, Adam",1,2026,2026:Honourable Mention,2026:168.5,2026:0.5755667506
572,Ching Yan Timothy Yau,"Yau, Ching Yan Timothy",1,2021,2021:Gold,2021:22,2021:0.9360465116
581,Chun Hei Yiu,"Yiu, Chun Hei",4,2021;2022;2023;2024,2021:Bronze;2022:Bronze;2023:Bronze;2024:Silver,2021:157;2022:55.5;2023:44;2024:10.5,2021:0.5436046512;2022:0.8254716981;2023:0.8724637681;2024:0.9704225352
582,Hoi Wai Yu,"Yu, Hoi Wai",2,2016;2017,2016:Silver;2017:Silver,2016:49;2017:66,2016:0.8515151515;2017:0.8130311615
