id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
633,Kevin Adi Senjaya,"Adi Senjaya, Kevin",1,2024,2024:Bronze,2024:156.5,2024:0.5591549296
654,Kinantan Arya Bagaspati,"Bagaspati, Kinantan Arya",2,2018;2019,2018:Silver;2019:Bronze,2018:65;2019:85,2018:0.8153409091;2019:0.7632311978
661,Louis Cahyadi,"Cahyadi, Louis",2,2016;2017,2016:Silver;2017:Bronze,2016:84;2017:138,2016:0.7454545455;2017:0.6090651558
666,Nathanael Lukas Christianto,"Christianto, Nathanael Lukas",1,2020,2020:Honourable Mention,2020:192.5,2020:0.4287833828
668,Bennett Clement,"Clement, Bennett",1,2018,2018:Bronze,2018:120.5,2018:0.6576704545
694,Axel Giovanni Hartanto,"Hartanto, Axel Giovanni",1,2022,2022:Honourable Mention,2022:164,2022:0.4842767296
696,Neilson Huang,"Huang, Neilson",1,2026,2026:Honourable Mention,2026:262,2026:0.3400503778
701,Andrew Daniel Janong,"Janong, Andrew Daniel",2,2021;2022,2021:Honourable Mention;2022:Silver,2021:251;2022:97.5,2021:0.2703488372;2022:0.6933962264
712,Jonathan Kwok,"Kwok, Jonathan",1,2019,2019:Honourable Mention,2019:150,2019:0.5821727019
714,Janssen Edyth Lim,"Lim, Janssen Edyth",1,2024,2024:Honourable Mention,2024:156.5,2024:0.5591549296
721,Gabriela Erin Mariangel,"Mariangel, Gabriela Erin",2,2020;2021,2020:Bronze;2021:Honourable Mention,2020:161;2021:251,2020:0.5222551929;2021:0.2703488372
730,Kelven Nathanael,"Nathanael, Kelven",1,2024,2024:Honourable Mention,2024:239,2024:0.3267605634
733,Michael Agung Nugroho,"Nugroho, Michael Agung",2,2017;2018,2017:Honourable Mention;2018:Bronze,2017:162;2018:110.5,2017:0.5410764873;2018:0.6860795455
768,Farrel Dwireswara Salim,"Salim, Farrel Dwireswara",3,2019;2020;2021,2019:Bronze;2020:Bronze;2021:Bronze,2019:150;2020:161;2021:126.5,2019:0.5821727019;2020:0.5222551929;2021:0.6322674419
769,Gian Cordana Sanjaya,"Sanjaya, Gian Cordana",3,2016;2017;2018,2016:Honourable Mention;2017:Bronze;2018:Silver,2016:137.5;2017:138;2018:65,2016:0.5833333333;2017:0.6090651558;2018:0.8153409091
775,Maulana Satya Adigama,"Satya Adigama, Maulana",2,2022;2024,2022:Bronze;2024:Silver,2022:164;2024:84.5,2022:0.4842767296;2024:0.761971831
788,Otto Alexander Sutianto,"Sutianto, Otto Alexander",1,2018,2018:Gold,2018:52,2018:0.8522727273
797,Alfian Edgar Tjandra,"Tjandra, Alfian Edgar",2,2018;2019,2018:Bronze;2019:Bronze,2018:98;2019:85,2018:0.7215909091;2019:0.7632311978
805,Stanve Avrilium Widjaja,"Widjaja, Stanve Avrilium",2,2020;2021,2020:Silver;2021:Gold,2020:49;2021:16,2020:0.8545994065;2021:0.9534883721
808,Dick Jessen William,"William, Dick Jessen",1,2017,2017:Silver,2017:120.5,2017:0.6586402266
809,Timothy William Koesasih,"William Koesasih, Timothy",1,2024,2024:Bronze,2024:156.5,2024:0.5591549296
810,Andrew Wiraatmaja,"Wiraatmaja, Andrew",1,2017,2017:Bronze,2017:162,2017:0.5410764873
815,Rafael Kristoforus Yanto,"Yanto, Rafael Kristoforus",1,2022,2022:Bronze,2022:139,2022:0.5628930818
