id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
827,Mohammad Reza Aminian,"Aminian, Mohammad Reza",1,2016,2016:Bronze,2016:49,2016:0.8515151515
830,Matin Arefnia,"Arefnia, Matin",1,2021,2021:Bronze,2021:83,2021:0.7587209302
842,Parnia Dabagh,"Dabagh, Parnia",1,2024,2024:Bronze,2024:156.5,2024:0.5591549296
845,Farbod Ekbatani,"Ekbatani, Farbod",1,2016,2016:Silver,2016:38.5,2016:0.8833333333
847,Reza Esmailpour,"Esmailpour, Reza",1,2026,2026:Bronze,2026:114.5,2026:0.7115869018
856,Faraz Ghahremany Kooreh,"Ghahremany Kooreh, Faraz",1,2019,2019:Silver,2019:20.5,2019:0.9428969359
867,Amirmahdi Hosseinabadi,"Hosseinabadi, Amirmahdi",1,2018,2018:Bronze,2018:110.5,2018:0.6860795455
888,Mahbod Majid,"Majid, Mahbod",1,2016,2016:Honourable Mention,2016:77,2016:0.7666666667
900,Arman Mohammadi,"Mohammadi, Arman",1,2018,2018:Honourable Mention,2018:180.5,2018:0.4872159091
906,Soroush Momeni,"Momeni, Soroush",1,2022,2022:Honourable Mention,2022:253.5,2022:0.2028301887
920,Amin Rakhsha,"Rakhsha, Amin",1,2016,2016:Honourable Mention,2016:77,2016:0.7666666667
922,Ahmad Ramzan Pour,"Ramzan Pour, Ahmad",1,2018,2018:Bronze,2018:65,2018:0.8153409091
926,Alireza Rezaeimoghadam,"Rezaeimoghadam, Alireza",1,2020,2020:Honourable Mention,2020:93,2020:0.7240356083
927,Farhood Rostamkhani,"Rostamkhani, Farhood",2,2016;2017,2016:Bronze;2017:Bronze,2016:38.5;2017:84,2016:0.8833333333;2017:0.7620396601
929,Amirmojtaba Sabour,"Sabour, Amirmojtaba",2,2016;2017,2016:Gold;2017:Gold,2016:12.5;2017:18,2016:0.9621212121;2017:0.9490084986
945,Mohammad Sharifikiasari,"Sharifikiasari, Mohammad",1,2018,2018:Silver,2018:35.5,2018:0.8991477273
951,Soroush Taslimi,"Taslimi, Soroush",1,2016,2016:Bronze,2016:67.5,2016:0.7954545455
957,Hossein Zakerinia,"Zakerinia, Hossein",1,2016,2016:Bronze,2016:77,2016:0.7666666667
958,Arian Zamani,"Zamani, Arian",1,2020,2020:Bronze,2020:49,2020:0.8545994065
