id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
972,Nurassyl Abdirazak,"Abdirazak, Nurassyl",1,2021,2021:Honourable Mention,2021:126.5,2021:0.6322674419
978,Raiymbek Akshulakov,"Akshulakov, Raiymbek",1,2016,2016:Bronze,2016:137.5,2016:0.5833333333
980,Yerassyl Altinbek,"Altinbek, Yerassyl",1,2025,2025:Bronze,2025:144,2025:0.5701492537
981,Aruzhan Amanbayeva,"Amanbayeva, Aruzhan",2,2016;2018,2016:Honourable Mention;2018:Bronze,2016:137.5;2018:158.5,2016:0.5833333333;2018:0.5497159091
986,Rakhman Asmatullayev,"Asmatullayev, Rakhman",1,2018,2018:Bronze,2018:133,2018:0.6221590909
987,Saddam Asmatullayev,"Asmatullayev, Saddam",1,2016,2016:Bronze,2016:137.5,2016:0.5833333333
988,Batyrkhan Baiganov,"Baiganov, Batyrkhan",2,2025;2026,2025:Bronze;2026:Silver,2025:161.5;2026:76.5,2025:0.5179104478;2026:0.8073047859
990,Raiymbek Baishuak,"Baishuak, Raiymbek",2,2022;2023,2022:Silver;2023:Gold,2022:41.5;2023:44,2022:0.8694968553;2023:0.8724637681
993,Alan Beremkulov,"Beremkulov, Alan",1,2020,2020:Bronze,2020:161,2020:0.5222551929
996,Tamerlan Burumbayev,"Burumbayev, Tamerlan",2,2020;2022,2020:Bronze;2022:Silver,2020:161;2022:55.5,2020:0.5222551929;2022:0.8254716981
1015,Assylbek Olzhabayev,"Olzhabayev, Assylbek",1,2020,2020:Silver,2020:93,2020:0.7240356083
1016,Makhmut Omar,"Omar, Makhmut",1,2021,2021:Bronze,2021:126.5,2021:0.6322674419
1026,Yaroslav Toporov,"Toporov, Yaroslav",1,2020,2020:Silver,2020:93,2020:0.7240356083
1037,Kuanysh Zholdassov,"Zholdassov, Kuanysh",1,2019,2019:Bronze,2019:85,2019:0.7632311978
