id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1171,Xing Yi Ang,"Ang, Xing Yi",1,2021,2021:Honourable Mention,2021:251,2021:0.2703488372
1172,Tze Shen Tristan Chaang,"Chaang, Tze Shen Tristan",5,2018;2019;2020;2021;2022,2018:Bronze;2019:Bronze;2020:Bronze;2021:Silver;2022:Silver,2018:158.5;2019:192.5;2020:161;2021:41;2022:73,2018:0.5497159091;2019:0.4637883008;2020:0.5222551929;2021:0.8808139535;2022:0.7704402516
1174,Ivan Guan Yu Chan,"Chan, Ivan Guan Yu",4,2022;2023;2024;2025,2022:Bronze;2023:Bronze;2024:Bronze;2025:Silver,2022:191;2023:129;2024:156.5;2025:101,2022:0.3993710692;2023:0.6260869565;2024:0.5591549296;2025:0.6985074627
1180,Brandon Choo Sze How,"Choo Sze How, Brandon",2,2022;2025,2022:Honourable Mention;2025:Bronze,2022:233.5;2025:101,2022:0.2657232704;2025:0.6985074627
1182,Chong Hong Choy,"Choy, Chong Hong",1,2023,2023:Honourable Mention,2023:198,2023:0.4260869565
1183,Jia Herng Chuah,"Chuah, Jia Herng",1,2023,2023:None,2023:198,2023:0.4260869565
1185,Jun Thean Goh,"Goh, Jun Thean",1,2025,2025:Honourable Mention,2025:186.5,2025:0.4432835821
1191,Samuel Qi En Koh,"Koh, Samuel Qi En",1,2022,2022:Honourable Mention,2022:213,2022:0.3301886792
1193,Ryan Yi Jie Kua,"Kua, Ryan Yi Jie",1,2024,2024:Honourable Mention,2024:156.5,2024:0.5591549296
1195,Bryan Shi Yang Lee,"Lee, Bryan Shi Yang",2,2021;2023,2021:Honourable Mention;2023:Bronze,2021:251;2023:129,2021:0.2703488372;2023:0.6260869565
1204,Ming Wen Lim,"Lim, Ming Wen",1,2019,2019:None,2019:335,2019:0.0668523677
1221,Li Xuan Tan,"Tan, Li Xuan",6,2016;2017;2018;2019;2020;2021,2016:None;2017:Bronze;2018:Honourable Mention;2019:Silver;2020:Silver;2021:Silver,2016:244.5;2017:162;2018:268;2019:38.5;2020:123;2021:99.5,2016:0.2590909091;2017:0.5410764873;2018:0.2386363636;2019:0.8927576602;2020:0.6350148368;2021:0.710755814
1222,Min Heng Tan,"Tan, Min Heng",4,2021;2022;2023;2024,2021:Bronze;2022:Bronze;2023:Bronze;2024:Bronze,2021:170;2022:148.5;2023:129;2024:156.5,2021:0.5058139535;2022:0.5330188679;2023:0.6260869565;2024:0.5591549296
1231,Zhiyang Wan,"Wan, Zhiyang",2,2019;2020,2019:Honourable Mention;2020:Bronze,2019:263.5;2020:161,2019:0.2660167131;2020:0.5222551929
1233,Jer Ren Wong,"Wong, Jer Ren",6,2019;2020;2021;2022;2023;2024,2019:None;2020:Bronze;2021:Gold;2022:Silver;2023:Gold;2024:Silver,2019:335;2020:161;2021:25.5;2022:55.5;2023:11;2024:33,2019:0.0668523677;2020:0.5222551929;2021:0.925872093;2022:0.8254716981;2023:0.968115942;2024:0.9070422535
1236,Zi Song Yeoh,"Yeoh, Zi Song",5,2016;2017;2018;2019;2020,2016:None;2017:Bronze;2018:Silver;2019:Gold;2020:Silver,2016:244.5;2017:162;2018:65;2019:38.5;2020:63.5,2016:0.2590909091;2017:0.5410764873;2018:0.8153409091;2019:0.8927576602;2020:0.8115727003
