id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1241,Víctor Hugo Almendra Hernández,"Almendra Hernández, Víctor Hugo",1,2016,2016:Honourable Mention,2016:178.5,2016:0.4590909091
1244,Arturo Arenas Esparza,"Arenas Esparza, Arturo",1,2016,2016:Bronze,2016:137.5,2016:0.5833333333
1247,Kevin William Beuchot Castellanos,"Beuchot Castellanos, Kevin William",1,2016,2016:Gold,2016:19,2016:0.9424242424
1250,Tomas Francisco Cantu Rodriguez,"Cantu Rodriguez, Tomas Francisco",3,2019;2020;2021,2019:Silver;2020:Honourable Mention;2021:Silver,2019:68;2020:161;2021:69,2019:0.8105849582;2020:0.5222551929;2021:0.7994186047
1251,Javier Caram Quirós,"Caram Quirós, Javier",3,2024;2025;2026,2024:Bronze;2025:Bronze;2026:Bronze,2024:156.5;2025:186.5;2026:132,2024:0.5591549296;2025:0.4432835821;2026:0.6675062972
1252,Andrea Sarahí Cascante Duarte,"Cascante Duarte, Andrea Sarahí",1,2026,2026:Gold,2026:52,2026:0.8690176322
1254,Leonardo Mikel Cervantes Mateos,"Cervantes Mateos, Leonardo Mikel",1,2022,2022:Silver,2022:73,2022:0.7704402516
1256,Jacobo De Juan Millon,"De Juan Millon, Jacobo",1,2019,2019:Bronze,2019:150,2019:0.5821727019
1258,Víctor Antonio Domínguez Silva,"Domínguez Silva, Víctor Antonio",2,2017;2018,2017:Bronze;2018:Silver,2017:162;2018:87.5,2017:0.5410764873;2018:0.7514204545
1261,Leonardo Ariel García Morán,"García Morán, Leonardo Ariel",2,2016;2017,2016:Silver;2017:Gold,2016:99.5;2017:71.5,2016:0.6984848485;2017:0.7974504249
1263,Jonatan Alejandro Gonzalez Cazares,"Gonzalez Cazares, Jonatan Alejandro",2,2017;2019,2017:Honourable Mention;2019:Honourable Mention,2017:232.5;2019:201.5,2017:0.3413597734;2019:0.438718663
1264,Bruno Gutiérrez Chávez,"Gutiérrez Chávez, Bruno",2,2018;2019,2018:Bronze;2019:Bronze,2018:180.5;2019:150,2018:0.4872159091;2019:0.5821727019
1266,Karol José Gutiérrez Suárez,"Gutiérrez Suárez, Karol José",1,2016,2016:Bronze,2016:121,2016:0.6333333333
1267,Emiliano Hernández Barranco,"Hernández Barranco, Emiliano",2,2024;2025,2024:Bronze;2025:Honourable Mention,2024:156.5;2025:220.5,2024:0.5591549296;2025:0.3417910448
1268,Eric Iván Hernández Palacios,"Hernández Palacios, Eric Iván",1,2019,2019:Silver,2019:108.5,2019:0.6977715877
