id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1661,Jose Lorenzo P. Abad,"Abad, Jose Lorenzo P.",1,2021,2021:Bronze,2021:178.5,2021:0.4811046512
1667,Clyde Wesley S. Ang,"Ang, Clyde Wesley S.",2,2016;2017,2016:None;2017:Bronze,2016:226;2017:75,2016:0.3151515152;2017:0.7875354108
1672,Immanuel Josiah Ang Balete,"Balete, Immanuel Josiah Ang",2,2019;2021,2019:Bronze;2021:Silver,2019:210.5;2021:83,2019:0.4136490251;2021:0.7587209302
1676,Ervin Joshua V. Bautista,"Bautista, Ervin Joshua V.",2,2024;2025,2024:Bronze;2025:Silver,2024:227;2025:138.5,2024:0.3605633803;2025:0.5865671642
1682,Sarji Elijah S. Bona,"Bona, Sarji Elijah S.",2,2021;2022,2021:Bronze;2022:Honourable Mention,2021:157;2022:233.5,2021:0.5436046512;2022:0.2657232704
1691,Mohammad Nur G. Casib,"Casib, Mohammad Nur G.",4,2022;2023;2024;2025,2022:Bronze;2023:Silver;2024:Gold;2025:Silver,2022:181;2023:73;2024:10.5;2025:138.5,2022:0.4308176101;2023:0.7884057971;2024:0.9704225352;2025:0.5865671642
1697,Enzo Rafael S. Chan,"Chan, Enzo Rafael S.",1,2023,2023:None,2023:220,2023:0.3623188406
1707,Shawn Darren S. Chua,"Chua, Shawn Darren S.",2,2021;2022,2021:Bronze;2022:Silver,2021:126.5;2022:130.5,2021:0.6322674419;2022:0.5896226415
1734,Neo Angelo G. Gatlabayan,"Gatlabayan, Neo Angelo G.",1,2024,2024:Honourable Mention,2024:248,2024:0.3014084507
1739,Jaden Nathan Tanking Hernandez,"Hernandez, Jaden Nathan Tanking",1,2026,2026:Honourable Mention,2026:312.5,2026:0.2128463476
1750,Sedrick Scott S. Keh,"Keh, Sedrick Scott S.",1,2016,2016:None,2016:271,2016:0.1787878788
1757,Patric Xamwell C. Legaspi,"Legaspi, Patric Xamwell C.",1,2024,2024:None,2024:317.5,2024:0.1056338028
