id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2084,Boon Han Nathaniel Ang,"Ang, Boon Han Nathaniel",3,2018;2019;2020,2018:Silver;2019:Honourable Mention;2020:Bronze,2018:40.5;2019:108.5;2020:93,2018:0.8849431818;2019:0.6977715877;2020:0.7240356083
2086,Tse Yang Lucas Boo,"Boo, Tse Yang Lucas",6,2016;2017;2018;2019;2020;2021,2016:Honourable Mention;2017:Bronze;2018:Silver;2019:Silver;2020:Silver;2021:Gold,2016:99.5;2017:104;2018:23;2019:10.5;2020:11.5;2021:22,2016:0.6984848485;2017:0.7053824363;2018:0.9346590909;2019:0.9707520891;2020:0.9658753709;2021:0.9360465116
2089,Puhua Cheng,"Cheng, Puhua",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:65;2019:51,2018:0.8153409091;2019:0.8579387187
2090,Clarence Xuan Da Chew,"Chew, Clarence Xuan Da",1,2017,2017:Silver,2017:71.5,2017:0.7974504249
2091,Zixiang Gao,"Gao, Zixiang",2,2025;2026,2025:Bronze;2026:Bronze,2025:63;2026:76.5,2025:0.8119402985;2026:0.8073047859
2092,Hong Pei Goh,"Goh, Hong Pei",1,2017,2017:Bronze,2017:104,2017:0.7053824363
2093,Timothy Li Xiong Ho,"Ho, Timothy Li Xiong",1,2020,2020:Honourable Mention,2020:93,2020:0.7240356083
2097,Ker Yang Lee,"Lee, Ker Yang",1,2018,2018:Honourable Mention,2018:65,2018:0.8153409091
2105,Choo Ray Low,"Low, Choo Ray",3,2019;2020;2021,2019:Bronze;2020:Bronze;2021:Silver,2019:58.5;2020:63.5;2021:58,2019:0.8370473538;2020:0.8115727003;2021:0.8313953488
2108,Yangyi Aloysius Ng,"Ng, Yangyi Aloysius",1,2020,2020:Gold,2020:6.5,2020:0.9807121662
2111,Wenyuan Sun,"Sun, Wenyuan",2,2025;2026,2025:Gold;2026:Silver,2025:10.5;2026:36,2025:0.9686567164;2026:0.9093198992
2112,Joel Junyao Tan,"Tan, Joel Junyao",2,2016;2019,2016:Silver;2019:Silver,2016:29.5;2019:16,2016:0.9106060606;2019:0.9554317549
2114,Wee Kean Tan,"Tan, Wee Kean",2,2017;2020,2017:Bronze;2020:Bronze,2017:124.5;2020:23,2017:0.6473087819;2020:0.9317507418
2115,Xu Chen Tan,"Tan, Xu Chen",3,2018;2019;2020,2018:Bronze;2019:Bronze;2020:Silver,2018:52;2019:38.5;2020:6.5,2018:0.8522727273;2019:0.8927576602;2020:0.9807121662
2117,Akash Thiagarajan,"Thiagarajan, Akash",2,2025;2026,2025:Bronze;2026:Gold,2025:48.5;2026:25,2025:0.8552238806;2026:0.9370277078
2118,David Hui Kai Toh,"Toh, David Hui Kai",1,2019,2019:Bronze,2019:51,2019:0.8579387187
2119,Bryan Peng Jun Wang,"Wang, Bryan Peng Jun",2,2016;2017,2016:Gold;2017:Bronze,2016:9;2017:104,2016:0.9727272727;2017:0.7053824363
2120,Jianzhi Wang,"Wang, Jianzhi",3,2016;2017;2018,2016:None;2017:Honourable Mention;2018:Bronze,2016:121;2017:138;2018:46,2016:0.6333333333;2017:0.6090651558;2018:0.8693181818
2123,Brian Boyang Xiao,"Xiao, Brian Boyang",2,2025;2026,2025:Silver;2026:Bronze,2025:22.5;2026:76.5,2025:0.9328358209;2026:0.8073047859
2124,Ryker Haohan Xu,"Xu, Ryker Haohan",3,2024;2025;2026,2024:Honourable Mention;2025:Bronze;2026:Silver,2024:156.5;2025:101;2026:52,2024:0.5591549296;2025:0.6985074627;2026:0.8690176322
2125,Ziyu Xu,"Xu, Ziyu",2,2022;2024,2022:Bronze;2024:Bronze,2022:73;2024:84.5,2022:0.7704402516;2024:0.761971831
2126,Qinxi Yu,"Yu, Qinxi",2,2023;2024,2023:Bronze;2024:Bronze,2023:73;2024:156.5,2023:0.7884057971;2024:0.5591549296
2128,Juntao Zhang,"Zhang, Juntao",1,2025,2025:Bronze,2025:63,2025:0.8119402985
2129,Xiaorui Zhang,"Zhang, Xiaorui",1,2018,2018:Honourable Mention,2018:87.5,2018:0.7514204545
