id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2216,Praveen Charuka Athauda Arachchi,"Athauda Arachchi, Praveen Charuka",2,2023;2026,2023:None;2026:Bronze,2023:267.5;2026:168.5,2023:0.2246376812;2026:0.5755667506
2217,Sandaru Thathsara Balahewa,"Balahewa, Sandaru Thathsara",1,2022,2022:Honourable Mention,2022:233.5,2022:0.2657232704
2218,Hitihami Mudiyanselage Mihiru Anushka Bandara,"Bandara, Hitihami Mudiyanselage Mihiru Anushka",5,2019;2020;2022;2023;2024,2019:Honourable Mention;2020:Honourable Mention;2022:Bronze;2023:None;2024:None,2019:236;2020:264.5;2022:191;2023:231;2024:258,2019:0.3426183844;2020:0.2151335312;2022:0.3993710692;2023:0.3304347826;2024:0.2732394366
2231,Tharaka Udayanga Jayasena,"Jayasena, Tharaka Udayanga",1,2022,2022:Bronze,2022:164,2022:0.4842767296
2233,Kisara Sandaluka Kodithuwakku,"Kodithuwakku, Kisara Sandaluka",1,2019,2019:None,2019:305,2019:0.1504178273
2234,Shenal Santhush Kotuwewatta,"Kotuwewatta, Shenal Santhush",4,2016;2017;2018;2019,2016:Bronze;2017:Honourable Mention;2018:Honourable Mention;2019:Honourable Mention,2016:178.5;2017:263.5;2018:224;2019:236,2016:0.4590909091;2017:0.2535410765;2018:0.3636363636;2019:0.3426183844
2235,Sithija Abhishek Kotuwewatta,"Kotuwewatta, Sithija Abhishek",2,2019;2020,2019:None;2020:None,2019:315;2020:296,2019:0.1225626741;2020:0.1216617211
2236,Ghaura Abheendra Mahabaduge,"Mahabaduge, Ghaura Abheendra",2,2019;2020,2019:Honourable Mention;2020:Bronze,2019:263.5;2020:197,2019:0.2660167131;2020:0.4154302671
2237,Shithila Vibheetha Mahabaduge,"Mahabaduge, Shithila Vibheetha",1,2023,2023:None,2023:231,2023:0.3304347826
2238,Sanupa Bimsath Marapana,"Marapana, Sanupa Bimsath",1,2024,2024:None,2024:350.5,2024:0.0126760563
2240,Pathirannehelage Luchitha Disal Pathirana,"Pathirana, Pathirannehelage Luchitha Disal",4,2020;2021;2022;2023,2020:None;2021:None;2022:Honourable Mention;2023:None,2020:329;2021:308.5;2022:233.5;2023:314,2020:0.0237388724;2021:0.1031976744;2022:0.2657232704;2023:0.0898550725
2241,Gonaduwage Maneth Banula Perera,"Perera, Gonaduwage Maneth Banula",4,2017;2018;2019;2020,2017:None;2018:Honourable Mention;2019:Honourable Mention;2020:Bronze,2017:292.5;2018:268;2019:263.5;2020:161,2017:0.171388102;2018:0.2386363636;2019:0.2660167131;2020:0.5222551929
2250,Gunarooban Shanthithyan,"Shanthithyan, Gunarooban",1,2024,2024:Honourable Mention,2024:293.5,2024:0.1732394366
2253,Nadesamoorthy Sivamynthan,"Sivamynthan, Nadesamoorthy",3,2016;2017;2019,2016:None;2017:None;2019:None,2016:271;2017:326.5;2019:335,2016:0.1787878788;2017:0.0750708215;2019:0.0668523677
2254,Thirukkumaran Theiventhiran,"Theiventhiran, Thirukkumaran",2,2021;2024,2021:None;2024:Honourable Mention,2021:333.5;2024:293.5,2021:0.0305232558;2024:0.1732394366
2258,Thellabura Vithanachchige Nelushi Vithanachchi,"Vithanachchi, Thellabura Vithanachchige Nelushi",3,2018;2019;2020,2018:Honourable Mention;2019:Honourable Mention;2020:Bronze,2018:268;2019:236;2020:197,2018:0.2386363636;2019:0.3426183844;2020:0.4154302671
2259,Chandhopama Thidas Bandara Wanasinghe,"Wanasinghe, Chandhopama Thidas Bandara",4,2020;2021;2022;2023,2020:Honourable Mention;2021:Honourable Mention;2022:Bronze;2023:None,2020:264.5;2021:251;2022:181;2023:243.5,2020:0.2151335312;2021:0.2703488372;2022:0.4308176101;2023:0.2942028986
2260,Thenura Dilruk Wickramarathna,"Wickramarathna, Thenura Dilruk",2,2023;2024,2023:None;2024:None,2023:294;2024:321.5,2023:0.147826087;2024:0.0943661972
