id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2269,Chi-An Chang,"Chang, Chi-An",2,2023;2024,2023:Bronze;2024:Gold,2023:73;2024:33,2023:0.7884057971;2024:0.9070422535
2274,Heng-Yu Chang,"Chang, Heng-Yu",1,2017,2017:Honourable Mention,2017:104,2017:0.7053824363
2278,Po-Shen Chang,"Chang, Po-Shen",2,2022;2023,2022:Bronze;2023:Bronze,2022:55.5;2023:63.5,2022:0.8254716981;2023:0.815942029
2289,Alice Chen,"Chen, Alice",1,2025,2025:Bronze,2025:161.5,2025:0.5179104478
2309,Pai-Li Cheng,"Cheng, Pai-Li",2,2020;2021,2020:Honourable Mention;2021:Gold,2020:93;2021:25.5,2020:0.7240356083;2021:0.925872093
2310,Tien-Sheng Cheng,"Cheng, Tien-Sheng",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:98;2019:85,2018:0.7215909091;2019:0.7632311978
2334,Yen-Kang Fu,"Fu, Yen-Kang",1,2018,2018:Bronze,2018:87.5,2018:0.7514204545
2337,Ming Hsiao,"Hsiao, Ming",1,2019,2019:Silver,2019:85,2019:0.7632311978
2341,Wei-Hsuan Hsin,"Hsin, Wei-Hsuan",2,2021;2022,2021:Silver;2022:Bronze,2021:41;2022:35.5,2021:0.8808139535;2022:0.8883647799
2349,Ting-Cheng Hsu,"Hsu, Ting-Cheng",2,2025;2026,2025:Silver;2026:Honourable Mention,2025:63;2026:125,2025:0.8119402985;2026:0.685138539
2350,Ting-Wei Hsu,"Hsu, Ting-Wei",1,2017,2017:Honourable Mention,2017:104,2017:0.7053824363
2354,Yu-Cheng Hu,"Hu, Yu-Cheng",1,2026,2026:Bronze,2026:114.5,2026:0.7115869018
2358,Bo-Cheng Huang,"Huang, Bo-Cheng",2,2023;2025,2023:Gold;2025:Bronze,2023:26;2025:101,2023:0.9246376812;2025:0.6985074627
2366,Qi-Zhun Huang,"Huang, Qi-Zhun",1,2026,2026:Silver,2026:76.5,2026:0.8073047859
2400,Chia-Ray Lee,"Lee, Chia-Ray",1,2025,2025:Silver,2025:101,2025:0.6985074627
2434,Te-Cheng Liu,"Liu, Te-Cheng",2,2019;2020,2019:Honourable Mention;2020:Bronze,2019:150;2020:93,2019:0.5821727019;2020:0.7240356083
2446,Yu-Chen Ma,"Ma, Yu-Chen",1,2026,2026:Gold,2026:41,2026:0.8967254408
2449,Yu-Jui Pan,"Pan, Yu-Jui",1,2026,2026:Bronze,2026:125,2026:0.685138539
2457,Yu-Sheng Shih,"Shih, Yu-Sheng",1,2018,2018:Bronze,2018:65,2018:0.8153409091
2475,Wei-Fu Tseng,"Tseng, Wei-Fu",1,2021,2021:Bronze,2021:91,2021:0.7354651163
2485,Shih-Yu Wang,"Wang, Shih-Yu",4,2016;2017;2018;2019,2016:Honourable Mention;2017:Bronze;2018:Gold;2019:Silver,2016:111.5;2017:104;2018:23;2019:68,2016:0.6621212121;2017:0.7053824363;2018:0.9346590909;2019:0.8105849582
2502,Po-Han Wu,"Wu, Po-Han",2,2021;2022,2021:Bronze;2022:Silver,2021:75.5;2022:31.5,2021:0.7805232558;2022:0.9009433962
2504,Ssu-Chien Wu,"Wu, Ssu-Chien",1,2026,2026:Silver,2026:76.5,2026:0.8073047859
2519,Hung-Hsun Yu,"Yu, Hung-Hsun",2,2016;2017,2016:Gold;2017:Gold,2016:16;2017:18,2016:0.9515151515;2017:0.9490084986
2524,Hsin-Te Yuan,"Yuan, Hsin-Te",1,2018,2018:Bronze,2018:65,2018:0.8153409091
