id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2528,Komron Abdulloev,"Abdulloev, Komron",1,2018,2018:Honourable Mention,2018:218.5,2018:0.3792613636
2529,Abdurauf Zinatulloevich Abdurasulov,"Abdurasulov, Abdurauf Zinatulloevich",1,2023,2023:None,2023:294,2023:0.147826087
2530,Parvizjon Aliev,"Aliev, Parvizjon",1,2018,2018:Honourable Mention,2018:268,2018:0.2386363636
2532,Bezhan Asoev,"Asoev, Bezhan",1,2022,2022:None,2022:253.5,2022:0.2028301887
2533,Sohibjon Avgonov,"Avgonov, Sohibjon",1,2019,2019:Bronze,2019:201.5,2019:0.438718663
2534,Alisher Azimov,"Azimov, Alisher",1,2019,2019:Honourable Mention,2019:263.5,2019:0.2660167131
2537,Muhammadjon Boboev,"Boboev, Muhammadjon",2,2016;2017,2016:Honourable Mention;2017:Honourable Mention,2016:211;2017:263.5,2016:0.3606060606;2017:0.2535410765
2538,Mekhron Bobokhonov,"Bobokhonov, Mekhron",3,2016;2017;2018,2016:Bronze;2017:Silver;2018:Honourable Mention,2016:137.5;2017:104;2018:224,2016:0.5833333333;2017:0.7053824363;2018:0.3636363636
2539,Anisa Burieva,"Burieva, Anisa",1,2023,2023:Honourable Mention,2023:198,2023:0.4260869565
2540,Raufdzhon Dadabaev,"Dadabaev, Raufdzhon",3,2020;2021;2022,2020:Honourable Mention;2021:Honourable Mention;2022:Bronze,2020:211;2021:251;2022:148.5,2020:0.3738872404;2021:0.2703488372;2022:0.5330188679
2542,Azamat Dushanov,"Dushanov, Azamat",2,2022;2023,2022:Bronze;2023:Honourable Mention,2022:164;2023:198,2022:0.4842767296;2023:0.4260869565
2543,Bezhan Gulov,"Gulov, Bezhan",1,2020,2020:Honourable Mention,2020:221.5,2020:0.3427299703
2546,Mashraf Inomov,"Inomov, Mashraf",1,2024,2024:Honourable Mention,2024:293.5,2024:0.1732394366
2550,Sino Khairidinov,"Khairidinov, Sino",3,2019;2020;2021,2019:Honourable Mention;2020:Bronze;2021:Bronze,2019:263.5;2020:161;2021:126.5,2019:0.2660167131;2020:0.5222551929;2021:0.6322674419
2551,Ibrohim Khalifaev,"Khalifaev, Ibrohim",1,2026,2026:Honourable Mention,2026:312.5,2026:0.2128463476
2552,Abdurauf Khatamov,"Khatamov, Abdurauf",3,2019;2020;2021,2019:Honourable Mention;2020:Honourable Mention;2021:Honourable Mention,2019:263.5;2020:264.5;2021:251,2019:0.2660167131;2020:0.2151335312;2021:0.2703488372
2553,Doriush Khayridinov,"Khayridinov, Doriush",1,2022,2022:Bronze,2022:164,2022:0.4842767296
2554,Naimdzhon Khondzhonov,"Khondzhonov, Naimdzhon",2,2017;2019,2017:Honourable Mention;2019:Silver,2017:199.5;2019:108.5,2017:0.4348441926;2019:0.6977715877
2555,Bakhtovari Khotami,"Khotami, Bakhtovari",1,2018,2018:Honourable Mention,2018:268,2018:0.2386363636
2559,Muhammadiqbol Mahmadov,"Mahmadov, Muhammadiqbol",1,2025,2025:Honourable Mention,2025:267,2025:0.2029850746
2560,Emomalijon Murodzoda,"Murodzoda, Emomalijon",3,2020;2021;2022,2020:Honourable Mention;2021:Honourable Mention;2022:Bronze,2020:264.5;2021:251;2022:164,2020:0.2151335312;2021:0.2703488372;2022:0.4842767296
2561,Farahnoz Normurodzoda,"Normurodzoda, Farahnoz",1,2022,2022:None,2022:253.5,2022:0.2028301887
2563,Vazirdzhon Pirov,"Pirov, Vazirdzhon",2,2020;2021,2020:Gold;2021:Bronze,2020:31;2021:126.5,2020:0.9080118694;2021:0.6322674419
2566,Sunatullo Rakhmatov,"Rakhmatov, Sunatullo",3,2016;2017;2018,2016:Bronze;2017:Honourable Mention;2018:Honourable Mention,2016:178.5;2017:232.5;2018:268,2016:0.4590909091;2017:0.3413597734;2018:0.2386363636
2567,Alisher Rogov,"Rogov, Alisher",1,2016,2016:None,2016:271,2016:0.1787878788
2568,Jamshed Rustamov,"Rustamov, Jamshed",3,2019;2020;2021,2019:Honourable Mention;2020:Bronze;2021:Bronze,2019:236;2020:161;2021:126.5,2019:0.3426183844;2020:0.5222551929;2021:0.6322674419
2571,Muhammadidris Saymuhudinzoda,"Saymuhudinzoda, Muhammadidris",3,2024;2025;2026,2024:Honourable Mention;2025:Honourable Mention;2026:Silver,2024:293.5;2025:267;2026:52,2024:0.1732394366;2025:0.2029850746;2026:0.8690176322
2574,Sino Sharopov,"Sharopov, Sino",2,2024;2025,2024:None;2025:None,2024:334.5;2025:292,2024:0.0577464789;2025:0.128358209
2575,Muhammadrasul Shernazarov,"Shernazarov, Muhammadrasul",2,2023;2024,2023:None;2024:Honourable Mention,2023:294;2024:293.5,2023:0.147826087;2024:0.1732394366
