id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2585,Nathanon Akkaraphab,"Akkaraphab, Nathanon",1,2017,2017:Bronze,2017:45,2017:0.8725212465
2588,Nithid Anchaleenukoon,"Anchaleenukoon, Nithid",3,2019;2020;2021,2019:Honourable Mention;2020:Bronze;2021:Gold,2019:85;2020:49;2021:22,2019:0.7632311978;2020:0.8545994065;2021:0.9360465116
2595,Parapim Attahakul,"Attahakul, Parapim",1,2020,2020:Honourable Mention,2020:123,2020:0.6350148368
2603,Krit Boonsiriseth,"Boonsiriseth, Krit",2,2016;2017,2016:Bronze;2017:Silver,2016:99.5;2017:18,2016:0.6984848485;2017:0.9490084986
2606,Chesphongphach Buranasilp,"Buranasilp, Chesphongphach",1,2016,2016:Silver,2016:84,2016:0.7454545455
2612,Ethan Chen,"Chen, Ethan",2,2025;2026,2025:Honourable Mention;2026:Bronze,2025:161.5;2026:168.5,2025:0.5179104478;2026:0.5755667506
2628,Siwakorn Fuangkawinsombut,"Fuangkawinsombut, Siwakorn",2,2017;2018,2017:Bronze;2018:Honourable Mention,2017:18;2018:120.5,2017:0.9490084986;2018:0.6576704545
2631,Siravit Hengsuvanich,"Hengsuvanich, Siravit",1,2021,2021:Honourable Mention,2021:126.5,2021:0.6322674419
2633,Atigunt Hualcharoenthon,"Hualcharoenthon, Atigunt",1,2023,2023:Bronze,2023:108,2023:0.6869565217
2639,Jirayus Jinapong,"Jinapong, Jirayus",2,2018;2019,2018:Bronze;2019:Honourable Mention,2018:110.5;2019:68,2018:0.6860795455;2019:0.8105849582
2640,Pasit Jindanuwat,"Jindanuwat, Pasit",2,2016;2017,2016:Bronze;2017:Silver,2016:84;2017:18,2016:0.7454545455;2017:0.9490084986
2650,Nonya Kangwanteerawat,"Kangwanteerawat, Nonya",1,2019,2019:Bronze,2019:68,2019:0.8105849582
2654,Prompt Kerdphoksup,"Kerdphoksup, Prompt",1,2020,2020:Bronze,2020:63.5,2020:0.8115727003
2656,Siraphop Khawplad,"Khawplad, Siraphop",3,2023;2024;2025,2023:Honourable Mention;2024:Gold;2025:Honourable Mention,2023:142.5;2024:15.5;2025:161.5,2023:0.5869565217;2024:0.9563380282;2025:0.5179104478
2664,Wiphu Kitsamret,"Kitsamret, Wiphu",1,2022,2022:Bronze,2022:97.5,2022:0.6933962264
2666,Natakorn Koomman,"Koomman, Natakorn",3,2024;2025;2026,2024:Bronze;2025:Silver;2026:Bronze,2024:51.5;2025:101;2026:168.5,2024:0.8549295775;2025:0.6985074627;2026:0.5755667506
2668,Thammarak Korsakulthum,"Korsakulthum, Thammarak",2,2023;2024,2023:Silver;2024:Honourable Mention,2023:100;2024:156.5,2023:0.7101449275;2024:0.5591549296
2672,Thrisnutuch Krimjai,"Krimjai, Thrisnutuch",1,2024,2024:Honourable Mention,2024:156.5,2024:0.5591549296
2676,Papon Lapate,"Lapate, Papon",3,2017;2018;2019,2017:Honourable Mention;2018:Gold;2019:Gold,2017:45;2018:40.5;2019:10.5,2017:0.8725212465;2018:0.8849431818;2019:0.9707520891
2689,Vorapas Meejitpaisarn,"Meejitpaisarn, Vorapas",2,2018;2021,2018:Honourable Mention;2021:Silver,2018:133;2021:58,2018:0.6221590909;2021:0.8313953488
2696,Krittitee Naulhao,"Naulhao, Krittitee",1,2023,2023:Bronze,2023:116,2023:0.6637681159
2701,Kitti Opasmetikul,"Opasmetikul, Kitti",1,2021,2021:Bronze,2021:99.5,2021:0.710755814
2712,Jirapatch Phutdee,"Phutdee, Jirapatch",1,2026,2026:Honourable Mention,2026:191.5,2026:0.5176322418
2714,Patanasang Pinijpichitkul,"Pinijpichitkul, Patanasang",2,2023;2025,2023:Silver;2025:Silver,2023:73;2025:48.5,2023:0.7884057971;2025:0.8552238806
2718,Gongphop Piyakamalanon,"Piyakamalanon, Gongphop",2,2020;2021,2020:Honourable Mention;2021:Silver,2020:93;2021:41,2020:0.7240356083;2021:0.8808139535
2741,Vasawat Rawangwong,"Rawangwong, Vasawat",2,2021;2022,2021:Bronze;2022:Silver,2021:58;2022:27.5,2021:0.8313953488;2022:0.9135220126
2745,Worrawat Rungaramsin,"Rungaramsin, Worrawat",3,2021;2022;2023,2021:Bronze;2022:Gold;2023:Bronze,2021:91;2022:27.5;2023:116,2021:0.7354651163;2022:0.9135220126;2023:0.6637681159
2746,Pitchayut Saengrungkongka,"Saengrungkongka, Pitchayut",3,2017;2019;2020,2017:Honourable Mention;2019:Silver;2020:Silver,2017:104;2019:20.5;2020:41,2017:0.7053824363;2019:0.9428969359;2020:0.8783382789
2748,Paramuth Samuthrsindh,"Samuthrsindh, Paramuth",3,2018;2019;2020,2018:Silver;2019:Bronze;2020:Silver,2018:52;2019:38.5;2020:31,2018:0.8522727273;2019:0.8927576602;2020:0.9080118694
2754,Dawn Sawangsap,"Sawangsap, Dawn",3,2024;2025;2026,2024:Silver;2025:Bronze;2026:Honourable Mention,2024:33;2025:101;2026:198.5,2024:0.9070422535;2025:0.6985074627;2026:0.5
2755,Pachara Sawettamalya,"Sawettamalya, Pachara",1,2016,2016:Bronze,2016:99.5,2016:0.6984848485
2759,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",2,2025;2026,2025:Bronze;2026:Silver,2025:101;2026:114.5,2025:0.6985074627;2026:0.7115869018
2761,Nitiwit Sirimaraisuwan,"Sirimaraisuwan, Nitiwit",3,2022;2023;2024,2022:Honourable Mention;2023:Honourable Mention;2024:Bronze,2022:97.5;2023:129;2024:84.5,2022:0.6933962264;2023:0.6260869565;2024:0.761971831
2769,Thana Somsirivattana,"Somsirivattana, Thana",3,2017;2018;2019,2017:Gold;2018:Silver;2019:Silver,2017:18;2018:46;2019:20.5,2017:0.9490084986;2018:0.8693181818;2019:0.9428969359
2774,Pipitchaya Sridam,"Sridam, Pipitchaya",1,2021,2021:Honourable Mention,2021:99.5,2021:0.710755814
2782,Chatchanun Suriyaammaranon,"Suriyaammaranon, Chatchanun",2,2016;2019,2016:None;2019:Bronze,2016:111.5;2019:38.5,2016:0.6621212121;2019:0.8927576602
2801,Natanon Therdpraisan,"Therdpraisan, Natanon",3,2018;2019;2020,2018:Bronze;2019:Bronze;2020:Gold,2018:87.5;2019:25.5;2020:31,2018:0.7514204545;2019:0.9289693593;2020:0.9080118694
2803,Sarunyu Thongjarast,"Thongjarast, Sarunyu",3,2020;2021;2022,2020:Bronze;2021:Bronze;2022:Bronze,2020:93;2021:83;2022:97.5,2020:0.7240356083;2021:0.7587209302;2022:0.6933962264
2819,Treetased Vividhwara,"Vividhwara, Treetased",1,2016,2016:Bronze,2016:99.5,2016:0.6984848485
2822,Narabode Watcharapreechanon,"Watcharapreechanon, Narabode",1,2019,2019:Honourable Mention,2019:108.5,2019:0.6977715877
