id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2907,Ozod Akhtamov,"Akhtamov, Ozod",1,2025,2025:Bronze,2025:186.5,2025:0.4432835821
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",2,2023;2025,2023:None;2025:Gold,2023:198;2025:22.5,2023:0.4260869565;2025:0.9328358209
2919,Azamat Ikromov,"Ikromov, Azamat",1,2023,2023:None,2023:294,2023:0.147826087
2932,Behzod Maksudov,"Maksudov, Behzod",1,2023,2023:None,2023:220,2023:0.3623188406
2933,Azizbek Mamajonov,"Mamajonov, Azizbek",1,2026,2026:Honourable Mention,2026:221,2026:0.443324937
2941,Yusufjon Ortiqov,"Ortiqov, Yusufjon",1,2024,2024:Bronze,2024:156.5,2024:0.5591549296
2947,Abdulaziz Rajabov,"Rajabov, Abdulaziz",2,2024;2025,2024:Honourable Mention;2025:Honourable Mention,2024:272.5;2025:215.5,2024:0.2323943662;2025:0.3567164179
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",1,2023,2023:Bronze,2023:142.5,2023:0.5869565217
2950,Anvarbek Sadulloyev,"Sadulloyev, Anvarbek",1,2023,2023:None,2023:231,2023:0.3304347826
2954,Madina Suyunova,"Suyunova, Madina",2,2023;2024,2023:Bronze;2024:Bronze,2023:129;2024:156.5,2023:0.6260869565;2024:0.5591549296
2957,Begzod Xoshimjonov,"Xoshimjonov, Begzod",1,2024,2024:Bronze,2024:156.5,2024:0.5591549296
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",2,2025;2026,2025:Silver;2026:Bronze,2025:36;2026:168.5,2025:0.8925373134;2026:0.5755667506
