id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
404,Andreas Aristodemou,"Aristodemou, Andreas",1,2026,2026:None,2026:563,2026:0.1546546547
406,Angelos Assos,"Assos, Angelos",4,2016;2017;2018;2019,2016:None;2017:Bronze;2018:Bronze;2019:Honourable Mention,2016:496.5;2017:226;2018:198;2019:314,2016:0.1752491694;2017:0.6325203252;2018:0.6666666667;2019:0.4943639291
407,Marios Avraamidis,"Avraamidis, Marios",3,2018;2019;2020,2018:Honourable Mention;2019:None;2020:Honourable Mention,2018:379;2019:597;2020:469.5,2018:0.361952862;2019:0.038647343;2020:0.2378246753
408,Konstantinos Charalampous,"Charalampous, Konstantinos",3,2020;2021;2022,2020:None;2021:None;2022:Honourable Mention,2020:588;2021:515.5;2022:480.5,2020:0.0454545455;2021:0.1672051696;2022:0.1842105263
409,Filippos Athos Chatzichristofi,"Chatzichristofi, Filippos Athos",2,2023;2024,2023:Bronze;2024:Bronze,2023:247.5;2024:304.5,2023:0.5995145631;2024:0.5
414,Andreas Economou,"Economou, Andreas",4,2015;2016;2017;2018,2015:None;2016:Honourable Mention;2017:Bronze;2018:None,2015:493.5;2016:418.5;2017:226;2018:435,2015:0.1447140381;2016:0.3048172757;2017:0.6325203252;2018:0.2676767677
415,Anna Economou,"Economou, Anna",1,2017,2017:Honourable Mention,2017:512,2017:0.1674796748
420,Alexandros Louka,"Louka, Alexandros",2,2025;2026,2025:None;2026:None,2025:469;2026:518.5,2025:0.2555555556;2026:0.2214714715
421,Ara Mahdessian,"Mahdessian, Ara",4,2022;2023;2024;2025,2022:Honourable Mention;2023:Silver;2024:Silver;2025:Silver,2022:353;2023:132;2024:164;2025:84,2022:0.4006791171;2023:0.786407767;2024:0.7307060755;2025:0.8666666667
424,Theofanis Orfanou,"Orfanou, Theofanis",3,2022;2023;2024,2022:Honourable Mention;2023:Honourable Mention;2024:Silver,2022:294;2023:449.5;2024:135.5,2022:0.5008488964;2023:0.2726537217;2024:0.7775041051
426,Angelos Pelecanos,"Pelecanos, Angelos",3,2015;2016;2017,2015:Honourable Mention;2016:Honourable Mention;2017:Bronze,2015:406.5;2016:389;2017:163,2015:0.2954939341;2016:0.353820598;2017:0.7349593496
429,Philippos Rouvas,"Rouvas, Philippos",3,2024;2025;2026,2024:Honourable Mention;2025:Bronze;2026:Bronze,2024:465.5;2025:235.5;2026:298,2024:0.2356321839;2025:0.6261904762;2026:0.5525525526
431,Stelios Stylianou,"Stylianou, Stelios",3,2015;2016;2017,2015:Honourable Mention;2016:Silver;2017:Bronze,2015:329;2016:141;2017:278,2015:0.4298093588;2016:0.7657807309;2017:0.5479674797
432,Andreas Theocharous,"Theocharous, Andreas",1,2017,2017:Bronze,2017:226,2017:0.6325203252
433,Stefanos Theocharous,"Theocharous, Stefanos",1,2020,2020:None,2020:588,2020:0.0454545455
437,Kyriakos Tsiannis,"Tsiannis, Kyriakos",4,2020;2021;2022;2023,2020:None;2021:Honourable Mention;2022:Honourable Mention;2023:Honourable Mention,2020:545.5;2021:393;2022:463;2023:375,2020:0.1144480519;2021:0.3651050081;2022:0.2139219015;2023:0.3932038835
439,Petros Vourmas,"Vourmas, Petros",1,2026,2026:Honourable Mention,2026:496.5,2026:0.2545045045
