id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
452,Kwan Yu Chan,"Chan, Kwan Yu",1,2025,2025:Silver,2025:109,2025:0.826984127
462,Nick Hang Cheng,"Cheng, Nick Hang",1,2022,2022:Honourable Mention,2022:335,2022:0.4312393888
469,Wai Lam Cheung,"Cheung, Wai Lam",3,2014;2015;2016,2014:Silver;2015:Bronze;2016:Silver,2014:143;2015:269.5;2016:72.5,2014:0.7446428571;2015:0.5329289428;2016:0.8795681063
476,Tsz Sing Chong,"Chong, Tsz Sing",2,2025;2026,2025:Bronze;2026:Silver,2025:221;2026:125.5,2025:0.6492063492;2026:0.8115615616
481,Cheuk Hei Chu,"Chu, Cheuk Hei",4,2020;2021;2022;2023,2020:Bronze;2021:Silver;2022:Gold;2023:Gold,2020:193;2021:57.5;2022:41;2023:36,2020:0.6866883117;2021:0.9071082391;2022:0.9303904924;2023:0.9417475728
490,Sui Kei Ho,"Ho, Sui Kei",1,2019,2019:None,2019:314,2019:0.4943639291
491,Tsz Chun Ho,"Ho, Tsz Chun",1,2018,2018:Honourable Mention,2018:313,2018:0.4730639731
501,Yung Ho Kwan,"Kwan, Yung Ho",4,2023;2024;2025;2026,2023:Bronze;2024:Silver;2025:Gold;2026:Silver,2023:201;2024:67;2025:19;2026:125.5,2023:0.6747572816;2024:0.8899835796;2025:0.9698412698;2026:0.8115615616
502,Man Yi Kwok,"Kwok, Man Yi",3,2015;2016;2017,2015:Bronze;2016:Bronze;2017:Silver,2015:149.5;2016:214.5;2017:67.5,2015:0.7409012132;2016:0.6436877076;2017:0.8902439024
504,Wai Lok Lai,"Lai, Wai Lok",4,2020;2021;2022;2024,2020:Bronze;2021:Bronze;2022:Bronze;2024:Silver,2020:282.5;2021:242.5;2022:166;2024:85.5,2020:0.5413961039;2021:0.6082390953;2022:0.7181663837;2024:0.8596059113
516,Shun Ming Samuel Lee,"Lee, Shun Ming Samuel",3,2015;2016;2017,2015:Bronze;2016:Gold;2017:Gold,2015:199.5;2016:28.5;2017:42,2015:0.6542461005;2016:0.9526578073;2017:0.9317073171
517,Wan Lee,"Lee, Wan",1,2019,2019:Bronze,2019:229,2019:0.6312399356
520,Harris Leung,"Leung, Harris",3,2019;2020;2021,2019:Silver;2020:Silver;2021:Silver,2019:126.5;2020:72;2021:83.5,2019:0.7962962963;2020:0.8831168831;2021:0.8651050081
539,Chi Ki Ngai,"Ngai, Chi Ki",1,2018,2018:Honourable Mention,2018:298,2018:0.4983164983
552,Alvin Cheuk Hin Tse,"Tse, Alvin Cheuk Hin",2,2017;2018,2017:Bronze;2018:Bronze,2017:226;2018:238.5,2017:0.6325203252;2018:0.5984848485
572,Ching Yan Timothy Yau,"Yau, Ching Yan Timothy",3,2020;2021;2022,2020:Silver;2021:Silver;2022:Silver,2020:99.5;2021:83.5;2022:64,2020:0.838474026;2021:0.8651050081;2022:0.8913412564
581,Chun Hei Yiu,"Yiu, Chun Hei",3,2021;2022;2023,2021:None;2022:Silver;2023:Silver,2021:448.5;2022:128.5;2023:111,2021:0.2754442649;2022:0.7818336163;2023:0.8203883495
582,Hoi Wai Yu,"Yu, Hoi Wai",4,2014;2015;2016;2017,2014:Bronze;2015:Silver;2016:Gold;2017:Bronze,2014:181;2015:109;2016:28.5;2017:226,2014:0.6767857143;2015:0.8110918544;2016:0.9526578073;2017:0.6325203252
