id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
633,Kevin Adi Senjaya,"Adi Senjaya, Kevin",1,2024,2024:Gold,2024:52.5,2024:0.9137931034
644,Rizky Rajendra Ananta Dewa,"Ananta Dewa, Rizky Rajendra",1,2023,2023:Bronze,2023:163.5,2023:0.7354368932
647,Rezky Arizaputra,"Arizaputra, Rezky",2,2015;2016,2015:Silver;2016:Silver,2015:128.5;2016:125,2015:0.7772963605;2016:0.792358804
654,Kinantan Arya Bagaspati,"Bagaspati, Kinantan Arya",3,2017;2018;2019,2017:Bronze;2018:Silver;2019:Gold,2017:163;2018:73.5;2019:44,2017:0.7349593496;2018:0.8762626263;2019:0.9291465378
675,Farras Mohammad Hibban Fadilla,"Fadilla, Farras Mohammad Hibban",2,2017;2018,2017:Honourable Mention;2018:Silver,2017:316.5;2018:73.5,2017:0.4853658537;2018:0.8762626263
694,Axel Giovanni Hartanto,"Hartanto, Axel Giovanni",1,2023,2023:Honourable Mention,2023:331.5,2023:0.463592233
701,Andrew Daniel Janong,"Janong, Andrew Daniel",2,2021;2022,2021:Bronze;2022:Honourable Mention,2021:242.5;2022:370,2021:0.6082390953;2022:0.3718166384
708,Aaron Alvarado Kristanto,"Kristanto, Aaron Alvarado",3,2019;2020;2021,2019:Silver;2020:Gold;2021:Silver,2019:111;2020:27.5;2021:123.5,2019:0.8212560386;2020:0.9553571429;2021:0.8004846527
714,Janssen Edyth Lim,"Lim, Janssen Edyth",1,2025,2025:Bronze,2025:181.5,2025:0.7119047619
768,Farrel Dwireswara Salim,"Salim, Farrel Dwireswara",3,2019;2020;2021,2019:Bronze;2020:Bronze;2021:Bronze,2019:229;2020:266.5;2021:198.5,2019:0.6312399356;2020:0.5673701299;2021:0.6793214863
769,Gian Cordana Sanjaya,"Sanjaya, Gian Cordana",3,2016;2017;2018,2016:Bronze;2017:Silver;2018:Gold,2016:214.5;2017:92;2018:41,2016:0.6436877076;2017:0.8504065041;2018:0.930976431
775,Maulana Satya Adigama,"Satya Adigama, Maulana",2,2022;2024,2022:Bronze;2024:Honourable Mention,2022:221.5;2024:382.5,2022:0.6239388795;2024:0.3719211823
788,Otto Alexander Sutianto,"Sutianto, Otto Alexander",2,2017;2018,2017:Bronze;2018:Silver,2017:226;2018:138.5,2017:0.6325203252;2018:0.7668350168
797,Alfian Edgar Tjandra,"Tjandra, Alfian Edgar",2,2018;2019,2018:Silver;2019:Silver,2018:73.5;2019:111,2018:0.8762626263;2019:0.8212560386
805,Stanve Avrilium Widjaja,"Widjaja, Stanve Avrilium",2,2020;2021,2020:Gold;2021:Silver,2020:27.5;2021:123.5,2020:0.9553571429;2021:0.8004846527
809,Timothy William Koesasih,"William Koesasih, Timothy",1,2024,2024:Honourable Mention,2024:382.5,2024:0.3719211823
815,Rafael Kristoforus Yanto,"Yanto, Rafael Kristoforus",2,2022;2023,2022:Silver;2023:Silver,2022:64;2023:92.5,2022:0.8913412564;2023:0.8503236246
