id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1045,Cheok Him Chan,"Chan, Cheok Him",1,2026,2026:Honourable Mention,2026:368.5,2026:0.4466966967
1051,Wai Chong Chan,"Chan, Wai Chong",1,2024,2024:None,2024:557.5,2024:0.0845648604
1053,Hou Tin Chau,"Chau, Hou Tin",4,2014;2015;2016;2017,2014:Bronze;2015:Silver;2016:Gold;2017:Gold,2014:229;2015:81.5;2016:28.5;2017:42,2014:0.5910714286;2015:0.8587521664;2016:0.9526578073;2017:0.9317073171
1057,Ngou Hin Cheang,"Cheang, Ngou Hin",1,2023,2023:Honourable Mention,2023:375,2023:0.3932038835
1060,Weng Chi Cheng,"Cheng, Weng Chi",1,2018,2018:Bronze,2018:238.5,2018:0.5984848485
1063,Cheng In Cheung,"Cheung, Cheng In",3,2020;2021;2022,2020:Honourable Mention;2021:Bronze;2022:Bronze,2020:330.5;2021:242.5;2022:221.5,2020:0.463474026;2021:0.6082390953;2022:0.6239388795
1077,Chun I Ho,"Ho, Chun I",1,2019,2019:Honourable Mention,2019:352.5,2019:0.4323671498
1079,In Lok Ho,"Ho, In Lok",1,2026,2026:Honourable Mention,2026:496.5,2026:0.2545045045
1083,Song Pok Hong,"Hong, Song Pok",2,2023;2024,2023:Honourable Mention;2024:Honourable Mention,2023:498.5;2024:382.5,2023:0.1933656958;2024:0.3719211823
1084,Hoi Cheong Iam,"Iam, Hoi Cheong",2,2014;2016,2014:Honourable Mention;2016:Honourable Mention,2014:433;2016:361,2014:0.2267857143;2016:0.4003322259
1092,Cheok Lam Lai,"Lai, Cheok Lam",3,2019;2020;2021,2019:Honourable Mention;2020:Bronze;2021:Bronze,2019:380.5;2020:216;2021:242.5,2019:0.3872785829;2020:0.6493506494;2021:0.6082390953
1094,Wai Neng Lai,"Lai, Wai Neng",1,2016,2016:Honourable Mention,2016:296,2016:0.5083056478
1097,Chi Pang Lao,"Lao, Chi Pang",3,2020;2021;2022,2020:Honourable Mention;2021:Honourable Mention;2022:Honourable Mention,2020:469.5;2021:393;2022:370,2020:0.2378246753;2021:0.3651050081;2022:0.3718166384
1101,Kin Nam Lao,"Lao, Kin Nam",1,2024,2024:Honourable Mention,2024:429,2024:0.2955665025
1105,Chi In Lei,"Lei, Chi In",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:313;2019:229,2018:0.4730639731;2019:0.6312399356
1106,Chon Kit Lei,"Lei, Chon Kit",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:328.5;2019:288.5,2018:0.446969697;2019:0.5354267311
1109,Cheng Long Leong,"Leong, Cheng Long",1,2024,2024:Honourable Mention,2024:382.5,2024:0.3719211823
1111,Hei Chit Leong,"Leong, Hei Chit",1,2024,2024:Honourable Mention,2024:480.5,2024:0.211001642
1118,Jia Hao Liang,"Liang, Jia Hao",1,2025,2025:Honourable Mention,2025:339.5,2025:0.4611111111
1120,Ka Shing Liang,"Liang, Ka Shing",1,2025,2025:None,2025:429,2025:0.319047619
1123,Wang Iok Lin,"Lin, Wang Iok",3,2021;2022;2023,2021:Bronze;2022:Bronze;2023:Bronze,2021:198.5;2022:277;2023:247.5,2021:0.6793214863;2022:0.5297113752;2023:0.5995145631
1124,Chon Long Lio,"Lio, Chon Long",1,2018,2018:None,2018:551,2018:0.0723905724
1125,Jiade Liu,"Liu, Jiade",2,2015;2017,2015:Honourable Mention;2017:Honourable Mention,2015:350.5;2017:316.5,2015:0.3925476603;2017:0.4853658537
1130,Kuan Kun Mak,"Mak, Kuan Kun",1,2026,2026:Honourable Mention,2026:368.5,2026:0.4466966967
1132,Ka Chon Ng,"Ng, Ka Chon",1,2020,2020:Honourable Mention,2020:351,2020:0.4301948052
1133,Ho Ieng Ngai,"Ngai, Ho Ieng",2,2016;2017,2016:Honourable Mention;2017:Honourable Mention,2016:333;2017:316.5,2016:0.4468438538;2017:0.4853658537
1141,Hou Tam,"Tam, Hou",2,2016;2017,2016:Honourable Mention;2017:Honourable Mention,2016:455.5;2017:316.5,2016:0.2433554817;2017:0.4853658537
1145,Chi Chon Tang,"Tang, Chi Chon",1,2014,2014:Honourable Mention,2014:433,2014:0.2267857143
1146,Cho Hou Tang,"Tang, Cho Hou",4,2014;2015;2016;2017,2014:Honourable Mention;2015:Bronze;2016:Silver;2017:Honourable Mention,2014:433;2015:171;2016:53.5;2017:365.5,2014:0.2267857143;2015:0.7036395147;2016:0.9111295681;2017:0.4056910569
1149,Kin Wai Tong,"Tong, Kin Wai",3,2018;2019;2020,2018:Honourable Mention;2019:Bronze;2020:Bronze,2018:343.5;2019:288.5;2020:282.5,2018:0.4217171717;2019:0.5354267311;2020:0.5413961039
1150,Chong Un Un,"Un, Chong Un",1,2023,2023:Honourable Mention,2023:331.5,2023:0.463592233
1153,Chi Ian Wong,"Wong, Chi Ian",1,2020,2020:None,2020:501,2020:0.1866883117
1167,Chon Hou Ye,"Ye, Chon Hou",3,2021;2022;2023,2021:Honourable Mention;2022:Bronze;2023:Silver,2021:359.5;2022:166;2023:140.5,2021:0.4192245557;2022:0.7181663837;2023:0.7726537217
