id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1241,Víctor Hugo Almendra Hernández,"Almendra Hernández, Víctor Hugo",1,2016,2016:Silver,2016:125,2016:0.792358804
1247,Kevin William Beuchot Castellanos,"Beuchot Castellanos, Kevin William",4,2013;2014;2015;2016,2013:Bronze;2014:Silver;2015:Silver;2016:Silver,2013:185;2014:88.5;2015:109;2016:85.5,2013:0.6489563567;2014:0.8419642857;2015:0.8110918544;2016:0.8579734219
1250,Tomas Francisco Cantu Rodriguez,"Cantu Rodriguez, Tomas Francisco",3,2019;2020;2021,2019:Bronze;2020:Gold;2021:Bronze,2019:250;2020:38;2021:198.5,2019:0.5974235105;2020:0.9383116883;2021:0.6793214863
1251,Javier Caram Quirós,"Caram Quirós, Javier",2,2025;2026,2025:Bronze;2026:Bronze,2025:257;2026:215.5,2025:0.5920634921;2026:0.6764264264
1252,Andrea Sarahí Cascante Duarte,"Cascante Duarte, Andrea Sarahí",1,2026,2026:Honourable Mention,2026:368.5,2026:0.4466966967
1254,Leonardo Mikel Cervantes Mateos,"Cervantes Mateos, Leonardo Mikel",1,2022,2022:Bronze,2022:257.5,2022:0.5628183362
1258,Víctor Antonio Domínguez Silva,"Domínguez Silva, Víctor Antonio",2,2017;2018,2017:Honourable Mention;2018:Silver,2017:316.5;2018:54.5,2017:0.4853658537;2018:0.9082491582
1261,Leonardo Ariel García Morán,"García Morán, Leonardo Ariel",3,2015;2016;2017,2015:Bronze;2016:Silver;2017:Bronze,2015:171;2016:125;2017:163,2015:0.7036395147;2016:0.792358804;2017:0.7349593496
1264,Bruno Gutiérrez Chávez,"Gutiérrez Chávez, Bruno",1,2019,2019:Silver,2019:111,2019:0.8212560386
1267,Emiliano Hernández Barranco,"Hernández Barranco, Emiliano",1,2024,2024:Honourable Mention,2024:346,2024:0.4318555008
1268,Eric Iván Hernández Palacios,"Hernández Palacios, Eric Iván",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:328.5;2019:157,2018:0.446969697;2019:0.7471819646
1269,Takumi Higashida Martínez,"Higashida Martínez, Takumi",3,2024;2025;2026,2024:Silver;2025:Silver;2026:Bronze,2024:94.5;2025:162;2026:182.5,2024:0.8448275862;2025:0.7428571429;2026:0.725975976
1271,Diego Hinojosa Tellez,"Hinojosa Tellez, Diego",1,2019,2019:Honourable Mention,2019:430,2019:0.307568438
1273,Isaac Jair Jiménez Uribe,"Jiménez Uribe, Isaac Jair",2,2017;2018,2017:Honourable Mention;2018:Bronze,2017:365.5;2018:209,2017:0.4056910569;2018:0.6481481481
1277,Mateo Iván Latapi Acosta,"Latapi Acosta, Mateo Iván",3,2023;2024;2025,2023:Bronze;2024:Bronze;2025:Bronze,2023:247.5;2024:267;2025:221,2023:0.5995145631;2024:0.5615763547;2025:0.6492063492
1278,Antonio López Guzmán,"López Guzmán, Antonio",2,2015;2016,2015:Bronze;2016:Silver,2015:199.5;2016:103.5,2015:0.6542461005;2016:0.8280730897
1284,Luis Eduardo Martínez Aguirre,"Martínez Aguirre, Luis Eduardo",1,2023,2023:Bronze,2023:201,2023:0.6747572816
1285,Olga Medrano Martín del Campo,"Medrano Martín del Campo, Olga",1,2016,2016:Bronze,2016:266.5,2016:0.5573089701
1288,Sebastián Montemayor Trujillo,"Montemayor Trujillo, Sebastián",1,2026,2026:Bronze,2026:272.5,2026:0.5908408408
1296,Carlos Emilio Ramos Aguilar,"Ramos Aguilar, Carlos Emilio",2,2020;2021,2020:Bronze;2021:Bronze,2020:305;2021:242.5,2020:0.5048701299;2021:0.6082390953
1299,Maximiliano Sánchez Garza,"Sánchez Garza, Maximiliano",1,2017,2017:Bronze,2017:278,2017:0.5479674797
1302,Oriol Andreu Sole Pi,"Sole Pi, Oriol Andreu",2,2017;2018,2017:Honourable Mention;2018:Bronze,2017:365.5;2018:183,2017:0.4056910569;2018:0.6919191919
1304,Pablo Alhui Valeriano Quiroz,"Valeriano Quiroz, Pablo Alhui",4,2018;2019;2020;2021,2018:Bronze;2019:Honourable Mention;2020:Bronze;2021:Silver,2018:209;2019:335;2020:216;2021:146.5,2018:0.6481481481;2019:0.460547504;2020:0.6493506494;2021:0.7633279483
1307,Héctor Juan Villarreal Corona,"Villarreal Corona, Héctor Juan",2,2024;2025,2024:Silver;2025:Bronze,2024:164;2025:181.5,2024:0.7307060755;2025:0.7119047619
