id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1311,Purevzaya Amarzaya,"Amarzaya, Purevzaya",1,2019,2019:Honourable Mention,2019:352.5,2019:0.4323671498
1314,Altangerel Baatar,"Baatar, Altangerel",1,2017,2017:Bronze,2017:226,2017:0.6325203252
1318,Purev Batdelger,"Batdelger, Purev",2,2015;2016,2015:Honourable Mention;2016:Bronze,2015:350.5;2016:266.5,2015:0.3925476603;2016:0.5573089701
1320,Tenuunsaikhan Batlkhagva,"Batlkhagva, Tenuunsaikhan",2,2023;2025,2023:Bronze;2025:Silver,2023:287.5;2025:133,2023:0.534789644;2025:0.7888888889
1322,Batmend Batsaikhan,"Batsaikhan, Batmend",3,2017;2018;2019,2017:Honourable Mention;2018:Bronze;2019:Bronze,2017:402.5;2018:260;2019:229,2017:0.3455284553;2018:0.5622895623;2019:0.6312399356
1323,Dolgormaa Batsaikhan,"Batsaikhan, Dolgormaa",1,2019,2019:Bronze,2019:157,2019:0.7471819646
1324,Turbat Battsengel,"Battsengel, Turbat",1,2018,2018:Bronze,2018:165,2018:0.7222222222
1326,Belgutei Bayar,"Bayar, Belgutei",2,2024;2025,2024:Bronze;2025:Silver,2024:198.5;2025:133,2024:0.6740558292;2025:0.7888888889
1330,Tuvshindalai Boldbaatar,"Boldbaatar, Tuvshindalai",1,2025,2025:Bronze,2025:281,2025:0.553968254
1334,Chingun Chindegsuren,"Chindegsuren, Chingun",1,2026,2026:Silver,2026:110.5,2026:0.8340840841
1335,Enerelt Delgerdalai,"Delgerdalai, Enerelt",5,2020;2021;2022;2023;2024,2020:Honourable Mention;2021:Bronze;2022:Bronze;2023:Gold;2024:Gold,2020:406.5;2021:242.5;2022:166;2023:36;2024:52.5,2020:0.3400974026;2021:0.6082390953;2022:0.7181663837;2023:0.9417475728;2024:0.9137931034
1354,Unubold Munkhbat,"Munkhbat, Unubold",5,2016;2018;2019;2020;2021,2016:Honourable Mention;2018:Bronze;2019:Gold;2020:Silver;2021:Gold,2016:333;2018:165;2019:44;2020:72;2021:27.5,2016:0.4468438538;2018:0.7222222222;2019:0.9291465378;2020:0.8831168831;2021:0.9555735057
1355,Amin-Erdene Munkhbayar,"Munkhbayar, Amin-Erdene",1,2026,2026:Bronze,2026:331.5,2026:0.5022522523
1362,Amar Nyamdavaa,"Nyamdavaa, Amar",2,2020;2021,2020:Silver;2021:Gold,2020:72;2021:21.5,2020:0.8831168831;2021:0.965266559
1365,Misheel Otgonbayar,"Otgonbayar, Misheel",4,2018;2019;2020;2021,2018:Bronze;2019:Bronze;2020:Gold;2021:Silver,2018:221;2019:157;2020:11;2021:83.5,2018:0.6279461279;2019:0.7471819646;2020:0.9821428571;2021:0.8651050081
1367,Bilguudei Shinezul,"Shinezul, Bilguudei",1,2022,2022:Silver,2022:97.5,2022:0.8344651952
1368,Manlai Sonor,"Sonor, Manlai",3,2024;2025;2026,2024:Bronze;2025:Silver;2026:Bronze,2024:198.5;2025:84;2026:182.5,2024:0.6740558292;2025:0.8666666667;2026:0.725975976
1369,Tsend-Ayush Sosorbaram,"Sosorbaram, Tsend-Ayush",2,2016;2017,2016:Bronze;2017:Silver,2016:157;2017:126.5,2016:0.7392026578;2017:0.7943089431
1370,Bilguungerelt Tamir,"Tamir, Bilguungerelt",2,2024;2026,2024:Silver;2026:Bronze,2024:67;2026:182.5,2024:0.8899835796;2026:0.725975976
1374,Saikhanbileg Tsogtgerel,"Tsogtgerel, Saikhanbileg",3,2021;2022;2023,2021:Silver;2022:Bronze;2023:Bronze,2021:123.5;2022:166;2023:201,2021:0.8004846527;2022:0.7181663837;2023:0.6747572816
