id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1667,Clyde Wesley S. Ang,"Ang, Clyde Wesley S.",4,2014;2015;2016;2017,2014:Honourable Mention;2015:Silver;2016:Silver;2017:Bronze,2014:340.5;2015:128.5;2016:103.5;2017:226,2014:0.3919642857;2015:0.7772963605;2016:0.8280730897;2017:0.6325203252
1672,Immanuel Josiah Ang Balete,"Balete, Immanuel Josiah Ang",3,2019;2020;2021,2019:Bronze;2020:Honourable Mention;2021:Silver,2019:157;2020:330.5;2021:146.5,2019:0.7471819646;2020:0.463474026;2021:0.7633279483
1676,Ervin Joshua V. Bautista,"Bautista, Ervin Joshua V.",2,2024;2025,2024:Honourable Mention;2025:Bronze,2024:418.5;2025:257,2024:0.3128078818;2025:0.5920634921
1682,Sarji Elijah S. Bona,"Bona, Sarji Elijah S.",3,2020;2021;2022,2020:Honourable Mention;2021:Bronze;2022:Honourable Mention,2020:377;2021:242.5;2022:294,2020:0.387987013;2021:0.6082390953;2022:0.5008488964
1691,Mohammad Nur G. Casib,"Casib, Mohammad Nur G.",3,2022;2023;2024,2022:Bronze;2023:Bronze;2024:Honourable Mention,2022:257.5;2023:287.5;2024:480.5,2022:0.5628183362;2023:0.534789644;2024:0.211001642
1781,Nathan Gabriel Ang Neria,"Neria, Nathan Gabriel Ang",2,2025;2026,2025:None;2026:Bronze,2025:537;2026:331.5,2025:0.1476190476;2026:0.5022522523
1794,Alvann Walter W. Paredes Dy,"Paredes Dy, Alvann Walter W.",2,2023;2024,2023:Bronze;2024:Bronze,2023:305.5;2024:198.5,2023:0.5056634304;2024:0.6740558292
1797,Albert John L. Patupat,"Patupat, Albert John L.",4,2015;2016;2017;2018,2015:Bronze;2016:Silver;2017:Silver;2018:Gold,2015:236.5;2016:125;2017:67.5;2018:41,2015:0.5901213172;2016:0.792358804;2017:0.8902439024;2018:0.930976431
1800,Shaun Lawrence Tiong Poh Leung,"Poh Leung, Shaun Lawrence Tiong",1,2026,2026:None,2026:427,2026:0.3588588589
1802,Shaquille Wyan T. Que,"Que, Shaquille Wyan T.",3,2016;2017;2018,2016:Honourable Mention;2017:Bronze;2018:Bronze,2016:296;2017:163;2018:280,2016:0.5083056478;2017:0.7349593496;2018:0.5286195286
1809,Bryce Ainsley Ang Sanchez,"Sanchez, Bryce Ainsley Ang",3,2019;2020;2021,2019:Bronze;2020:Bronze;2021:Silver,2019:288.5;2020:241.5;2021:83.5,2019:0.5354267311;2020:0.6079545455;2021:0.8651050081
1821,Luke Sebastian C. Sy,"Sy, Luke Sebastian C.",2,2024;2025,2024:Bronze;2025:None,2024:198.5;2025:429,2024:0.6740558292;2025:0.319047619
1833,Rickson Caleb Y. Tan,"Tan, Rickson Caleb Y.",2,2022;2023,2022:Honourable Mention;2023:Bronze,2022:370;2023:228,2022:0.3718166384;2023:0.6310679612
1843,Vince Jan Faustino Torres,"Torres, Vince Jan Faustino",1,2016,2016:Honourable Mention,2016:373,2016:0.3803986711
1846,Sean Anderson Lim Ty,"Ty, Sean Anderson Lim",3,2017;2018;2019,2017:Bronze;2018:Honourable Mention;2019:Silver,2017:163;2018:328.5;2019:111,2017:0.7349593496;2018:0.446969697;2019:0.8212560386
1851,Zion Skye Earl Carmelo C. Uy,"Uy, Zion Skye Earl Carmelo C.",1,2026,2026:Honourable Mention,2026:368.5,2026:0.4466966967
1853,Mark Justin M. Villafuerte,"Villafuerte, Mark Justin M.",1,2025,2025:Honourable Mention,2025:398.5,2025:0.3674603175
1857,Farrell Eldrian S. Wu,"Wu, Farrell Eldrian S.",5,2013;2014;2015;2016;2017,2013:Honourable Mention;2014:Bronze;2015:Bronze;2016:Gold;2017:Silver,2013:287;2014:246.5;2015:171;2016:37.5;2017:108.5,2013:0.4554079696;2014:0.5598214286;2015:0.7036395147;2016:0.9377076412;2017:0.8235772358
1858,Filbert Ephraim S. Wu,"Wu, Filbert Ephraim S.",3,2022;2023;2024,2022:Honourable Mention;2023:Silver;2024:Bronze,2022:370;2023:111;2024:304.5,2022:0.3718166384;2023:0.8203883495;2024:0.5
