id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2086,Tse Yang Lucas Boo,"Boo, Tse Yang Lucas",3,2018;2019;2021,2018:Silver;2019:Gold;2021:Gold,2018:73.5;2019:50;2021:27.5,2018:0.8762626263;2019:0.9194847021;2021:0.9555735057
2089,Puhua Cheng,"Cheng, Puhua",1,2018,2018:Silver,2018:73.5,2018:0.8762626263
2090,Clarence Xuan Da Chew,"Chew, Clarence Xuan Da",1,2017,2017:Bronze,2017:163,2017:0.7349593496
2091,Zixiang Gao,"Gao, Zixiang",2,2025;2026,2025:Silver;2026:Silver,2025:162;2026:147.5,2025:0.7428571429;2026:0.7785285285
2097,Ker Yang Lee,"Lee, Ker Yang",1,2018,2018:Gold,2018:30,2018:0.9494949495
2105,Choo Ray Low,"Low, Choo Ray",2,2020;2021,2020:Bronze;2021:Silver,2020:193;2021:83.5,2020:0.6866883117;2021:0.8651050081
2108,Yangyi Aloysius Ng,"Ng, Yangyi Aloysius",2,2019;2020,2019:Silver;2020:Silver,2019:82.5;2020:72,2019:0.8671497585;2020:0.8831168831
2112,Joel Junyao Tan,"Tan, Joel Junyao",3,2016;2017;2018,2016:Silver;2017:Gold;2018:Silver,2016:85.5;2017:10;2018:73.5,2016:0.8579734219;2017:0.9837398374;2018:0.8762626263
2114,Wee Kean Tan,"Tan, Wee Kean",2,2019;2020,2019:Silver;2020:Silver,2019:111;2020:150.5,2019:0.8212560386;2020:0.7556818182
2115,Xu Chen Tan,"Tan, Xu Chen",2,2019;2020,2019:Silver;2020:Silver,2019:82.5;2020:117,2019:0.8671497585;2020:0.8100649351
2117,Akash Thiagarajan,"Thiagarajan, Akash",3,2024;2025;2026,2024:Silver;2025:Bronze;2026:Bronze,2024:135.5;2025:221;2026:272.5,2024:0.7775041051;2025:0.6492063492;2026:0.5908408408
2118,David Hui Kai Toh,"Toh, David Hui Kai",2,2019;2020,2019:Silver;2020:Bronze,2019:137;2020:171,2019:0.7793880837;2020:0.7224025974
2119,Bryan Peng Jun Wang,"Wang, Bryan Peng Jun",2,2016;2017,2016:Silver;2017:Gold,2016:53.5;2017:21,2016:0.9111295681;2017:0.9658536585
2120,Jianzhi Wang,"Wang, Jianzhi",1,2017,2017:Honourable Mention,2017:365.5,2017:0.4056910569
2123,Brian Boyang Xiao,"Xiao, Brian Boyang",1,2026,2026:Gold,2026:10,2026:0.984984985
2126,Qinxi Yu,"Yu, Qinxi",1,2023,2023:Honourable Mention,2023:331.5,2023:0.463592233
2128,Juntao Zhang,"Zhang, Juntao",2,2024;2025,2024:Silver;2025:Silver,2024:67;2025:76.5,2024:0.8899835796;2025:0.8785714286
