id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2144,Ellen Grant-Smith,"Grant-Smith, Ellen",2,2024;2025,2024:Bronze;2025:Honourable Mention,2024:198.5;2025:355.5,2024:0.6740558292;2025:0.4357142857
2145,Noah Greenblatt,"Greenblatt, Noah",1,2026,2026:Honourable Mention,2026:455,2026:0.3168168168
2150,Tyrone Chibuzo Kasi,"Kasi, Tyrone Chibuzo",1,2021,2021:None,2021:515.5,2021:0.1672051696
2152,Minkyum Kim,"Kim, Minkyum",3,2021;2022;2023,2021:None;2022:Honourable Mention;2023:Bronze,2021:484;2022:385;2023:268.5,2021:0.2180936995;2022:0.3463497453;2023:0.5655339806
2153,Youkyum Kim,"Kim, Youkyum",4,2022;2023;2024;2025,2022:Honourable Mention;2023:Silver;2024:None;2025:Silver,2022:353;2023:111;2024:418.5;2025:109,2022:0.4006791171;2023:0.8203883495;2024:0.3128078818;2025:0.826984127
2156,Nicholas Kroon,"Kroon, Nicholas",2,2015;2016,2015:None;2016:Honourable Mention,2015:294.5;2016:333,2015:0.4896013865;2016:0.4468438538
2161,Yi Lou,"Lou, Yi",1,2021,2021:Bronze,2021:242.5,2021:0.6082390953
2180,Noah Rassou,"Rassou, Noah",1,2026,2026:None,2026:427,2026:0.3588588589
2184,Juliette Roux,"Roux, Juliette",3,2020;2021;2022,2020:Honourable Mention;2021:Bronze;2022:Honourable Mention,2020:469.5;2021:173;2022:451,2020:0.2378246753;2021:0.7205169628;2022:0.234295416
2200,Emile Tredoux,"Tredoux, Emile",1,2018,2018:Bronze,2018:280,2018:0.5286195286
2206,Adri Wessels,"Wessels, Adri",3,2017;2018;2019,2017:Bronze;2018:Honourable Mention;2019:Bronze,2017:226;2018:343.5;2019:288.5,2017:0.6325203252;2018:0.4217171717;2019:0.5354267311
