id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2212,Mohammed Aflal Mohammed Afham,"Afham, Mohammed Aflal Mohammed",1,2015,2015:Honourable Mention,2015:329,2015:0.4298093588
2214,Thishanka Alahakoon,"Alahakoon, Thishanka",1,2018,2018:Honourable Mention,2018:421,2018:0.2912457912
2216,Praveen Charuka Athauda Arachchi,"Athauda Arachchi, Praveen Charuka",3,2024;2025;2026,2024:Honourable Mention;2025:Honourable Mention;2026:Honourable Mention,2024:346;2025:355.5;2026:496.5,2024:0.4318555008;2025:0.4357142857;2026:0.2545045045
2217,Sandaru Thathsara Balahewa,"Balahewa, Sandaru Thathsara",3,2019;2021;2022,2019:Honourable Mention;2021:None;2022:Honourable Mention,2019:453;2021:576;2022:424,2019:0.270531401;2021:0.0694668821;2022:0.2801358234
2218,Hitihami Mudiyanselage Mihiru Anushka Bandara,"Bandara, Hitihami Mudiyanselage Mihiru Anushka",5,2018;2020;2021;2022;2023,2018:None;2020:Honourable Mention;2021:Honourable Mention;2022:Honourable Mention;2023:Bronze,2018:579.5;2020:469.5;2021:359.5;2022:308;2023:268.5,2018:0.0244107744;2020:0.2378246753;2021:0.4192245557;2022:0.4770797963;2023:0.5655339806
2220,Chethana Chathuprabha Belpa Godage,"Belpa Godage, Chethana Chathuprabha",1,2014,2014:Honourable Mention,2014:395,2014:0.2946428571
2226,Charuka Nishala Kulathunga Bandara Herath Mudiyanselage,"Herath Mudiyanselage, Charuka Nishala Kulathunga Bandara",3,2015;2017;2018,2015:Honourable Mention;2017:Honourable Mention;2018:Honourable Mention,2015:406.5;2017:365.5;2018:379,2015:0.2954939341;2017:0.4056910569;2018:0.361952862
2233,Kisara Sandaluka Kodithuwakku,"Kodithuwakku, Kisara Sandaluka",1,2019,2019:Honourable Mention,2019:393.5,2019:0.3663446055
2234,Shenal Santhush Kotuwewatta,"Kotuwewatta, Shenal Santhush",4,2014;2015;2016;2017,2014:Bronze;2015:None;2016:Honourable Mention;2017:Bronze,2014:281;2015:379;2016:333;2017:226,2014:0.4982142857;2015:0.3431542461;2016:0.4468438538;2017:0.6325203252
2235,Sithija Abhishek Kotuwewatta,"Kotuwewatta, Sithija Abhishek",3,2019;2020;2023,2019:Honourable Mention;2020:Honourable Mention;2023:Honourable Mention,2019:430;2020:469.5;2023:449.5,2019:0.307568438;2020:0.2378246753;2023:0.2726537217
2236,Ghaura Abheendra Mahabaduge,"Mahabaduge, Ghaura Abheendra",3,2018;2019;2020,2018:Bronze;2019:Honourable Mention;2020:Bronze,2018:238.5;2019:314;2020:266.5,2018:0.5984848485;2019:0.4943639291;2020:0.5673701299
2237,Shithila Vibheetha Mahabaduge,"Mahabaduge, Shithila Vibheetha",3,2021;2022;2023,2021:None;2022:Honourable Mention;2023:Honourable Mention,2021:464;2022:463;2023:474,2021:0.2504038772;2022:0.2139219015;2023:0.2330097087
2239,Ruwimal Yasantha Pathiraja,"Pathiraja, Ruwimal Yasantha",4,2013;2014;2015;2016,2013:Honourable Mention;2014:Honourable Mention;2015:Honourable Mention;2016:Honourable Mention,2013:411;2014:412;2015:329;2016:418.5,2013:0.220113852;2014:0.2642857143;2015:0.4298093588;2016:0.3048172757
2240,Pathirannehelage Luchitha Disal Pathirana,"Pathirana, Pathirannehelage Luchitha Disal",2,2021;2024,2021:None;2024:Honourable Mention,2021:576;2024:445,2021:0.0694668821;2024:0.2692939245
2241,Gonaduwage Maneth Banula Perera,"Perera, Gonaduwage Maneth Banula",4,2017;2018;2019;2020,2017:Bronze;2018:None;2019:Bronze;2020:Bronze,2017:278;2018:498;2019:190.5;2020:266.5,2017:0.5479674797;2018:0.1616161616;2019:0.693236715;2020:0.5673701299
2244,Wijelath Mohotalage Don Sandil Sandipa Ranasinghe,"Ranasinghe, Wijelath Mohotalage Don Sandil Sandipa",2,2015;2017,2015:None;2017:Honourable Mention,2015:519.5;2017:512,2015:0.0996533795;2017:0.1674796748
